combo_id,beta,omega,m,phase,center_D,width_D,eta_couple,region,D,slice_p95_abs_delta_mainline,slice_p95_abs_delta_lorentz,slice_p95_abs_delta_cf,slice_mean_abs_improvement_vs_mainline,slice_mean_abs_improvement_vs_lorentz,slice_improved_fraction_vs_mainline,slice_improved_fraction_vs_lorentz,slice_worsened_fraction_vs_mainline,slice_worsened_fraction_vs_lorentz
1,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.0,D21_guard,4.0,0.9136772062233662,0.8176957779573644,0.8176957779573644,0.08757109525691636,0.0,1.0,0.0,0.0,0.0
1,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.0,D21_guard,6.4,2.1022273869561374,0.34042911580091584,3.9355733427249078,-1.8333656698089036,-3.5951957952517177,0.0,0.0,1.0,1.0
1,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.0,D21_guard,8.0,0.3226590996076344,0.2966443149847655,0.3242333367127306,-0.0015742393779162771,-0.02758902210651361,0.0,0.0,1.0,1.0
1,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.0,D60_hotspot,4.813559322033898,8.950884564633627,9.033560155326205,9.033560155326205,-0.08246019817302228,0.0,0.0,0.0,1.0,0.0
1,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.0,D60_hotspot,5.627118644067797,10.271915904250342,10.729779662844628,10.7297796470855,-0.4577839503919854,1.57518737101522e-08,0.0,1.0,1.0,0.0
1,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.0,D60_hotspot,6.169491525423728,25.887561191706766,27.529979483635344,27.526959002651708,-1.6389851002253937,0.0030195328503527293,0.0,1.0,1.0,0.0
1,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.0,D60_hotspot,6.4406779661016955,31.28630580743782,33.5632804317817,24.819235309392404,6.4668920881213765,8.743835658927118,1.0,1.0,0.0,0.0
1,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.0,D60_hotspot,6.711864406779661,7.462467784829663,8.183041980705045,2.5560340072471206,4.906280361916947,5.626848252319905,1.0,1.0,0.0,0.0
2,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.15,D21_guard,4.0,0.9136772062233662,0.8176957779573644,0.8176957779573644,0.08757109525691636,0.0,1.0,0.0,0.0,0.0
2,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.15,D21_guard,6.4,2.1022273869561374,0.34042911580091584,9.847559154881331,-4.982493288650074,-6.744323414092889,0.0,0.0,1.0,1.0
2,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.15,D21_guard,8.0,0.3226590996076344,0.2966443149847655,0.46948564694698325,-0.07298969824540087,-0.0990044809739982,0.0,0.0,1.0,1.0
2,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.15,D60_hotspot,4.813559322033898,8.950884564633627,9.033560155326205,9.033560155326205,-0.08246019817302228,0.0,0.0,0.0,1.0,0.0
2,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.15,D60_hotspot,5.627118644067797,10.271915904250342,10.729779662844628,10.72977965139362,-0.4577839527120756,1.3431783516114679e-08,0.0,1.0,1.0,0.0
2,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.15,D60_hotspot,6.169491525423728,25.887561191706766,27.529979483635344,27.51728490904405,-1.6380318142718138,0.003972818803932553,0.0,1.0,1.0,0.0
2,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.15,D60_hotspot,6.4406779661016955,31.28630580743782,33.5632804317817,23.96554823575491,11.312655058110655,13.589598628916397,1.0,1.0,0.0,0.0
2,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.15,D60_hotspot,6.711864406779661,7.462467784829663,8.183041980705045,5.019764550235561,3.4752766364287604,4.195844526831717,1.0,1.0,0.0,0.0
3,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.3,D21_guard,4.0,0.9136772062233662,0.8176957779573644,0.8176957779573644,0.08757109525691636,0.0,1.0,0.0,0.0,0.0
3,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.3,D21_guard,6.4,2.1022273869561374,0.34042911580091584,16.267529206390478,-8.464048794574772,-10.225878920017589,0.0,0.0,1.0,1.0
3,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.3,D21_guard,8.0,0.3226590996076344,0.2966443149847655,0.6908566868872632,-0.17924435302741223,-0.20525913575600957,0.0,0.0,1.0,1.0
3,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.3,D60_hotspot,4.813559322033898,8.950884564633627,9.033560155326205,9.033560155326205,-0.08246019817302228,0.0,0.0,0.0,1.0,0.0
3,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.3,D60_hotspot,5.627118644067797,10.271915904250342,10.729779662844628,10.729779655936333,-0.457783955194357,1.0949502130383086e-08,0.0,1.0,1.0,0.0
3,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.3,D60_hotspot,6.169491525423728,25.887561191706766,27.529979483635344,27.486568829691237,-1.6156193509603387,0.02638528211540772,0.0,1.0,1.0,0.0
3,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.3,D60_hotspot,6.4406779661016955,31.28630580743782,33.5632804317817,23.091669315048094,16.28377999232039,18.560723563126132,1.0,1.0,0.0,0.0
3,0.4,0.7,4.0,0.4353981633974483,5.8,0.03,0.3,D60_hotspot,6.711864406779661,7.462467784829663,8.183041980705045,6.484338797295409,2.4298122143046883,3.150380104707646,1.0,1.0,0.0,0.0
4,0.4,0.7,4.0,0.4353981633974483,5.8,0.05,0.0,D21_guard,4.0,0.9136772062233662,0.8176957779573644,0.8176957779573644,0.08757109525691636,0.0,1.0,0.0,0.0,0.0
4,0.4,0.7,4.0,0.4353981633974483,5.8,0.05,0.0,D21_guard,6.4,2.1022273869561374,0.34042911580091584,3.423917280579481,-1.321721914408424,-3.083552039851239,0.0,0.0,1.0,1.0
4,0.4,0.7,4.0,0.4353981633974483,5.8,0.05,0.0,D21_guard,8.0,0.3226590996076344,0.2966443149847655,0.32423333671272925,-0.0015742393779149015,-0.027589022106512234,0.0,0.0,1.0,1.0
4,0.4,0.7,4.0,0.4353981633974483,5.8,0.05,0.0,D60_hotspot,4.813559322033898,8.950884564633627,9.033560155326205,9.033560155322453,-0.08246019816930004,3.722228874331839e-12,0.0,1.0,1.0,0.0
