summary_type,witness,uniform_best_proxy,prolate_best_proxy,uniform_anchor_l1,prolate_anchor_l1,uniform_affine_l1,prolate_affine_l1,uniform_hotspot_anchor_l1,prolate_hotspot_anchor_l1,prolate_over_uniform_anchor_ratio,prolate_over_uniform_affine_ratio,better_method_anchor,better_method_affine,method,best_proxy_by_mean_anchor,mean_anchor_l1,mean_affine_l1,mean_hotspot_anchor_l1,max_anchor_l1,max_affine_l1
best_proxy_by_witness,chi_LR,delta_omega12,gap_fraction,25.019149277609298,24.536123238777652,12.13168485527917,11.83665036013949,2.3365110838617005,2.092586559797684,0.9806937464790648,0.9756806660691244,prolate_aux,prolate_aux,,,,,,,
best_proxy_by_witness,Gamma_ref,omega1,omega1,18.183194221530858,30.462040693700178,20.27944218206833,19.640810746981867,0.5065071020991849,0.6280546751046645,1.6752854488915838,0.9685084318714072,uniform_aux,prolate_aux,,,,,,,
best_proxy_by_witness,chi_omega1,omega3,omega1,2.2822977986262254,1.1135963659211279,17.841490179813654,16.59244773215036,0.060114862626743815,0.04715780392575608,0.48792772204899404,0.929992257649168,prolate_aux,prolate_aux,,,,,,,
best_proxy_by_witness,chi_DeltaE,omega3,omega2,16.44478805936439,12.584214363485575,28.693732062858682,14.653531978457274,0.37694915542372565,0.16465996723981535,0.7652402887807098,0.5106875587447505,prolate_aux,prolate_aux,,,,,,,
best_proxy_by_witness,lambda1,omega3,omega2,3.6828351809297404,0.8978263636030518,29.889120054414487,14.006607541945474,0.09078816666833367,0.12150102151557662,0.24378673481021582,0.468618932790454,prolate_aux,prolate_aux,,,,,,,
best_proxy_by_witness,lambda2,omega3,omega2,5.811370313826871,2.058316798372244,29.458750606201217,14.234188008774106,0.1530154912073819,0.0592736969765284,0.35418785711778406,0.4831904855387091,prolate_aux,prolate_aux,,,,,,,
best_proxy_by_witness,lambda3,omega3,omega2,10.608140181786302,6.529958692540445,28.965810913231117,11.234647922302294,0.3164522949231128,0.10416310673920248,0.6155611238765575,0.3878589125626891,prolate_aux,prolate_aux,,,,,,,
best_proxy_by_witness,g2_raw,omega3,omega2,3.9088416039577636,1.0551499765436603,27.67585899837918,20.916252724446107,0.139663441111452,0.07262574707245828,0.2699393025993441,0.7557580317803706,prolate_aux,prolate_aux,,,,,,,
best_proxy_by_witness,g3_raw,omega3,omega2,14.058480158006702,9.980183348583209,28.591197142018625,9.570614392608983,0.45019879377998995,0.23790960559607965,0.7099048571690171,0.33473989721625447,prolate_aux,prolate_aux,,,,,,,
best_proxy_by_witness,g2_hat,omega2,omega1,8.609770996019817,12.465098187520775,16.679235351533784,15.106566803180192,0.17507845572238434,0.24860454208809912,1.4477851029119386,0.9057109924281407,uniform_aux,prolate_aux,,,,,,,
best_proxy_by_witness,g3_hat,omega3,omega3,0.003727489409961482,0.0037112537421621905,24.39414059183932,24.200591173670873,3.719759812104151e-05,3.7219940555832665e-05,0.9956443423404765,0.9920657414660798,prolate_aux,prolate_aux,,,,,,,
proxy_global_rank,,,,,,,,,,,,,,uniform_aux,omega3,629539.2651483223,18.335219470128575,3.3388794448414933,4406691.833294858,30.944067441796534
proxy_global_rank,,,,,,,,,,,,,,prolate_aux,omega3,71444.5672750256,17.317934985191194,2.5266741036213203,500059.2822485067,29.30370440920427
