beta_d60_d72,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu,mean_signed_delta_mu_mumu,min_signed_delta_mu_mumu,max_signed_delta_mu_mumu,delta_p95_vs_v18,delta_max_vs_v18
0.45,0.01201432218360976,0.012015286897283595,0.012005639975703935,0.011995993168190111,0.012015286897283595,-0.2703475869327505,-0.2703476321798459
0.4525,0.005526584418641622,0.005527548044644615,0.005517912000958673,0.0055082760712719114,0.005527548044644615,-0.27683532469771865,-0.2768353710324849
0.455,0.0009656256040577738,0.0009665881096205808,-0.0009569630370972206,-0.0009665881096205808,-0.0009473378506408281,-0.2813962835123025,-0.28139633096750893
0.4575,0.007427663415697783,0.007428624837598985,-0.007419010601612097,-0.007428624837598985,-0.0074093962517585155,-0.2749342457006625,-0.27493429423953053
0.46,0.013876899185027547,0.013877859525325942,-0.013868256105288988,-0.013877859525325942,-0.0138586525714528,-0.26848500993133273,-0.2684850595518036
