model,rmse,p95_abs_resid,a,b,c,k,Dc,A1,omega1,phi1,A2,omega2,phi2,split_D,low_A1,low_omega1,low_A2,low_omega2,high_k,high_Dc
E_part_smooth,0.0153827484567938,0.023702768281936848,-1.2698987904183876,0.08211159605549617,-0.002613159259626667,145.44352580298892,19.06853150232512,,,,,,,,,,,,,
E_tree_smooth,0.13027549297634475,0.2873062277868771,0.24498111233268885,-0.06823131843562569,0.0022683196918727327,2.4289509551007398,18.625499102673253,,,,,,,,,,,,,
E_tree_twofreq_global,0.05655560070866643,0.09740767456283883,-0.06254037467776578,-0.002354437158929149,-0.0009658056740082028,108.67485582273814,18.843277782971242,0.19958210681709432,1.1543639631027396,1.6659552364429857,0.07333422204420371,1.848244338078322,3.1113306033886263,,,,,,,
E_tree_piecewise_best,0.0326129034447806,0.05944064197579846,,,,,,,,,,,,14.4,0.23304933923796503,1.1717133387128449,0.11424334194545076,1.9228205833896954,167.21400212221823,19.041595746371016
xi_recon_smooth_tree_smooth,0.011069425641328382,0.024359474225608593,,,,,,,,,,,,,,,,,,
xi_recon_smooth_tree_twofreq_global,0.005900057323497029,0.011564129448027566,,,,,,,,,,,,,,,,,,
xi_recon_smooth_tree_piecewise_best,0.0044328983253197765,0.01080123145846712,,,,,,,,,,,,14.4,,,,,,
