combo_id,mode,omega,m,phase,center_D,width_D,eta_couple,region,p95_abs_delta_base,p95_abs_delta_cf,max_abs_delta_base,max_abs_delta_cf,mean_abs_improvement,improved_fraction,worsened_fraction,p95_abs_cf_shift_vs_base,acceptance_flip_fraction
1,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.05,0.0,D60_hotspot,31.28593012120719,24.63048285481021,31.28639526077564,24.646069681437538,5.037769267518393,0.8,0.2,25.6996278878173,0.0
1,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.05,0.0,D21_guard,2.102217055050133,13.198448151088453,2.102232425909044,13.19852488407389,-4.120460131477325,0.0,1.0,11.096301140558932,0.0
2,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.05,0.15,D60_hotspot,31.28593012120719,25.316113984288865,31.28639526077564,25.505398990283382,5.844242957589468,0.8666666666666667,0.13333333333333333,33.328460045955715,0.0
2,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.05,0.15,D21_guard,2.102217055050133,19.76985455529788,2.102232425909044,20.83367083026775,-5.463412622448582,0.0,1.0,17.66770754476836,0.0
3,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.07,0.0,D60_hotspot,31.28593012120719,23.21426408876411,31.28639526077564,23.229593168747286,4.979366952832474,0.8,0.2,23.931137107044623,0.0
3,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.07,0.0,D21_guard,2.102217055050133,12.316517201873223,2.102232425909044,12.316586605451128,-3.8264887154855107,0.0,1.0,10.214370191343704,0.0
4,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.07,0.15,D60_hotspot,31.28593012120719,24.67558547057347,31.28639526077564,25.0629409272253,5.951157269716807,0.8761904761904762,0.12380952380952381,31.206447690021015,0.0
4,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.07,0.15,D21_guard,2.102217055050133,18.462695683477783,2.102232425909044,19.465674478644353,-5.080368473830901,0.0,1.0,16.360548672948266,0.0
5,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.1,0.0,D60_hotspot,31.28593012120719,21.38743445610671,31.28639526077564,21.402431059767366,5.014167653585555,0.8,0.2,22.03600990724986,0.0
5,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.1,0.0,D21_guard,2.102217055050133,11.53737012243248,2.102232425909044,11.537433050802235,-3.5667778865469737,0.0,1.0,9.43522311190296,0.0
6,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.1,0.15,D60_hotspot,31.28593012120719,23.84183424285207,31.28639526077564,24.48569128913769,5.903298803988152,0.8857142857142857,0.11428571428571428,28.902246053311117,0.0
6,partial_notch,1.0,10.0,0.4353981633974483,5.8,0.1,0.15,D21_guard,2.102217055050133,17.293391939180164,2.102232425909044,18.2392447593301,-4.7392277969661984,0.0,1.0,15.191244928650647,0.0
7,partial_notch,1.0,10.0,0.4353981633974483,5.9,0.05,0.0,D60_hotspot,31.28593012120719,29.16810254114251,31.28639526077564,29.16853800202521,-0.1497875167903496,0.8,0.2,18.32332164073641,0.0
7,partial_notch,1.0,10.0,0.4353981633974483,5.9,0.05,0.0,D21_guard,2.102217055050133,2.178257035075717,2.102232425909044,2.178271863753679,-0.3899763859071453,0.0,1.0,1.0935595446501412,0.0
8,partial_notch,1.0,10.0,0.4353981633974483,5.9,0.05,0.15,D60_hotspot,31.28593012120719,27.77752909097342,31.28639526077564,28.954522866389,0.3767353733193482,0.8,0.2,18.411246229766427,0.0
8,partial_notch,1.0,10.0,0.4353981633974483,5.9,0.05,0.15,D21_guard,2.102217055050133,3.2875729150656,2.102232425909044,3.6132931050789736,-0.6105128206647086,0.0,1.0,1.2223604411623628,0.0
9,partial_notch,1.0,10.0,0.4353981633974483,5.9,0.07,0.0,D60_hotspot,31.28593012120719,29.18535845030576,31.28639526077564,29.185794153008295,0.2048667183818586,0.8,0.2,18.101452068796796,0.0
9,partial_notch,1.0,10.0,0.4353981633974483,5.9,0.07,0.0,D21_guard,2.102217055050133,2.183787633129427,2.102232425909044,2.183802415839459,-0.3918199531936538,0.0,1.0,1.093559543715315,0.0
10,partial_notch,1.0,10.0,0.4353981633974483,5.9,0.07,0.15,D60_hotspot,31.28593012120719,27.805847053745747,31.28639526077564,28.973481896681378,0.6760467694193923,0.8,0.2,18.189339641968285,0.0
10,partial_notch,1.0,10.0,0.4353981633974483,5.9,0.07,0.15,D21_guard,2.102217055050133,3.4403234546980026,2.102232425909044,3.8086455632087066,-0.6383450027709165,0.0,1.0,1.3381764441684831,0.0
11,partial_notch,1.0,10.0,0.4353981633974483,5.9,0.1,0.0,D60_hotspot,31.28593012120719,29.198307180439194,31.28639526077564,29.198743064601878,1.0130662389228164,0.8,0.2,17.557944728756613,0.0
11,partial_notch,1.0,10.0,0.4353981633974483,5.9,0.1,0.0,D21_guard,2.102217055050133,2.1881147757413,2.102232425909044,2.188129522485994,-0.3932622175173336,0.0,1.0,1.0935591117332624,0.0
12,partial_notch,1.0,10.0,0.4353981633974483,5.9,0.1,0.15,D60_hotspot,31.28593012120719,27.827099509279147,31.28639526077564,28.987708924992262,1.3688982572844128,0.8,0.2,17.645589666529943,0.0
12,partial_notch,1.0,10.0,0.4353981633974483,5.9,0.1,0.15,D21_guard,2.102217055050133,3.5595581363827566,2.102232425909044,3.9610293808754804,-0.6600810332092113,0.0,1.0,1.4574111258532372,0.0
13,partial_notch,1.0,10.0,0.4353981633974483,6.0,0.05,0.0,D60_hotspot,31.28593012120719,30.60073557920483,31.28639526077564,30.6011911166349,0.334120804205011,1.0,0.0,14.03998829904019,0.0
13,partial_notch,1.0,10.0,0.4353981633974483,6.0,0.05,0.0,D21_guard,2.102217055050133,2.8407528159911393,2.102232425909044,2.840762138291737,-0.4262292155265025,0.0,1.0,0.7385633247002055,0.0
14,partial_notch,1.0,10.0,0.4353981633974483,6.0,0.05,0.15,D60_hotspot,31.28593012120719,31.206175981264447,31.28639526077564,31.27643926709053,-0.04189442282999003,0.8571428571428571,0.14285714285714285,16.065401910976664,0.0
14,partial_notch,1.0,10.0,0.4353981633974483,6.0,0.05,0.15,D21_guard,2.102217055050133,2.713848783352605,2.102232425909044,2.807282231299091,-0.378559285920767,0.0,1.0,0.8011486336957621,0.0
15,partial_notch,1.0,10.0,0.4353981633974483,6.0,0.07,0.0,D60_hotspot,31.28593012120719,30.19745254247384,31.28639526077564,30.197902428400162,0.659652108120845,1.0,0.0,13.434921378873504,0.0
15,partial_notch,1.0,10.0,0.4353981633974483,6.0,0.07,0.0,D21_guard,2.102217055050133,3.540361216678368,2.102232425909044,3.540364724137632,-0.6594364314087003,0.0,1.0,1.4381982241015607,0.0
16,partial_notch,1.0,10.0,0.4353981633974483,6.0,0.07,0.15,D60_hotspot,31.28593012120719,31.15894492344749,31.28639526077564,31.270539015467925,0.2329976322488484,0.9047619047619048,0.09523809523809523,15.423530018557496,0.0
