m,s,a,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)"
0.0,1.0,0.0,0.00025732417575299193,0.0008613978550933431,4.440892098500626e-16,4.440892098500626e-16,1.1102230246251565e-16,4.451102010417688e-18,8.326672684688674e-17,1.0
0.05,1.125,0.0,0.0002568832278327356,0.0008574584197276936,0.0006609429764634633,0.0004724492932390856,0.00010905050627962876,0.0027807868873597416,0.007733287930013655,0.9977515700366018
-0.05,0.875,0.0,0.00025778355368887105,0.0008655809156601485,0.0006889415453175118,0.0005038549737297338,0.00011958003081602442,0.002880274535350979,0.008475849132947091,0.9974052119928962
-0.05,1.0,-0.125,0.0002572385882850953,0.000858541426166103,0.0012221254472843945,0.0008615543179857355,0.00017890659420483068,0.005225538054129558,0.013237300111825695,0.9931175282085735
-0.1,0.875,-0.125,0.0002576796168674705,0.0008625367317615587,0.0012901385119432618,0.0009611327284173576,0.00013346864090435506,0.0040729408609568715,0.011210532315533095,0.9929720792074728
0.1,1.25,0.0,0.00025645924289214407,0.0008537460133143626,0.0013441068192157068,0.000915450446983046,0.00020850292258245418,0.005468066686692586,0.014789069748501624,0.991662569234734
0.05,1.0,0.125,0.0002574179556042364,0.00086447484633234,0.0013506942637637742,0.0008450393022139124,0.0002052775102837634,0.00552486312998419,0.015175489155178482,0.9927799158014307
0.1,1.125,0.125,0.0002569582467633178,0.0008603461072816148,0.0013834593965009745,0.0008904534037830203,0.00014322341727857069,0.004192716142075823,0.012021435007273235,0.9935923026764051
-0.1,0.75,0.0,0.0002582629558039693,0.0008700256686782274,0.001444036228507528,0.0010412032948832195,0.0002507124477025835,0.005866394373834481,0.01776556124177238,0.9889246802532532
0.0,1.125,-0.125,0.0002568147652483913,0.0008547762267482439,0.0016458044437728248,0.0010231627303722846,0.0002509590683948959,0.00692504721619604,0.0185714454328732,0.9891101924916055
0.0,1.125,0.0,0.0002568604046403118,0.0008501846671646956,0.0016502751292288842,0.0012386158335568886,0.00021944174631527424,0.012776249414240496,0.016573417316023853,0.9977515700366009
-0.15,0.75,-0.125,0.0002581393224383259,0.000866778952748709,0.00167643901049086,0.0011570249507573127,0.00019918051358602806,0.004958850085447608,0.015122435913320562,0.987705142394049
0.15,1.25,0.125,0.0002565167470213294,0.0008564579921578351,0.0018327242201769955,0.0011731031341464249,0.00018895117951722717,0.004955241331998976,0.015857749214669786,0.9899401250413756
0.0,0.875,0.0,0.0002579325573836976,0.0008745650298168978,0.0018699334454188588,0.001403049415792168,0.00026321137945484185,0.014453498631706866,0.019511262144376026,0.9974052119928971
-0.05,1.0,0.0,0.0002572565316928218,0.0008537318306392932,0.0019386422565146333,0.001366703952883963,0.00019003241370418866,0.011005293417737311,0.016225827136280735,1.0
0.0,0.875,0.125,0.00025789746581319914,0.0008688620675573969,0.0020050837911123054,0.0012465193019142173,0.00030612317806388845,0.007589232174204676,0.022625594648177386,0.9864653589028212
0.05,1.25,0.0,0.0002564793180793259,0.0008468411043101717,0.002085874239129648,0.001549638519480423,0.0003070241711498056,0.014447700188661098,0.02229882389803642,0.9916625692347338
0.05,1.25,-0.125,0.0002564067912218447,0.0008512256704532612,0.002090626542867735,0.0012996994690852581,0.00031873921910108294,0.009029289149161054,0.023590868835172363,0.9818477857151687
0.05,1.0,0.0,0.00025742054081585576,0.0008699157213400564,0.0021425310424523225,0.001510441462346357,0.0002102351087382992,0.012162730230172622,0.017932312272740197,0.9999999999999997
-0.1,1.0,-0.25,0.00025715977753504023,0.0008558903709100993,0.0023751133410079284,0.0017844090140908264,0.0003348471136782605,0.010176780034751332,0.02478395356455783,0.973803294917917
-0.1,0.875,0.0,0.0002576689953837327,0.0008574973644971754,0.0024494188643684467,0.0016448315290480409,0.00024678907137576367,0.009129770879221934,0.020914870909873512,0.9974052119928967
0.15,1.125,0.25,0.0002570413192666075,0.000863454597114417,0.0024851230671298907,0.0016356310741052482,0.0003319891937071384,0.00965693449169749,0.024651757316291156,0.976215579355415
-0.15,0.875,-0.25,0.00025758405586408565,0.0008597129682531183,0.0025170863487700146,0.0018910725195477873,0.00026888952300607727,0.008900151980531072,0.02132290552717586,0.9748168238106169
0.05,1.125,0.125,0.0002569216908665168,0.0008527846692294948,0.0026061999590636376,0.0019580230632292306,0.0002589813690213605,0.008921815369008733,0.02207781053645405,0.9935923026764047
-0.05,0.75,0.0,0.0002584672121217415,0.0008795067425524032,0.002621384729693421,0.001947872579586063,0.00040822826391917477,0.016878594632468883,0.028917461681130047,0.9889246802532533
-0.05,1.125,-0.125,0.0002568040809715995,0.0008477689389747999,0.002622058367023783,0.0016404470147521888,0.00036027070375022063,0.016329752581001594,0.026692795081224602,0.9891101924916048
-0.05,1.125,-0.25,0.0002567516087319341,0.0008522855675882028,0.0026223364413433536,0.0016785581645497594,0.00039765477882669487,0.011586217471909138,0.029436830432826785,0.969267168539701
-0.1,1.0,-0.125,0.00025718502454092636,0.0008511598403056475,0.002640040247205988,0.0016560963647607174,0.0003045838079165364,0.014662438842119993,0.023833489093305335,0.9931175282085738
0.0,1.0,0.125,0.0002573344220866113,0.0008565015022295311,0.0026516292072864545,0.0018856101984412454,0.0002486802111629771,0.0071794795841349235,0.02126131478662935,0.9927799158014307
-0.05,0.75,0.125,0.000258398510878978,0.0008735272418314945,0.0027067102503171014,0.001682706022892999,0.00041780968893090353,0.010263623933687382,0.03054282779862004,0.9736324506726156
0.1,1.25,0.125,0.0002565250881162883,0.0008492835353129744,0.002709139288863849,0.00203536079058253,0.00029527704100629215,0.010700126848109054,0.02343990804383944,0.989940125041376
0.1,1.125,0.0,0.00025692935215179387,0.0008655384629312346,0.0027980365760282844,0.001857576828669938,0.00028229553423142484,0.009999679691463335,0.02389161553380334,0.9977515700366014
0.1,1.0,0.25,0.0002575216187396631,0.000867789076793242,0.0028866204086792635,0.0017945524634273013,0.0004408426855634362,0.011376216013885788,0.03257295458645647,0.9712470298575062
0.0,1.25,-0.125,0.00025643720314421877,0.0008445706038595123,0.002908235926541547,0.0018194892241496508,0.00042157172391332765,0.01790330980896307,0.031208972688947442,0.981847785715169
-0.15,0.875,-0.125,0.000257581234149233,0.0008547570800456426,0.0029874441322217393,0.0018740227057272296,0.00030892238625868096,0.01289666001549084,0.025959103363777464,0.9929720792074728
0.0,1.25,-0.25,0.0002563582907294391,0.0008488841144275999,0.0029967067248395374,0.0018661705357678748,0.00045674064678846715,0.013265822420445505,0.033815181159128224,0.9619673117722818
-0.15,0.75,0.0,0.000258099202418039,0.0008614973312090236,0.003009192940711891,0.00192614558760984,0.0003031448944426085,0.008058617249289721,0.025694617941187103,0.9889246802532532
-0.05,0.875,0.125,0.00025776468627382586,0.0008604499130619464,0.0030305233549769994,0.002136633051871506,0.00027417053224865207,0.006827875383603165,0.024091738545386543,0.9864653589028216
0.0,1.0,-0.125,0.0002573179233056755,0.0008667418233031552,0.003048478159233259,0.002225661519199562,0.00029480025874195626,0.007834433950271853,0.025095584552576156,0.9931175282085741
0.1,1.0,0.125,0.0002575336064304193,0.0008733359387311362,0.0030628131461192254,0.001921301662956676,0.00037445627034948803,0.017008726726450905,0.028942572149622564,0.9927799158014304
-0.05,0.875,-0.125,0.0002578091882526607,0.0008711814738518853,0.003108918588229148,0.002335712682476565,0.0003093886900675802,0.009852609850984443,0.02633647327231639,0.9929720792074731
0.0,1.25,0.0,0.0002565124679634613,0.0008406209898325464,0.0031233494069127232,0.0023454480710611847,0.0004064163710565394,0.024078113153003067,0.03080435912289492,0.991662569234734
-0.1,0.75,-0.125,0.0002583215454387831,0.0008758968814361257,0.0032565252888452356,0.002446608749022694,0.0003713459640422023,0.012135750483195666,0.029185847211447694,0.9877051423940498
0.05,0.875,0.125,0.00025806843563902667,0.0008782133907359525,0.0032949672485544923,0.0020614412152586414,0.00048599463509269025,0.01944580664387465,0.03590552937300319,0.9864653589028216
-0.05,1.125,0.0,0.00025685520377049256,0.0008436336495187464,0.003328016023425029,0.002346258347317054,0.00034580788290605735,0.022565721949902126,0.027405916752438447,0.9977515700366009
-0.1,0.75,0.125,0.00025821401048537406,0.0008646471954433422,0.0034015054873361983,0.0023980549064743784,0.0003077032302057914,0.007850055192924229,0.027040759645141688,0.9736324506726155
0.05,1.0,0.25,0.0002574200659987349,0.0008594836768594134,0.0034068313139843376,0.002559532802582254,0.00033847192465097375,0.0074314281234187885,0.0288601709236585,0.9712470298575065
-0.15,1.0,-0.25,0.00025711875228829077,0.0008487720165656314,0.0034863656919674746,0.00218118645398957,0.00043614011868409186,0.018116445494327338,0.033881367046954436,0.9738032949179161
0.1,1.125,0.25,0.0002569891464920466,0.0008555825642867704,0.0035036707335716066,0.0026322877024211877,0.0003480844084828849,0.007218306992644203,0.0296805233109253,0.976215579355415
0.15,1.125,0.125,0.00025702118104567614,0.0008687472756443698,0.0035404569537154096,0.0022209274638311793,0.0003667355077594525,0.014707496065455876,0.030764454145008363,0.9935923026764044
0.15,1.25,0.0,0.0002564573276913226,0.0008614145780919708,0.0035530493873188185,0.002274261084211693,0.0003585390901513774,0.008827436710117162,0.030338448990159167,0.9916625692347338
0.05,1.125,-0.125,0.00025684608241391876,0.0008625590103379677,0.0035602151346174615,0.0025100856972124497,0.00032260160473640553,0.0073447694866270435,0.028302627019077653,0.9891101924916049
-0.1,1.125,-0.25,0.00025675171150658027,0.0008455250504765146,0.00359459739787793,0.0022488998127372373,0.0004929459425352389,0.019673920837291966,0.03659333176857407,0.9692671685397004
0.15,1.25,0.25,0.0002565755729630811,0.0008519104275220984,0.003599772345726393,0.002704488291772833,0.00035762318626164635,0.008351915785609974,0.030494625535898684,0.9761565989271704
0.05,0.875,0.25,0.0002580232597068693,0.000872398382830246,0.0036435199288500364,0.002265101308161155,0.0005565792413307902,0.013416967871192297,0.041113895273669473,0.9602755471109076
-0.1,1.0,0.0,0.0002572112970194491,0.0008468290448951911,0.003692798310394263,0.0026033488288308426,0.0003618204972598571,0.02096329469857088,0.030907562667770838,1.0
0.0,0.875,0.25,0.0002578698588708342,0.0008636308789653988,0.0037015159615338966,0.0026097080995777233,0.00036993867072643294,0.008768965783574889,0.029425925598095565,0.9602755471109072
-0.05,1.25,-0.25,0.00025639786116480207,0.0008424605794675051,0.003853534514375756,0.0024108994940217343,0.000546387006324589,0.021195575214820215,0.040460313053348906,0.9619673117722812
-0.05,1.25,-0.125,0.0002564787291473145,0.0008385747317963595,0.0038768408462539483,0.0024254807112189525,0.0005145778059618689,0.027204878039577326,0.03922684571568409,0.9818477857151683
-0.1,1.125,-0.125,0.0002568088359348372,0.0008414569810428192,0.0038877750206469663,0.0024387999711423802,0.0004701573728779218,0.02578106458029683,0.036590770334789996,0.9891101924916049
0.0,0.75,0.125,0.0002586276406741381,0.0008834015897702893,0.003957370873607591,0.0024602159773328136,0.0006045872936520924,0.022025850612666275,0.04465542520249681,0.9736324506726155
0.05,0.875,0.0,0.0002581246536966295,0.0008845557083433068,0.0039778498897518055,0.002811524126281828,0.00044184235614330714,0.028136316582381218,0.03430292246929906,0.9974052119928971
0.05,1.25,0.125,0.0002565487657340275,0.0008428216170208833,0.00398509382571266,0.00299397810699098,0.00040979275525721004,0.020687168567637547,0.03375878590900348,0.989940125041376
0.0,1.125,0.125,0.00025690527008681335,0.0008459756955022167,0.003987334592774783,0.002924000037455521,0.0003866210975091988,0.019078085800424718,0.03296974384411544,0.993592302676405
0.0,0.75,0.0,0.0002587214545493323,0.0008900532561175517,0.004021735373377133,0.0030215066913390487,0.0005824333926550684,0.03081646215596496,0.04248113873696581,0.9889246802532536
-0.05,0.75,0.25,0.0002583401889103044,0.0008680428380180957,0.0040579578522912385,0.0028610130511177445,0.0004811913961333403,0.010706124087831566,0.035551043791995515,0.9424287573018169
0.1,1.25,-0.125,0.0002563921296084771,0.0008586156485197435,0.004083295298281442,0.00287876386273922,0.00037004286647113194,0.008184288103998651,0.032460746317188954,0.9818477857151695
-0.15,0.875,0.0,0.00025758189498196484,0.0008502203385074086,0.00413134969570228,0.0028550090667320838,0.000411623645724557,0.019266251727352378,0.03489898684055115,0.9974052119928969
-0.15,1.0,-0.125,0.0002571514452786166,0.0008445121226600709,0.004208885732959189,0.0026402326136596432,0.00044161888186322606,0.024272416721751327,0.03657270059372411,0.9931175282085741
-0.05,1.0,-0.25,0.00025722400957421335,0.0008637971489032487,0.0043199767047314985,0.003245573690944248,0.0004300421698800738,0.007919247084873852,0.036595667526307246,0.9738032949179167
-0.05,1.0,0.125,0.0002572760840512949,0.0008493232913247643,0.004337664135396491,0.0030582165104870995,0.0003923041826733309,0.01737329219676816,0.03448311001334203,0.9927799158014308
0.0,0.75,0.25,0.00025854813438665826,0.0008773035551890177,0.004447877662881794,0.002765153947138055,0.0006796379743450043,0.015934322416609116,0.05019035986981672,0.942428757301817
-0.1,0.875,-0.25,0.0002576963660324859,0.0008680440766577931,0.004476881144062084,0.0033634550951950892,0.0004456794821742216,0.00796471300486843,0.03792484661397519,0.9748168238106162
0.15,1.0,0.25,0.0002576592054945258,0.0008770212696252649,0.004492842685130061,0.002810871971144824,0.000635006760829282,0.022346022186292117,0.04689906228841999,0.9712470298575059
0.1,1.0,0.0,0.00025755349436391763,0.0008793852245962,0.004510394041644883,0.003179737439987562,0.000442846131555541,0.025604625964958935,0.03775058229042358,0.9999999999999994
0.0,1.125,-0.25,0.00025676982339842383,0.000859793220623883,0.0045235467067135104,0.0031892707209717486,0.0004145252377329989,0.008933985889302443,0.03596081989501859,0.969267168539701
-0.05,1.25,0.0,0.0002565547081461078,0.000835015447173952,0.004612668211931403,0.003284354329874173,0.0005099816901090737,0.03279207115427829,0.04006277730487949,0.9916625692347336
