target_D,eval_D,case,case_label,g_beta,g_center,g_half_width,mismatch,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu,score
6.4,6.4406779661016955,D60E21_release,D60 x E21 release,0.245,0.045,0.025,0.0,5.298387212102675,5.298556456002004,5.298387212102675
6.4,6.4406779661016955,D60E21_release,D60 x E21 release,0.245,0.045,0.03,0.0,5.285037269812783,5.285206431870002,5.285037269812783
6.4,6.4406779661016955,D60E21_release,D60 x E21 release,0.245,0.045,0.035,0.0,5.386571195172664,5.386740779166054,5.386571195172664
6.4,6.4406779661016955,D60E21_release,D60 x E21 release,0.245,0.05,0.025,0.0,5.244835503937516,5.245004603422316,5.244835503937516
6.4,6.4406779661016955,D60E21_release,D60 x E21 release,0.245,0.05,0.03,0.0,5.397260691022652,5.3974304206516095,5.397260691022652
