D,eta,C_uv_ee,C_uv_mumu,C_uv_tautau,C_ir_ee,C_ir_mumu,C_ir_tautau,delta_C_mumu,abs_delta_C_mumu,rel_delta_C_mumu,mu_match,mu_low,log_ratio,mu_mumu_uv_tree,mu_mumu_uv_rge,delta_mu_mumu,abs_delta_mu_mumu,chi2_uv_tree,chi2_uv_rge
4.0,0.2,0.00016389844827068692,0.0014346362934189855,0.00037114010804446167,0.00016441236666716883,0.0014391347251688149,0.0003723038513941322,4.49843174982938e-06,4.49843174982938e-06,0.0031355903726015756,1.280917082806759,1.0,0.24757629233153006,1.3909755943471147,1.3909698534688104,-5.740878304294483e-06,5.740878304294483e-06,0.0005089993586739151,0.0005096471648422107
4.271186440677966,0.2,0.00018318140959798027,0.0014841806720360749,0.00028500464590459185,0.00018380807859849348,0.0014892580978532858,0.0002859796551971976,5.077425817210952e-06,5.077425817210952e-06,0.003421029469576288,1.3101133498507629,1.0,0.2701136600734853,2.522321645472282,2.5223062115347745,-1.543393750758071e-05,1.543393750758071e-05,7.87253672434757,7.872320202809614
4.5423728813559325,0.2,0.00019406333663899122,0.0015199031718495682,0.00021442506020887754,0.0001947768636176781,0.0015254915119084834,0.00021521345263794418,5.588340058915219e-06,5.588340058915219e-06,0.0036767737329706177,1.336837055854085,1.0,0.29030641773389404,4.6654926692294545,4.6654487551328465,-4.3914096607977626e-05,4.3914096607977626e-05,66.64651482994567,66.6447223274916
4.813559322033898,0.2,0.0001966627017832548,0.0015452131021125735,0.00015647341516736554,0.00019743125919774877,0.0015512517915835982,0.00015708491293642705,6.0386894710246376e-06,6.0386894710246376e-06,0.003907997843642864,1.3614674722540774,1.0,0.3085631417365316,9.025412850803633,9.02527490868345,-0.00013794212018325425,0.00013794212018325425,363.4182571575073,363.40510895623356
5.084745762711864,0.2,0.00019161022453432575,0.0015225260889651072,0.00011148989916364868,0.00019240121291431804,0.001528811246490147,0.00011195014190350915,6.285157525039858e-06,6.285157525039858e-06,0.004128111544749956,1.3853358801229803,1.0,0.325942622962018,17.144582657747574,17.144144416171184,-0.00043824157638994166,0.00043824157638994166,1549.3242691665348,1549.2380212328387
5.3559322033898304,0.2,0.00017742115184911378,0.0014046469097318574,8.1527213979362e-05,0.00017819294016272253,0.0014107571736906872,8.18818602565086e-05,6.110263958829763e-06,6.110263958829763e-06,0.004350035526007168,1.4098242315987948,1.0,0.34346503817899665,26.997359634108225,26.99630146831085,-0.0010581657973744996,0.0010581657973744996,4095.155126486707,4094.816555354076
5.627118644067797,0.2,0.00015487913850894478,0.0012836289943564524,5.831488818919823e-05,0.000155584550786285,0.0012894754089277512,5.858048908597754e-05,5.8464145712988375e-06,5.8464145712988375e-06,0.0045545984057721745,1.432780089952489,1.0,0.3596166757664264,43.152155046302646,43.149533772619975,-0.002621273682670733,0.002621273682670733,10895.265318815598,10893.897313944599
5.898305084745763,0.2,0.0001254642956443882,0.0011612125376845434,4.0050778109197556e-05,0.00012605949987994463,0.0011667213449293556,4.024077951673338e-05,5.508807244812217e-06,5.508807244812217e-06,0.004744012888283805,1.45436916618464,1.0,0.3745722438482496,71.56336428429444,71.55647053593394,-0.006893748360496943,0.006893748360496943,30768.110548066266,30762.06473787104
6.169491525423728,0.2,0.00010998564071272086,0.0009190288113160527,3.101761868374227e-05,0.00011052117959781003,0.0009235037196930704,3.116864877112795e-05,4.474908377017782e-06,4.474908377017782e-06,0.00486917093557676,1.4688126115811924,1.0,0.38445432716339806,71.3137816544862,71.30485820818416,-0.008923446302048887,0.008923446302048887,30549.605407694817,30541.807506914563
6.4406779661016955,0.2,0.00010258751104300041,0.0006321806441607946,2.6414652136828484e-05,0.0001030960570083729,0.0006353144848467218,2.6545594632989364e-05,3.1338406859272297e-06,3.1338406859272297e-06,0.004957191769272423,1.4790561881231366,1.0,0.39140417362443886,44.85735407765054,44.85107153713091,-0.006282540519627844,0.006282540519627844,11803.385146439314,11799.972610780425
6.711864406779661,0.2,9.207183637520815e-05,0.00037505460772301025,2.233070669882528e-05,9.253590014661783e-05,0.00037694497140637633,2.2443258727511554e-05,1.8903636833660802e-06,1.8903636833660802e-06,0.005040235860166191,1.488786073648744,1.0,0.3979610722242015,20.943183583848107,20.939981404957866,-0.003202178890241214,0.003202178890241214,2387.1001536999383,2386.31795816312
6.983050847457627,0.2,7.858547974515462e-05,0.00014399307293857294,1.867657532156931e-05,7.8987722740455e-05,0.00014473010737736682,1.8772172136956374e-05,7.370344387938881e-07,7.370344387938881e-07,0.005118540939176324,1.4980193368309624,1.0,0.4041437934435988,4.07952676836415,4.078869586074672,-0.0006571822894771984,0.0006571822894771984,44.87414813987514,44.85213911997429
7.254237288135593,0.2,7.515945281008012e-05,0.0001190754143509837,1.6996549153711777e-05,7.553929561679882e-05,0.00011967720079177326,1.708244675798774e-05,6.017864407895692e-07,6.017864407895692e-07,0.0050538261325361305,1.4903844653659062,1.0,0.39903411712015435,3.194899164042772,3.194185931596281,-0.0007132324464911299,0.0007132324464911299,20.135393806759012,20.11939473211259
7.525423728813559,0.2,7.15206674103297e-05,0.00010715980411582783,1.5542215575729083e-05,7.187673226931651e-05,0.00010769329802637329,1.5619592325662982e-05,5.334939105454547e-07,5.334939105454547e-07,0.004978489042111416,1.481545409937467,1.0,0.39308573888638926,2.9221780332393625,2.9212924022031963,-0.0008856310361662345,0.0008856310361662345,14.481412280477839,14.464566081257322
7.796610169491526,0.2,6.691932907580865e-05,9.531396378612845e-05,1.4180512611104804e-05,6.724735529879776e-05,9.57811752774969e-05,1.4250022871534952e-05,4.6721149136845237e-07,4.6721149136845237e-07,0.004901815776089339,1.4726034083420747,1.0,0.38703186045616705,2.5994254568765567,2.5983880728618187,-0.0010373840147379632,0.0010373840147379632,8.991383916272106,8.975837332359148
8.067796610169491,0.2,5.885918780303432e-05,8.381792897135916e-05,1.2648059535540712e-05,5.914804158215241e-05,8.422926875440626e-05,1.2710130385168765e-05,4.113397830470965e-07,4.113397830470965e-07,0.004907539330727827,1.4732690484805628,1.0,0.387483774216571,2.3009024142524064,2.2998628969473294,-0.001039517305077009,0.001039517305077009,5.0726572500363405,5.060957708140251
8.338983050847457,0.2,4.39476525619562e-05,7.387533090102179e-05,1.0454028432115425e-05,4.417412452956445e-05,7.425602681016685e-05,1.0507900351329224e-05,3.8069590914506784e-07,3.8069590914506784e-07,0.005153221034706761,1.5021268803343635,1.0,0.40688202403142654,2.1750426765013207,2.174412952994155,-0.0006297235071657248,0.0006297235071657248,3.7543196899895683,3.748221386032046
8.610169491525424,0.2,3.059299216121452e-05,6.480159153672128e-05,8.336536067272904e-06,3.0757684325198915e-05,6.51504398704696e-05,8.381414389661838e-06,3.488483337483187e-07,3.488483337483187e-07,0.005383329721934931,1.5296679377963576,1.0,0.42505067772900346,2.016928846376454,2.0168173361161776,-0.00011151026027622635,0.00011151026027622635,2.3787575093211397,2.377897663334111
8.881355932203391,0.2,1.8551962941298028e-05,5.649441987878238e-05,6.280778291425827e-06,1.865585151972525e-05,5.681078127885892e-05,6.315949832581737e-06,3.1636140007654023e-07,3.1636140007654023e-07,0.005599869876623977,1.5560460229324204,1.0,0.44214800303885227,1.8140666385966706,1.814541062769265,0.00047442417259446756,0.00047442417259446756,1.071569882492162,1.074026829511699
9.152542372881356,0.2,1.3008436905530661e-05,5.074716441969916e-05,5.00193578533838e-06,1.3081954243888584e-05,5.1033962632616046e-05,5.030204285869677e-06,2.867982129168829e-07,2.867982129168829e-07,0.005651512083413135,1.562403761747782,1.0,0.4462255082501052,1.6051035276478867,1.6057011040472726,0.0005975763993859573,0.0005975763993859573,0.26292160658504654,0.2644559012891682
9.423728813559322,0.2,1.1782159839618858e-05,4.660413231294158e-05,4.312642217644928e-06,1.1847914080238281e-05,4.686422209034047e-05,4.336710344197664e-06,2.6008977739889485e-07,2.6008977739889485e-07,0.00558083080814424,1.5537086313410264,1.0,0.44064473844635293,1.4145292805009808,1.4149065835084411,0.00037730300746030565,0.00037730300746030565,0.001319374949226149,0.001388788949338321
9.694915254237287,0.2,1.0441801013293428e-05,4.2452170788438824e-05,3.6381700592330582e-06,1.0499324567013882e-05,4.268603846354485e-05,3.658212623784902e-06,2.3386767510602242e-07,2.3386767510602242e-07,0.005508968581877857,1.5449178300308617,1.0,0.4349707244893218,1.2194759204430476,1.2196563457600094,0.0001804253169617187,0.0001804253169617187,0.20368089562428018,0.20327396015395788
9.966101694915254,0.2,8.989459118130695e-06,3.8279957443279895e-05,2.9753773121972738e-06,9.03832477964007e-06,3.8488042870716114e-05,2.99155111961882e-06,2.080854274362181e-07,2.080854274362181e-07,0.005435884502863987,1.5360285732154004,1.0,0.4292002369062351,1.024198891207012,1.0242164310119488,1.7539804936905767e-05,1.7539804936905767e-05,0.882665458562745,0.8825830670087335
10.237288135593221,0.2,7.983709985141867e-06,3.3260780889081205e-05,2.4056493695277716e-06,8.026568324057554e-06,3.343933219199647e-05,2.4185634328120606e-06,1.7855130291526318e-07,1.7855130291526318e-07,0.005368223419368897,1.5278445203763404,1.0,0.4238579318866663,0.7914651308619325,0.7913772326369095,-8.78982250229754e-05,8.78982250229754e-05,2.31446679348053,2.3151354559544153
