label,D,eta,mu_candidate,mu_full,chi2_candidate,chi2_full,abs_delta_mu_mumu,acceptance_mismatch
width_only,4.0,0.2,98.21009595620345,1.8414344787177772,58576.216744058234,1.2179024937552234,96.36866147748567,1.0
width_only,4.0,0.295,98.75025945708033,1.8553977041522351,59231.70635225536,1.2961691809195433,96.8948617529281,1.0
width_only,4.0,0.39,99.29053404360191,1.869411360343974,59890.97909588488,1.3771689076248776,97.42112268325793,1.0
width_only,4.0,0.485,99.83089744680146,1.8834750003050624,60554.00982614215,1.4609254744998763,97.94742244649639,1.0
width_only,4.0,0.5800000000000001,100.37132741603561,1.8975881710511824,61220.77281557576,1.5474624248128812,98.47373924498443,1.0
width_only,4.0,0.675,100.911801721866,1.9117504136610723,61891.241762074824,1.636803036764242,99.00005130820493,1.0
width_only,4.0,0.77,101.45229815893299,1.9259612633374992,62565.38979302515,1.7289703158223635,99.52633689559549,1.0
width_only,4.0,0.865,101.99279454881521,1.9402202494696392,63243.189469625904,1.823986987106496,100.05257429934558,1.0
width_only,4.0,0.96,102.53326874288075,1.9545268956969832,63924.612791373365,1.9218754878208313,100.57874184718376,1.0
width_only,4.0,1.055,103.07369862512517,1.9688807199746967,64609.63120070487,2.0226579597433085,101.10481790515048,1.0
width_only,4.0,1.15,103.61406211499886,1.983281234640386,65298.21558780527,2.1263562417725805,101.63078088035847,1.0
width_only,4.0,1.245,104.15433717021921,1.997727946482298,65990.33629556932,2.232991862537155,102.15660922373691,1.0
width_only,4.0,1.34,104.69450178957204,2.012220356808913,66685.96312472438,2.342586033070207,102.68228143276313,1.0
width_only,4.0,1.435,105.23453401569539,2.0267579615199205,67385.06533910376,2.455159639553789,103.20777605417547,1.0
width_only,4.0,1.53,105.77441193785084,2.041340251178509,68087.6116710761,2.570733236135707,103.73307168667233,1.0
width_only,4.0,1.625,106.31411369467791,2.0559667110850164,68793.57032712374,2.689327037823084,104.2581469835929,1.0
