point1_peak,point1_sigma_D,partial_peak,partial_center_D,partial_sigma_D,D60_D6p169_max_abs_delta_mu,D60_D6p441_max_abs_delta_mu,D21_D6p4_max_abs_delta_mu,D60_guard_D4p814_max_abs_delta_mu,D60_guard_D5p627_max_abs_delta_mu,D60_guard_D6p712_max_abs_delta_mu,D21_guard_D4p0_max_abs_delta_mu,D21_guard_D8p0_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
0.65,0.03,1.0,6.17,0.08,14.755065125606237,14.963778788651148,6.79100944423238,8.958857939127423,10.272608772570152,7.462495926459667,0.9244091557313041,0.3226590997374794,14.963778788651148,10.272608772570152,14.963778788651148
0.65,0.04,1.0,6.17,0.08,14.755065125606237,14.963778788651148,11.097187218080187,8.958857939127423,10.272608772570152,7.462495932263828,0.9244091557313041,0.3226590997374794,14.963778788651148,10.272608772570152,14.963778788651148
0.65,0.03,0.5,6.17,0.08,3.0129987291160205,15.016206482799682,6.671656247746107,8.958857939127423,10.27260877318443,7.462495925241221,0.9244091557313041,0.3226590997374794,15.016206482799682,10.27260877318443,15.016206482799682
0.65,0.04,0.5,6.17,0.08,3.0129987284331037,15.016206482799682,11.021209062713993,8.958857939127423,10.27260877318443,7.462495931045385,0.9244091557313041,0.3226590997374794,15.016206482799682,10.27260877318443,15.016206482799682
0.65,0.03,1.0,6.1,0.08,4.1475908275802595,15.064970503101186,6.565232409126651,8.958857939127423,10.272608456175995,7.462495924027216,0.9244091557313041,0.3226590997374794,15.064970503101186,10.272608456175995,15.064970503101186
0.65,0.04,1.0,6.1,0.08,4.147590827970461,15.064970503101186,10.953505624325942,8.958857939127423,10.272608456175995,7.46249592983138,0.9244091557313041,0.3226590997374794,15.064970503101186,10.272608456175995,15.064970503101186
0.65,0.03,0.5,6.1,0.08,9.585474669150855,15.066824422845585,6.558633975758134,8.958857939127423,10.272608614987362,7.4624959240249815,0.9244091557313041,0.3226590997374794,15.066824422845585,10.272608614987362,15.066824422845585
0.65,0.04,0.5,6.1,0.08,9.585474668178577,15.066824422845585,10.949309278889949,8.958857939127423,10.272608614987362,7.462495929829146,0.9244091557313041,0.3226590997374794,15.066824422845585,10.272608614987362,15.066824422845585
0.65,0.03,1.0,6.17,0.05,14.75408434976515,15.068664492916326,6.552414344240162,8.958857939127423,10.272608773798773,7.462495924022772,0.9244091557313041,0.3226590997374794,15.068664492916326,10.272608773798773,15.068664492916326
0.65,0.04,1.0,6.17,0.05,14.754084349765208,15.068664492916326,10.945353982556455,8.958857939127423,10.272608773798773,7.4624959298269395,0.9244091557313041,0.3226590997374794,15.068664492916326,10.272608773798773,15.068664492916326
0.65,0.03,0.5,6.17,0.05,3.0136317309093243,15.068671445355456,6.552224535330957,8.958857939127423,10.272608773798773,7.462495924022772,0.9244091557313041,0.3226590997374794,15.068671445355456,10.272608773798773,15.068671445355456
0.65,0.04,0.5,6.17,0.05,3.0136317302263365,15.068671445355456,10.945233278197982,8.958857939127423,10.272608773798773,7.4624959298269395,0.9244091557313041,0.3226590997374794,15.068671445355456,10.272608773798773,15.068671445355456
0.65,0.03,1.0,6.1,0.05,7.955611228327086,15.068678395128174,6.552034953195019,8.958857939127423,10.272608773798773,7.462495924022772,0.9244091557313041,0.3226590997374794,15.068678395128174,10.272608773798773,15.068678395128174
0.65,0.04,1.0,6.1,0.05,7.955611227428236,15.068678395128174,10.945112718182166,8.958857939127423,10.272608773798773,7.4624959298269395,0.9244091557313041,0.3226590997374794,15.068678395128174,10.272608773798773,15.068678395128174
0.65,0.04,0.5,6.1,0.05,16.488909375799025,15.068678396461742,10.945112645861926,8.958857939127423,10.272608773798773,7.4624959298269395,0.9244091557313041,0.3226590997374794,16.488909375799025,10.272608773798773,16.488909375799025
0.65,0.03,0.5,6.1,0.05,16.48890937709386,15.068678396461742,6.552034839470544,8.958857939127423,10.272608773798773,7.462495924022772,0.9244091557313041,0.3226590997374794,16.48890937709386,10.272608773798773,16.48890937709386
0.5,0.03,1.0,6.17,0.08,14.755065125606237,22.564632950973042,4.655904447876587,8.958857939127423,10.272608772570152,7.462495926459667,0.9244091557313041,0.3226590997374794,22.564632950973042,10.272608772570152,22.564632950973042
0.5,0.04,1.0,6.17,0.08,14.755065125606237,22.564632950973042,8.134939147564346,8.958857939127423,10.272608772570152,7.462495930924437,0.9244091557313041,0.3226590997374794,22.564632950973042,10.272608772570152,22.564632950973042
0.5,0.03,0.5,6.17,0.08,3.0129987291160205,22.636672213739836,4.513962982998422,8.958857939127423,10.27260877318443,7.462495925241221,0.9244091557313041,0.3226590997374794,22.636672213739836,10.27260877318443,22.636672213739836
0.5,0.04,0.5,6.17,0.08,3.0129987285907305,22.636672213739836,8.02944311734555,8.958857939127423,10.27260877318443,7.462495929705987,0.9244091557313041,0.3226590997374794,22.636672213739836,10.27260877318443,22.636672213739836
0.5,0.03,1.0,6.1,0.08,4.1475908275802595,22.703689557500347,4.3873593976314496,8.958857939127423,10.272608456175995,7.462495924027216,0.9244091557313041,0.3226590997374794,22.703689557500347,10.272608456175995,22.703689557500347
