D,eta,coeff_l1,coeff_l2,coeff_norm_gap_log,coeff_tilt_coherence,coeff_participation_access_parented,coeff_participation_access_parented_tilt,coeff_participation_access_parented_tilt_residual,shell_spread,shell_access_parented,tree_diag_compressibility_parented,hk_loop_local_prefactor_diag,parented_response_factor,eymh_parented_prefactor_diag,eymh_parented_prefactor_diag_tilt_recon,eymh_parented_prefactor_diag_tilt_residual,mu_mumu_uv_rge,mu_mumu_uv_rge_const,abs_mu_diff_vs_const
4.0,0.2,0.5339835720691466,0.3813202699293874,0.3367254490648569,0.8450472597147287,0.8450472597147287,0.8450472597147287,0.0,0.0771814943481594,0.26767767385469626,0.738157279449201,0.2594822797956052,0.16697138682215923,0.0433261161132477,0.043326116113247735,3.469446951953614e-17,2.4082829678814335,2.408283091800887,1.2391945336531762e-07
4.8,0.2,0.5496017971416134,0.3964102668125378,0.326744308558147,0.8492750682447441,0.8492750682447441,0.8492750682447441,0.0,0.0711178604801251,0.25767406620130606,0.7511256409565624,0.2385972532567175,0.1643734510631619,0.0392190539319979,0.0392190539319979,0.0,13.739244327095353,13.739247292265354,2.9651700010902005e-06
5.6,0.2,0.5468206835304987,0.3979753025694525,0.3177309811215154,0.8531111027479399,0.85311110274794,0.8531111027479399,-1.1102230246251565e-16,0.1092096338293002,0.31377884425076946,0.696333612351461,0.2408620932557482,0.1864003023182166,0.0448967669998699,0.04489676699986996,6.245004513516506e-17,57.971467023169026,57.971396100373646,7.0922795380568e-05
6.4,0.2,0.5249812193015628,0.3726558128157027,0.34270724939373237,0.8425235836395761,0.8425235836395761,0.8425235836395761,0.0,0.1316552460415761,0.3410845234930134,0.7315827004097961,0.2348317398037009,0.21023620458634457,0.0493701336927381,0.04937013369273809,-6.938893903907228e-18,59.87793765426565,59.87715710517647,0.0007805490891783506
7.2,0.2,0.5085808844373885,0.3470601291174894,0.3821262199183088,0.826080452602453,0.8260804526024531,0.826080452602453,-1.1102230246251565e-16,0.1406987183843505,0.35120411348378744,0.8498917755867975,0.2205935934157932,0.24657302669362582,0.0543924299977552,0.05439242999775522,2.0816681711721685e-17,3.5314919255891972,3.531394482587157,9.74430020401762e-05
8.0,0.2,0.5340456080149918,0.3605063302199267,0.3929717274540861,0.8216129457580271,0.821612945758027,0.8216129457580271,1.1102230246251565e-16,0.1520636193182569,0.3633075560105363,0.8602919827877128,0.2258410747793691,0.25679560086059683,0.057994994496971,0.05799499449697106,6.245004513516506e-17,2.324652153604843,2.324543270099281,0.00010888350556204074
8.8,0.2,0.465913978595868,0.3128373899025909,0.39831748733366634,0.8194198053033038,0.8194198053033038,0.8194198053033038,0.0,0.115172233250979,0.32136821487248435,0.7806784649252572,0.2223372469819722,0.205580338334753,0.0457081664589713,0.045708166458971376,7.632783294297951e-17,1.58370004028358,1.5836905358878322,9.504395747761407e-06
9.6,0.2,0.4654103917952466,0.311022914985717,0.40305298826718194,0.81748191879802,0.8174819187980201,0.81748191879802,-1.1102230246251565e-16,0.1148568546515892,0.3209732984685203,0.7453861415266694,0.2103436369428326,0.19558177122083603,0.0411393810783117,0.04113938107831168,-2.0816681711721685e-17,1.0000000014340196,1.0000000014340404,2.0872192862952943e-14
10.4,0.2,0.4844721631315347,0.3229405150921417,0.4055918323823523,0.816444847598413,0.816444847598413,0.816444847598413,0.0,0.1253376268973251,0.3337331239271595,0.7516331566998592,0.2165968878056446,0.2048010109921433,0.0443592616003478,0.044359261600347845,4.163336342344337e-17,0.4950631213671755,0.4950549751909506,8.146176224910207e-06
11.2,0.2,0.5036498025294905,0.3353439173657705,0.4067245660953016,0.815982571217961,0.8159825712179611,0.815982571217961,-1.1102230246251565e-16,0.1353663151635882,0.3452926237866013,0.7609776709350862,0.2141961374641878,0.2144075613520359,0.0459252714847219,0.04592527148472196,6.245004513516506e-17,0.1519945649010222,0.1519898999467061,4.66495431611369e-06
12.0,0.2,0.522145874622551,0.347502343175677,0.4071755942090428,0.8157985764254758,0.8157985764254758,0.8157985764254758,0.0,0.1446435501863265,0.3554793714957137,0.7756542341883732,0.2033633873147403,0.2249393906716671,0.0457444364275039,0.04574443642750392,2.0816681711721685e-17,0.0381623276974709,0.0381608684312153,1.4592662556031644e-06
12.8,0.2,0.4340755361717523,0.2840881611451176,0.423933948878602,0.8089914145203915,0.8089914145203916,0.8089914145203915,-1.1102230246251565e-16,0.1006380909200492,0.3023840820031647,0.7646132585185753,0.2100711557195202,0.18704437949411287,0.0392926289711688,0.03929262897116882,2.0816681711721685e-17,0.0023614708275849,0.0023615110031041,4.017551920006482e-08
13.6,0.2,0.428708680224616,0.2798971695134157,0.4263553372040366,0.808012565999803,0.808012565999803,0.808012565999803,0.0,0.0980848135726996,0.2988704261474397,0.7877426386557543,0.2082773251008593,0.1902328047632761,0.0396211797225291,0.039621179722529154,5.551115123125783e-17,0.0001778882187932,0.0001778917797778,3.560984600020547e-09
14.4,0.2,0.4446044252009733,0.2908063368569028,0.424527418159913,0.80875139435662,0.8087513943566201,0.80875139435662,-1.1102230246251565e-16,0.1074074264709029,0.31143214686360643,0.795109525246571,0.1981620938639441,0.20026517675704159,0.0396849667542082,0.039684966754208226,2.7755575615628914e-17,4.3880494927676865e-05,4.388102718529249e-05,5.322576156267756e-10
15.2,0.2,0.4600093586360452,0.301311214387321,0.4231031686891619,0.8093275313456637,0.8093275313456636,0.8093275313456637,1.1102230246251565e-16,0.1161901986479192,0.3226380950411735,0.7790953834150505,0.205104029139777,0.20343730313678973,0.0417258105506857,0.04172581055068577,6.938893903907228e-17,1.2073811470646549e-05,1.2073793845658816e-05,1.7624987732299535e-11
