level,uniform_p95_rel_E1_vs_uniform_fine,uniform_p95_rel_E2_vs_uniform_fine,uniform_p95_rel_delta_omega12_vs_uniform_fine,prolate_p95_rel_E1_vs_prolate_fine,prolate_p95_rel_E2_vs_prolate_fine,prolate_p95_rel_delta_omega12_vs_prolate_fine,crossmesh_p95_rel_E1_vs_uniform_fine,crossmesh_p95_rel_E2_vs_uniform_fine,crossmesh_p95_rel_delta_omega12_vs_uniform_fine
coarse,6.092257232929271,6.307498017307155,1.2723882848663255,3.3882231443575748,3.4648535550214405,1.0,11.222118281269461,12.69258136345121,1.0
mid,3.8112371346891556,4.373820484338842,1.2453774914283637,0.622266615485431,0.6462088324804385,1.0,3.5204671381057246,4.054644450860284,1.0
fine,0.0,0.0,0.0,0.0,0.0,0.0,1.787242284553215,2.0902283786755023,0.4407194997948099
