g_beta,g_center,g_half_width,worst_score,mean_score,worst_p95,worst_mismatch
0.245,0.05,0.025,5.244835503937516,5.244835503937516,5.244835503937516,0.0
0.245,0.045,0.03,5.285037269812783,5.285037269812783,5.285037269812783,0.0
0.245,0.045,0.025,5.298387212102675,5.298387212102675,5.298387212102675,0.0
0.245,0.045,0.035,5.386571195172664,5.386571195172664,5.386571195172664,0.0
0.245,0.05,0.03,5.397260691022652,5.397260691022652,5.397260691022652,0.0
