g_center_d21,g_half_width_d21,g_beta_d21,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu,mean_signed_delta_mu_mumu,min_signed_delta_mu_mumu,max_signed_delta_mu_mumu,delta_p95_vs_v16,delta_max_vs_v16
0.06,0.04,0.31,0.04853439003626647,0.04876108218171282,-0.04649405708730588,-0.04876108218171282,-0.04422692841912834,6.938893903907228e-17,2.0816681711721685e-17
0.06,0.045,0.31,0.19404105051001608,0.19426819474426082,0.19199685354845591,0.18972561596456217,0.19426819474426082,0.14550666047374966,0.14550711256254803
0.06,0.05,0.31,0.3812957139945041,0.381523164655718,0.37924875920696455,0.3769744573867868,0.381523164655718,0.3327613239582377,0.3327620824740052
0.065,0.04,0.31,2.5878198489766433,2.588050665023289,2.585742606382436,2.5834346520395712,2.588050665023289,2.539285458940377,2.539289582841576
0.065,0.045,0.31,2.6147333230186334,2.614964292124455,2.6126547029420344,2.6103452181071134,2.614964292124455,2.566198932982367,2.566203209942742
0.065,0.05,0.31,2.6172771089591933,2.6175081354607954,2.6151979723295593,2.6128879135545375,2.6175081354607954,2.568742718922927,2.5687470532790826
0.07,0.04,0.31,0.33560850419808474,0.3358338953100315,-0.33357988097742125,-0.3358338953100315,-0.33132576349760967,0.28707411416181833,0.28707281312831867
0.07,0.045,0.31,0.04423938425268403,0.044465807013338576,0.042201680379328706,0.03993765718513487,0.044465807013338576,-0.00429500578358237,-0.0042952751683742255
0.07,0.05,0.31,0.3254939120754088,0.32572102929501057,0.32344995825483885,0.32117899083856827,0.32572102929501057,0.27695952203914237,0.27695994711329774
