alpha_center,taper,p95_abs_delta_mu,max_abs_delta_mu,p95_abs_delta_log_mu,acceptance_mismatch,D4p8_max_abs_delta_mu,D5p6_max_abs_delta_mu,D6p4_max_abs_delta_mu,D7p2_max_abs_delta_mu,worst_D,worst_eta
0.8,0.0,1.7704071762455798,24.522860300084638,0.5613990385714756,0.08571428571428572,0.06939549528629563,24.522860300084638,1.770411181362519,0.7786800613906357,5.6,4.0
0.8,0.01,3.184322761749402,23.957405859317674,0.5613990385714756,0.08571428571428572,0.06536580423292548,23.957405859317674,3.1843253961736693,0.7791645397575344,5.6,4.0
0.8,0.02,4.563833479005943,23.382409390872937,0.5613990385714756,0.08571428571428572,0.061337268561553415,23.382409390872937,4.563834769084593,0.7796489328563205,5.6,4.0
0.8,0.03,5.909777651461373,22.797709873303575,0.5613990385714756,0.08571428571428572,0.05730988794091374,22.797709873303575,5.909777787669384,0.7801332407019999,5.6,4.0
0.8,0.04,7.223023444417717,22.203143567930297,0.5613990385714756,0.08571428571428572,0.05328366203986867,22.203143567930297,7.223030045137008,0.7806174633095777,5.6,4.0
0.8125,0.0,0.9204640291784456,23.814557551190973,0.5613990202330037,0.08571428571428572,0.02199160711081305,23.814557551190973,0.04694605360445081,0.7676354843209316,5.6,4.0
0.8125,0.01,1.4114524321320219,23.23715052159119,0.5613990202330037,0.08571428571428572,0.025995095903825316,23.23715052159119,1.4114567840947103,0.7681219065315892,5.6,4.0
0.8125,0.02,2.834102478734226,22.649999764715517,0.5613990202330037,0.08571428571428572,0.02999743682746825,22.649999764715517,2.834105453343078,0.7686082431320176,5.6,4.0
0.8125,0.03,4.2221351210746905,22.052940855442046,0.5613990202330037,0.08571428571428572,0.03399863021084926,22.052940855442046,4.22213674479557,0.7690944941372839,5.6,4.0
0.8125,0.04,5.576392705927837,21.44580659397964,0.5613990202330037,0.08571428571428572,0.03799867638299936,21.44580659397964,5.576393004754152,0.7695806595624526,5.6,4.0
0.825,0.0,1.92090020350917,23.09128268267758,0.561399001894532,0.08571428571428572,0.11278448314670086,23.09128268267758,1.920937955983618,0.7565465937510316,5.6,4.0
0.825,0.01,0.9001093324589939,22.501670410150318,0.561399001894532,0.08571428571428572,0.1167619400543014,22.501670410150318,0.4171423626231032,0.7570349676046169,5.6,4.0
0.825,0.02,1.0502802457039053,21.902108447218318,0.561399001894532,0.08571428571428572,0.12073825655630799,21.902108447218318,1.0502849461964132,0.7575232555044842,5.6,4.0
0.825,0.03,2.481718710522891,21.292428893137753,0.561399001894532,0.08571428571428572,0.12471343297973547,21.292428893137753,2.4817220269704094,0.7580114574657606,5.6,4.0
0.825,0.04,3.878325922124856,20.67246101384447,0.561399001894532,0.08571428571428572,0.1286874696514122,20.67246101384447,3.8783278811125186,0.7584995735035713,5.6,4.0
