D,eta,parent_blockdet_k11,parent_blockdet_k_bg,parent_blockdet_k22,parent_blockdet_c_parent,parent_blockdet_det_ratio,parent_blockdet_schur_norm,parent_blockdet_action,parent_blockdet_action_residual,parent_blockdet_coeff_share,parent_blockdet_tree_share,eymh_parented_prefactor_diag
4.0,0.2,1.4003545423064692,1.052928468881864,1.9324179114318152,0.5933865462204695,2.5700418213419365,1.8352793836830217,0.9439221716704215,-2.220446049250313e-16,0.35673009827597035,0.6432699017240294,0.0433261161132477
4.8,0.2,1.3864469292404067,1.3330127461264274,2.362702968139451,0.6308094992672555,2.4574125674365095,1.772453395517168,0.8991089945574516,-2.220446049250313e-16,0.36340900884766814,0.6365909911523319,0.0392190539319979
5.6,0.2,1.3740065777952906,1.0489632309804584,2.1633438169820285,0.6455893968552749,2.8337014556627995,2.0623638208557287,1.0415837919166175,2.220446049250313e-16,0.30504601126411435,0.6949539887358859,0.0448967669998699
6.4,0.2,1.4087562872961084,1.2368422574530327,2.3109335636598973,0.6626021238587645,2.63214016800611,1.8684141407156376,0.9677972673665268,0.0,0.3541105776484295,0.6458894223515704,0.0493701336927381
7.2,0.2,1.465397035754631,1.5397550802947837,2.131691691581259,0.5248671681934076,2.0287477703193617,1.3844355630722451,0.7074187408044638,5.551115123125783e-16,0.5401697719850652,0.45983022801493556,0.0543924299977552
8.0,0.2,1.4813765064519049,1.5891268740470006,2.1471719293261815,0.5182950695820405,2.001583450235415,1.3511645699238712,0.6939385924286489,-1.1102230246251565e-16,0.5662917897083114,0.4337082102916886,0.057994994496971
8.8,0.2,1.489316794072924,1.1526414316992488,1.8912538593858557,0.6011783971318578,2.443670735040456,1.640799824970484,0.8935013084364156,-1.1102230246251565e-16,0.4457939608736587,0.5542060391263413,0.0457081664589713
9.6,0.2,1.496386180473614,1.1066533286499558,1.991814853819894,0.6628589205715681,2.6932772388207646,1.7998543918444425,0.9907587564774976,-1.1102230246251565e-16,0.40681244110340214,0.5931875588965979,0.0411393810783117
10.4,0.2,1.5001900984560719,1.191089660939199,2.1083009049864505,0.6773329923051223,2.655427417389111,1.7700606210652616,0.9766056275710134,0.0,0.41530769527831735,0.5846923047216827,0.0443592616003478
11.2,0.2,1.501890377156128,1.263616892757297,2.1820846584052984,0.6789478133898228,2.593548700862767,1.7268561942408374,0.9530270926791923,0.0,0.42677125259041626,0.5732287474095837,0.0459252714847219
12.0,0.2,1.502567924724998,1.324701506182844,2.2018194050882944,0.663936233528539,2.4974556144772007,1.6621249351734222,0.9152724594015471,1.1102230246251565e-16,0.44486818108268605,0.5551318189173142,0.0457444364275039
12.8,0.2,1.5279606669354249,1.114287005200122,1.9059583976837793,0.6465070427840429,2.6135362351758338,1.7104735034951575,0.9607041836914604,5.551115123125783e-16,0.4412741779156786,0.558725822084322,0.0392926289711688
13.6,0.2,1.5316649359830974,1.1152775579450587,1.7972738537376562,0.6021573855258117,2.468283632642407,1.6115036485170577,0.9035230235251286,0.0,0.4718809882017123,0.5281190117982878,0.0396211797225291
14.4,0.2,1.5288677337858356,1.195999582362392,1.8918082519709034,0.6066224148878697,2.4183324455975557,1.5817800272422495,0.8830782305821943,2.220446049250313e-16,0.4807359115624801,0.51926408843752,0.0396849667542082
15.2,0.2,1.526691794633058,1.2635129579283289,2.0816055557919326,0.6564165282385889,2.5151860151088345,1.647474640232387,0.9223467630865431,-2.220446049250313e-16,0.4587246203079724,0.5412753796920273,0.0417258105506857
16.0,0.2,1.5223665031335394,1.3217878591111365,2.1085905614525933,0.6410923305407153,2.4285649300316874,1.595256414951911,0.8873005191280174,5.551115123125783e-16,0.4736456533347527,0.5263543466652478,0.0435062525324147
16.8,0.2,1.5107813949965139,1.3729068193667717,2.205333321105453,0.6520643908312672,2.426804575731303,1.6063241073583003,0.8865754025841881,1.1102230246251565e-16,0.4654166988025848,0.5345833011974154,0.0426372294501484
17.6,0.2,1.53334510636259,1.2679119024066776,1.946628624197221,0.6016562491767586,2.3541489508478253,1.5353027450111023,0.8561792824725557,0.0,0.4992548892628967,0.5007451107371033,0.0407600933091185
18.4,0.2,1.0,1.20297833384972,1.20297833384972,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0586804347402074
