alpha,beta,lambda,mean_abs_weight_residual,max_abs_weight_residual,rmse_weight_residual,mean_abs_prefactor_residual,max_abs_prefactor_residual,rmse_prefactor_residual,mean_k12_abs,mean_det_kernel
0.8,0.8,-0.6,0.06505679359264946,0.07724426590703826,0.06813500860039819,0.004481947102828256,0.005964888160360317,0.004711751180250505,0.233561536308249,1.9043687900154758
0.8,0.8,-0.4,0.059237868979303776,0.07047963633867893,0.062022660052897846,0.004081645714387175,0.005432160690639488,0.004290205110536775,0.15570769087216602,1.9378134292464133
0.8,0.8,-0.2,0.05582209314979043,0.06651771834585274,0.058436089224197275,0.0038466603144993675,0.0051198160015562405,0.004042855616823859,0.07785384543608301,1.9578802127849757
0.8,0.8,-0.1,0.054976770265492074,0.06553826186275391,0.057548672273906365,0.003788506586412561,0.005042560746107275,0.003981654898100967,0.038926922718041504,1.9628969086696162
0.8,0.8,0.0,0.05469575298386305,0.06521274328895399,0.05725367698936902,0.0037691740480500745,0.005016881923512635,0.003961310582866827,0.0,1.9645691406311632
0.8,0.8,0.1,0.054976770265492074,0.06553826186275391,0.057548672273906365,0.003788506586412561,0.005042560746107275,0.003981654898100967,0.038926922718041504,1.9628969086696162
0.8,0.8,0.2,0.05582209314979043,0.06651771834585274,0.058436089224197275,0.0038466603144993675,0.0051198160015562405,0.004042855616823859,0.07785384543608301,1.9578802127849757
0.8,0.8,0.4,0.059237868979303776,0.07047963633867893,0.062022660052897846,0.004081645714387175,0.005432160690639488,0.004290205110536775,0.15570769087216602,1.9378134292464133
0.8,0.8,0.6,0.06505679359264946,0.07724426590703826,0.06813500860039819,0.004481947102828256,0.005964888160360317,0.004711751180250505,0.233561536308249,1.9043687900154758
0.8,0.85,-0.6,0.05754704174342437,0.06697407608960748,0.06022696839916414,0.003963014614106218,0.0051523687551069605,0.004161260502766412,0.24240093067907142,1.9480124670072478
0.8,0.85,-0.4,0.05150359446404916,0.05947369105760314,0.05388274040897179,0.0035473049287646627,0.0046020411287185925,0.003723849076338703,0.1616006204527143,1.9840450443555218
0.8,0.85,-0.2,0.04795992162401816,0.05509149418801873,0.050164499390455586,0.0033035421226987223,0.004279737235770832,0.0034674955823069628,0.08080031022635716,2.0056645907644857
0.8,0.85,-0.1,0.04708338938368002,0.05400933834078214,0.049245010150734674,0.0032432465089759885,0.004200059437330365,0.0034041023687681696,0.04040015511317858,2.011069477366727
0.8,0.85,0.0,0.04679203565141635,0.05364979302757289,0.048939398206903476,0.0032232045816101254,0.004173578955889851,0.0033830323565207593,0.0,2.0128711062341407
0.8,0.85,0.1,0.04708338938368002,0.05400933834078214,0.049245010150734674,0.0032432465089759885,0.004200059437330365,0.0034041023687681696,0.04040015511317858,2.011069477366727
0.8,0.85,0.2,0.04795992162401816,0.05509149418801873,0.050164499390455586,0.0033035421226987223,0.004279737235770832,0.0034674955823069628,0.08080031022635716,2.0056645907644857
0.8,0.85,0.4,0.05150359446404916,0.05947369105760314,0.05388274040897179,0.0035473049287646627,0.0046020411287185925,0.003723849076338703,0.1616006204527143,1.9840450443555218
0.8,0.85,0.6,0.05754704174342437,0.06697407608960748,0.06022696839916414,0.003963014614106218,0.0051523687551069605,0.004161260502766412,0.24240093067907142,1.9480124670072478
0.8,0.9,-0.6,0.050115942179897364,0.05789534319677936,0.052424628385032444,0.003449548060799833,0.004350472071139054,0.0036183109856494245,0.2511467357366296,1.992825393804718
0.8,0.9,-0.4,0.04386082503141698,0.05026418238241759,0.04586504031660732,0.0030193162150467636,0.003783914500600165,0.0031662031106852256,0.16743115715775309,2.0315143494319976
0.8,0.9,-0.2,0.040196970042768024,0.04580761463807048,0.04202554277252786,0.002767307754094169,0.003452464852852763,0.002901586125837451,0.08371557857887654,2.054727722808366
0.8,0.9,-0.1,0.03929115579262566,0.04470732302637037,0.04107665987916656,0.002705003082133064,0.0033705667422690086,0.0028361914558167724,0.04185778928943827,2.060531066152458
0.8,0.9,0.0,0.03899010787167001,0.0443417721893139,0.04076133173596163,0.0026842960273197533,0.0033433519075073206,0.0028144600232717716,0.0,2.0624655139338217
0.8,0.9,0.1,0.03929115579262566,0.04470732302637037,0.04107665987916656,0.002705003082133064,0.0033705667422690086,0.0028361914558167724,0.04185778928943827,2.060531066152458
