mode,D,slice_p95_abs_delta_log_mu,slice_p95_abs_width_component,slice_p95_abs_uv_component,slice_p95_abs_finite_component,slice_p95_abs_rge_component,slice_dominant_fraction_width,slice_dominant_fraction_uv,slice_max_abs_mu_delta
bandcombo,7.2,0.5053755753561667,0.32033813089794905,0.184485210072868,0.0,0.0005522343853493553,1.0,0.0,1.4009786272559777
bandcombo,8.0,0.14506923020404128,0.005291550117017874,0.1495617812360699,0.0,0.000798996608265691,0.0,1.0,0.3139007169163852
release,7.2,0.5053755738070862,0.3203381293484643,0.184485210073273,0.0,0.0005522343853493553,1.0,0.0,1.4009786239557904
release,8.0,0.1450692302031814,0.005291550117994426,0.14956178123618358,0.0,0.000798996608265691,0.0,1.0,0.3139007169146555
