mode,p95_abs_delta_log_mu,p95_abs_width_component,p95_abs_uv_component,p95_abs_fin_component,p95_abs_rge_component,p95_abs_uv_g_only,p95_abs_uv_p_only,p95_abs_uv_m2_only,max_abs_identity_residual,dominant_fraction_width,dominant_fraction_uv,dominant_fraction_finite,dominant_fraction_rge,max_abs_mu_delta,acceptance_mismatch
bandcombo,0.9568650380077081,0.7439812417823248,0.4654560679847535,0.0,0.0031171918948010345,0.3051843508972567,0.0,0.16027171708749677,3.164135620181696e-15,0.75,0.25,0.0,0.0,28.631853286652387,0.0975609756097561
bandm2,0.7826922012415107,0.74365612471975,0.465456067985043,0.0,0.0031171918948010345,0.30518435089755336,0.0,0.1715875952431798,2.1649348980190553e-15,0.75,0.25,0.0,0.0,28.631853286652387,0.0975609756097561
release,2.0007274543975746,2.463393900573292,0.46545606798484407,0.0,0.0031171918948010345,0.30518435089734375,0.0,0.16027171708750032,2.886579864025407e-15,1.0,0.0,0.0,0.0,49.70231928806595,0.0975609756097561
