combo_id,beta,omega,m,phase,center_D,width_D,eta_couple,improved_fraction_vs_lorentz_D21_guard,improved_fraction_vs_lorentz_D60_hotspot,improved_fraction_vs_mainline_D21_guard,improved_fraction_vs_mainline_D60_hotspot,mean_abs_improvement_vs_lorentz_D21_guard,mean_abs_improvement_vs_lorentz_D60_hotspot,mean_abs_improvement_vs_mainline_D21_guard,mean_abs_improvement_vs_mainline_D60_hotspot,p95_abs_delta_cf_D21_guard,p95_abs_delta_cf_D60_hotspot,p95_abs_delta_lorentz_D21_guard,p95_abs_delta_lorentz_D60_hotspot,p95_abs_delta_mainline_D21_guard,p95_abs_delta_mainline_D60_hotspot,joint_objective_vs_mainline,d60_mainline_gain,d21_mainline_gain,beats_mainline_both,beats_lorentz_both
9754,0.4,1.2,12.0,0.4353981633974483,5.8,0.1,0.0,0.0,1.0,0.6666666666666666,0.6,-4.380604180185959,8.412693860148797,-3.7554655123765173,7.376741808428531,13.481860408442456,19.149891507968754,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,19.149891507968754,12.136038613238437,-11.379643353392323,0.0,0.0
8074,0.4,1.1,12.0,0.4353981633974483,5.8,0.1,0.0,0.0,1.0,0.6666666666666666,0.6,-4.0408520641005525,8.038020325849741,-3.41571339629111,7.002068274129475,12.462626887818661,19.820505370213827,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,19.820505370213827,11.465424750993364,-10.360409832768529,0.0,0.0
6394,0.4,1.0,12.0,0.4353981633974483,5.8,0.1,0.0,0.0,1.0,0.6666666666666666,0.6,-3.693636835984898,7.654408559832292,-3.0684981681754553,6.618456508112026,11.421003616092518,20.49585095946159,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,20.49585095946159,10.790079161745602,-9.318786561042385,0.0,0.0
9802,0.4,1.2,12.0,0.5853981633974483,5.8,0.1,0.0,0.0,1.0,0.6666666666666666,0.6,-5.240869325413006,8.754595833486768,-4.615730657603565,7.718643781766503,16.054284725912748,20.688991324366846,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,20.688991324366846,10.596938796840345,-13.952067670862615,0.0,0.0
4714,0.4,0.9,12.0,0.4353981633974483,5.8,0.1,0.0,0.0,1.0,0.6666666666666666,0.6,-3.3387945518447992,7.261623711377181,-2.713655884035357,6.225671659656915,10.356498752145898,21.17596166189994,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,21.17596166189994,10.10996845930725,-8.254281697095765,0.0,0.0
8122,0.4,1.1,12.0,0.5853981633974483,5.8,0.1,0.0,0.0,1.0,0.6666666666666666,0.6,-4.848589194024223,8.63690953954806,-4.223450526214781,7.600957487827794,14.878164323972541,21.240348409419667,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,21.240348409419667,10.045581711787523,-12.775947268922408,0.0,0.0
10054,0.4,1.2,12.0,1.1353981633974484,5.9,0.1,0.0,0.0,0.8,0.3333333333333333,0.4,-1.0411146001248874,3.766520923773829,-0.4159759323154448,2.730568872053564,3.304194831731855,21.62016603167903,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,21.62016603167903,9.66576408952816,-1.201977776681722,0.0,0.0
9850,0.4,1.2,12.0,0.6853981633974483,5.8,0.1,0.0,0.0,1.0,0.3333333333333333,0.6,-5.807481087089975,8.381406094702957,-5.182342419280532,7.345454042982693,17.73361575811679,21.675968579914358,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,21.675968579914358,9.609961541292833,-15.631398703066658,0.0,0.0
6442,0.4,1.0,12.0,0.5853981633974483,5.8,0.1,0.0,0.0,1.0,0.6666666666666666,0.6,-4.445788194852895,8.233922322367935,-3.820649527043451,7.197970270647669,13.670481005003756,21.79485298276159,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,21.79485298276159,9.4910771384456,-11.568263949953623,0.0,0.0
3034,0.4,0.8,12.0,0.4353981633974483,5.8,0.1,0.0,0.0,1.0,0.6666666666666666,0.6,-2.9761576662883846,6.85942684692147,-2.3510189984789425,5.8234747952012045,9.268609650466962,21.86087109928357,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,21.86087109928357,9.42505902192362,-7.166392595416829,0.0,0.0
