family,beta,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
partial_blend,0.0,4.8,0.11651086357906557,0.1167619400543014,0.0
partial_blend,0.0,5.6,22.49927093748905,22.501670410150297,0.0
partial_blend,0.0,6.4,0.4171118025930724,0.41714236262311744,0.0
partial_blend,0.0,7.2,0.7570348879764521,0.7570349676046164,0.0
partial_blend,0.25,4.8,0.2318863719540591,0.23228105121095588,0.0
partial_blend,0.25,5.6,20.542184394563716,20.54436855067914,0.0
partial_blend,0.25,6.4,6.168999556205961,6.169007369823248,0.0
partial_blend,0.25,7.2,0.6256797530099953,0.6256798058623194,0.0
partial_blend,0.5,4.8,0.5890521321351748,0.5901088196212854,0.0
partial_blend,0.5,5.6,18.477283439451732,18.479240417396277,0.0
partial_blend,0.5,6.4,12.03572411133514,12.035766107128659,0.0
partial_blend,0.5,7.2,0.4881054756476851,0.4881055004564394,0.0
partial_blend,0.75,4.8,0.9552071047787966,0.9569424620369915,0.0
partial_blend,0.75,5.6,16.298628658018657,16.300345942719304,0.0
partial_blend,0.75,6.4,17.26163893887179,17.261711383195795,0.0
partial_blend,0.75,7.2,0.34401764213258723,0.34401764304384974,0.0
partial_blend,1.0,4.8,1.3305775320103332,1.3330086399242038,0.0
partial_blend,1.0,5.6,13.999953438313721,14.001417825251593,0.0
partial_blend,1.0,6.4,21.91673830957448,21.91683787660137,0.0
partial_blend,1.0,7.2,0.19310803933944198,0.19310804640399626,0.0
point_amp_blend,0.0,4.8,0.11651086357906308,0.11676194005429608,0.0
point_amp_blend,0.0,5.6,22.49927093748905,22.50167041015029,0.0
point_amp_blend,0.0,6.4,0.41711180259306957,0.41714236262312454,0.0
point_amp_blend,0.0,7.2,0.7570348879764504,0.7570349676046133,0.0
point_amp_blend,0.25,4.8,0.503634630304554,0.5046032422993392,0.0
point_amp_blend,0.25,5.6,22.484901316124514,22.487299207855543,0.0
point_amp_blend,0.25,6.4,8.952808255191437,8.952832288530402,0.0
point_amp_blend,0.25,7.2,0.7762818021791982,0.7762818857307119,0.0
point_amp_blend,0.5,4.8,0.8799321783269868,0.8815982593997091,0.0
point_amp_blend,0.5,5.6,22.470525882468213,22.472922192629575,0.0
point_amp_blend,0.5,6.4,16.866678948852197,16.866749091961644,0.0
point_amp_blend,0.5,7.2,0.7953951926041325,0.7953952800517814,0.0
point_amp_blend,0.75,4.8,1.2457062713138822,1.2480503161966414,0.0
point_amp_blend,0.75,5.6,22.456144634169082,22.45853936212105,0.0
point_amp_blend,0.75,6.4,23.550764722236227,23.55087380983602,0.0
point_amp_blend,0.75,7.2,0.8143759855607436,0.8143760768774966,0.0
point_amp_blend,1.0,4.8,1.6012512059102133,1.6042542548151957,0.0
point_amp_blend,1.0,5.6,22.441757568875325,22.44415071397792,0.0
point_amp_blend,1.0,6.4,29.19616939908319,29.196311379350036,0.0
point_amp_blend,1.0,7.2,0.8332251009323292,0.8332251960913446,0.0
ref_amp_blend,0.0,4.8,0.1165108635790503,0.11676194005428542,0.0
ref_amp_blend,0.0,5.6,22.49927093748902,22.50167041015027,0.0
ref_amp_blend,0.0,6.4,0.4171118025931492,0.4171423626231956,0.0
ref_amp_blend,0.0,7.2,0.7570348879764488,0.7570349676046133,0.0
ref_amp_blend,0.25,4.8,0.6401713481346771,0.6413227853012877,0.0
ref_amp_blend,0.25,5.6,20.55733949745543,20.5595253209189,0.0
ref_amp_blend,0.25,6.4,3.713105125626916,3.713154889596659,0.0
ref_amp_blend,0.25,7.2,0.6053807515477769,0.6053808002622891,0.0
ref_amp_blend,0.5,4.8,1.438215811792983,1.4408464277082853,0.0
ref_amp_blend,0.5,5.6,18.509256946376343,18.51121744201155,0.0
ref_amp_blend,0.5,6.4,7.189266165206071,7.189336182853673,0.0
ref_amp_blend,0.5,7.2,0.44543679873080516,0.4454368148418433,0.0
ref_amp_blend,0.75,4.8,2.279883497535576,2.28407414802402,0.0
ref_amp_blend,0.75,5.6,16.349220783636206,16.350943634427814,0.0
ref_amp_blend,0.75,6.4,10.855443365457718,10.855534743902801,0.0
ref_amp_blend,0.75,7.2,0.2767500379002626,0.2767500415543407,0.0
ref_amp_blend,1.0,4.8,3.167558966112717,3.173394926792069,0.0
ref_amp_blend,1.0,5.6,14.071111328581804,14.072583544233837,0.0
ref_amp_blend,1.0,6.4,14.722023512524858,14.722137419405136,0.0
ref_amp_blend,1.0,7.2,0.09884255340395329,0.09884256431215332,0.0
