r,sigma_eff,sigma_plummer_fit
0.0,1.8031600992177277,1.3856174802597396
0.0050031269543464665,1.8018081419909837,1.3853374792403474
0.010006253908692933,1.7977630325212497,1.384497951314691
0.0150093808630394,1.7910568506399482,1.3831003201534926
0.020012507817385866,1.7817423806936792,1.3811469527958782
0.025015634771732333,1.769892113607395,1.3786411510687309
0.0300187617260788,1.7555968985781494,1.3755871396483383
0.035021888680425266,1.7389642899667987,1.3719900508380583
0.04002501563477173,1.7201166436396427,1.367855906155589
0.0450281425891182,1.6991890229203916,1.3631915948424291
0.050031269543464665,1.6763269772921172,1.3580048494260735
0.05503439649781113,1.651684257085909,1.3523042184822498
0.0600375234521576,1.6254205248344185,1.3460990367599148
0.06504065040650406,1.5976991191266237,1.3393993928456969
0.07004377736085053,1.5686849201496125,1.3322160945568446
0.075046904315197,1.5385423581743012,1.3245606322624883
0.08005003126954346,1.5074335975755235,1.3164451403420185
0.08505315822388992,1.47551692008442,1.3078823569966374
0.0900562851782364,1.442945322304012,1.2988855826355896
0.09505941213258287,1.4098653344473944,1.2894686370622241
0.10006253908692933,1.3764160600602096,1.279645815686924
0.10506566604127579,1.3427284303488602,1.269431844994056
0.11006879299562226,1.3089246617488155,1.2588418374885215
0.11507191994996874,1.275117901551421,1.2478912463442948
0.1200750469043152,1.2414120437176788,1.2365958199725822
0.12507817385866166,1.2079016953509882,1.2249715567210626
0.13008130081300812,1.1746722735530355,1.2130346599081143
0.1350844277673546,1.1418002124053523,1.2008014933872264
0.14008755472170106,1.1093532604547087,1.1882885378268992
0.14509068167604752,1.077390850188281,1.1755123478805933
0.150093808630394,1.0459645224295093,1.1624895104096205
0.15509693558474047,1.0151183902478134,1.1492366039095774
0.16010006253908693,0.9848896287524089,1.1357701592780622
0.1651031894934334,0.9553089789482473,1.1221066220481537
0.17010631644777985,0.9264012556043658,1.1082623161985756
0.17510944340212634,0.8981858507721464,1.0942534096378027
0.1801125703564728,0.8706772261582556,1.0800958814456456
0.18511569731081925,0.8438853889822591,1.0658054909422419
0.19011882426516574,0.8178163472202024,1.0513977486409891
0.1951219512195122,0.7924725412493642,1.0368878891288411
0.20012507817385866,0.7678532498686376,1.0222908459047129
0.20512820512820512,0.7439549694809809,1.0076212281945034
0.21013133208255158,0.7207717658995073,0.9928932997495935
0.21513445903689807,0.6982955987894548,0.9781209596246256
0.22013758599124453,0.6765166191977829,0.9633177249199807
0.225140712945591,0.6554234409639917,0.9484967154647028
0.23014383989993747,0.6350033870631716,0.9336706404066718
0.23514696685428393,0.6152427121177422,0.9188517866686684
0.2401500938086304,0.5961268024393651,0.9040520092215543
0.24515322076297685,0.5776403550376106,0.8892827231191915
0.2501563477173233,0.5597675370663809,0.8745548972338829
0.2551594746716698,0.542492127181063,0.8598790496260347
0.26016260162601623,0.5257976402559261,0.8452652444774442
0.26516572858036275,0.5096674368684307,0.8307230905140218
0.2701688555347092,0.49408481889996786,0.8162617408408865
0.27517198248905567,0.4790331125352956,0.8018898941105614
0.2801751094434021,0.46449573986909126,0.7876157969434512
0.2851782363977486,0.4504562802503638,0.773447247518817
0.29018136335209505,0.4368985224162436,0.759391600254065
0.2951844903064415,0.4238065083876182,0.7454557714903152
0.300187617260788,0.4111645700215754,0.7316462461028055
0.3051907442151345,0.39895735904064444,0.7179690849557562
0.31019387116948094,0.3871698712871082,0.7044299331227472
0.3151969981238274,0.3757874658827171,0.6910340287954769
0.32020012507817386,0.36479587991023404,0.6777862128058645
0.3252032520325203,0.3541812391735822,0.66469093868885
0.3302063789868668,0.3439300655379702,0.6517522832158569
0.33520950594121324,0.3340292813002107,0.6389739573316815
0.3402126328955597,0.324466210992406,0.6263593174305511
0.3452157598499062,0.31522858097910106,0.6139113769101705
0.35021888680425267,0.30630451716870677,0.6016328179457722
0.35522201375859913,0.2976825411242598,0.5895260034294214
0.3602251407129456,0.2893515648261929,0.5775929890231233
0.36522826766729205,0.28130088431049893,0.5658355352775654
0.3702313946216385,0.27352017237926984,0.5542551197716236
0.37523452157598497,0.26599947055683276,0.5428529492310085
0.3802376485303315,0.2587291804433926,0.5316299715876399
0.38524077548467794,0.25170005459899697,0.5205868879444773
0.3902439024390244,0.24490318707357933,0.5097241644135936
0.39524702939337086,0.23833000368362234,0.49904204379826067
0.4002501563477173,0.2319722521224369,0.48854055709267263
0.4052532833020638,0.22582199197902134,0.4782195347757097
0.41025641025641024,0.2198715847297929,0.46807861787777844
0.4152595372107567,0.21411368375804438,0.45811726880229664
0.42026266416510316,0.20854122444763187,0.4483347818857876
0.4252657911194497,0.2031474143900518,0.43873029368282346
0.43026891807379614,0.19792572373759065,0.4293027929641921
0.4352720450281426,0.19286987572955644,0.42005113041868836
0.44027517198248906,0.18797383741362378,0.4109740280508011
0.4452782989368355,0.18323181057997892,0.4020700882683357
0.450281425891182,0.17863822292216422,0.3933378026556385
0.45528455284552843,0.17418771943522918,0.38477556042959676
0.46028767979987495,0.16987515405894307,0.3763816565769822
0.4652908067542214,0.16569558157136416,0.3681542996729804
0.47029393370856787,0.1616442497359403,0.3600916193819035
0.47529706066291433,0.15771659170350474,0.3521916736421522
0.4803001876172608,0.15390821866898532,0.34445245553843323
0.48530331457160725,0.15021491278133478,0.3368718998651035
0.4903064415259537,0.14663262030409105,0.3294478893852698
0.49530956848030017,0.14315744502305452,0.3221782607909517
0.5003126954346466,0.1397856418968094,0.31506081037020234
0.5053158223889931,0.1365136109451966,0.3080932993876038
0.5103189493433395,0.13333789137034374,0.30127345918498877
0.515322076297686,0.13025515590446501,0.2945989960096172
0.5203252032520325,0.12726220537834068,0.2880675955773486
0.525328330206379,0.12435596350416153,0.28167692737859945
0.5303314571607255,0.12153347186627089,0.27542464873507505
0.535334584115072,0.11879188511323584,0.269308408615413
0.5403377110694184,0.11612846634463825,0.26332585121798
0.5453408380237649,0.11354058268596777,0.25747461932912036
0.5503439649781113,0.11102570104503437,0.2517523574651824
0.5553470919324578,0.10858138404337897,0.24615671480663412
0.5603502188868043,0.10620528611625107,0.2406853479325426
0.5653533458411507,0.10389514977482822,0.23533592336361356
0.5703564727954972,0.1016488020244825,0.23010611992190474
0.5753595997498436,0.09946415093303575,0.22499363091520005
0.5803627267041901,0.09733918234309878,0.21999616615390524
0.5853658536585366,0.09527195672274803,0.21511145380816799
0.590368980612883,0.09326060614895901,0.21033724211276394
0.5953721075672295,0.09130333141838647,0.2056713009271091
0.600375234521576,0.08939839928025317,0.20111142315757394
0.6053783614759225,0.08754413978628407,0.19665542604907477
0.610381488430269,0.085738943752796,0.19230115235271658
0.6153846153846154,0.08398126033022828,0.18804647137605351
0.6203877423389619,0.08226959467556968,0.18388927992231907
0.6253908692933083,0.08060250572330818,0.17982750312476406
0.6303939962476548,0.07897860405069618,0.17585909518202425
0.6353971232020013,0.0773965498332875,0.17198204000022346
0.6404002501563477,0.07585505088686202,0.16819435174729894
0.6454033771106942,0.0743528607920096,0.16449407532482427
0.6504065040650406,0.07288877709779679,0.16087928676239074
0.6554096310193871,0.07146163960108592,0.15734809353939622
0.6604127579737336,0.0700703286982199,0.15389863483888702
0.66541588492808,0.06871376380592294,0.15052908173789198
0.6704190118824265,0.06739090184840141,0.14723763733849063
0.6754221388367729,0.06610073580775705,0.14402253684366204
0.6804252657911194,0.0648422933349494,0.1408820475817703
0.685428392745466,0.063614635418663,0.1378144689833612
0.6904315196998124,0.06241685510955057,0.13481813251375918
0.6954346466541589,0.06124807629743294,0.1318914015647861
0.7004377736085053,0.06010745253914329,0.12903267130874982
0.7054409005628518,0.05899416593480491,0.12624036851768958
0.7104440275171983,0.05790742605042903,0.12351295135070801
0.7154471544715447,0.05684646888481309,0.12084890911206615
0.7204502814258912,0.055810555878809946,0.11824676198257401
0.7254534083802376,0.054798972965123545,0.11570506072666595
0.7304565353345841,0.053811029656869964,0.11322238637741763
0.7354596622889306,0.05284605817322023,0.11079734990163012
0.740462789243277,0.051903412600517694,0.1084285918469832
0.7454659161976235,0.05098246808733412,0.10611478197314084
0.7504690431519699,0.05008262007199763,0.103854618868579
0.7554721701063164,0.04920328354119147,0.1016468295547955
0.760475297060663,0.04834389231828536,0.09949016907946055
