D,eta,coeff_l1,coeff_l2,tree_diag_susceptibility_parented,coeff_participation_access_parented,tree_diag_compressibility_parented,kernel_selection_response_action,kernel_selection_response_weight,eymh_parented_prefactor_diag,kernel_selection_prefactor_recon,kernel_selection_prefactor_residual,kernel_selection_participation_share,kernel_selection_schur_share,mu_mumu_uv_rge,mu_mumu_uv_rge_const,abs_mu_diff_vs_const
4.0,0.2,0.5339835720691466,0.3813202699293874,0.8352793836830217,0.8450472597147287,0.738157279449201,0.9439221716704214,0.6237777862370266,0.0433261161132477,0.04332611611324775,4.85722573273506e-17,0.3567300982759705,0.6432699017240296,2.4082829678814335,2.408283091800887,1.2391945336531762e-07
4.8,0.2,0.5496017971416134,0.3964102668125378,0.7724533955171682,0.8492750682447441,0.7511256409565624,0.8991089945574519,0.6379122799837617,0.0392190539319979,0.0392190539319979,0.0,0.36340900884766814,0.6365909911523319,13.739244327095353,13.739247292265354,2.9651700010902005e-06
5.6,0.2,0.5468206835304987,0.3979753025694525,1.062363820855729,0.85311110274794,0.696333612351461,1.0415837919166178,0.5940499359136113,0.0448967669998699,0.044896766999869955,5.551115123125783e-17,0.30504601126411424,0.6949539887358857,57.971467023169026,57.971396100373646,7.0922795380568e-05
6.4,0.2,0.5249812193015628,0.3726558128157027,0.8684141407156374,0.8425235836395761,0.7315827004097961,0.9677972673665268,0.6163756784779798,0.0493701336927381,0.04937013369273809,-6.938893903907228e-18,0.3541105776484295,0.6458894223515704,59.87793765426565,59.87715710517647,0.0007805490891783506
7.2,0.2,0.5085808844373885,0.3470601291174894,0.3844355630722452,0.8260804526024531,0.8498917755867975,0.7074187408044639,0.702078982639844,0.0543924299977552,0.05439242999775522,2.0816681711721685e-17,0.5401697719850647,0.45983022801493517,3.5314919255891972,3.531394482587157,9.74430020401762e-05
8.0,0.2,0.5340456080149918,0.3605063302199267,0.3511645699238713,0.821612945758027,0.8602919827877128,0.693938592428649,0.7068270301902266,0.057994994496971,0.05799499449697106,6.245004513516506e-17,0.5662917897083114,0.4337082102916886,2.324652153604843,2.324543270099281,0.00010888350556204074
8.8,0.2,0.465913978595868,0.3128373899025909,0.640799824970484,0.8194198053033038,0.7806784649252572,0.8935013084364157,0.6397033957335363,0.0457081664589713,0.045708166458971376,7.632783294297951e-17,0.4457939608736587,0.5542060391263413,1.58370004028358,1.5836905358878322,9.504395747761407e-06
9.6,0.2,0.4654103917952466,0.311022914985717,0.7998543918444424,0.8174819187980201,0.7453861415266694,0.9907587564774977,0.6093396932206743,0.0411393810783117,0.041139381078311686,-1.3877787807814457e-17,0.40681244110340214,0.5931875588965978,1.0000000014340196,1.0000000014340404,2.0872192862952943e-14
10.4,0.2,0.4844721631315347,0.3229405150921417,0.7700606210652617,0.816444847598413,0.7516331566998592,0.9766056275710134,0.6136670180717306,0.0443592616003478,0.04435926160034785,4.85722573273506e-17,0.41530769527831735,0.5846923047216827,0.4950631213671755,0.4950549751909506,8.146176224910207e-06
11.2,0.2,0.5036498025294905,0.3353439173657705,0.7268561942408373,0.8159825712179611,0.7609776709350862,0.9530270926791923,0.6209445165690671,0.0459252714847219,0.04592527148472197,6.938893903907228e-17,0.42677125259041626,0.5732287474095836,0.1519945649010222,0.1519898999467061,4.66495431611369e-06
