mode,p95_abs_g_norm_component,p95_abs_g_shape2_component,p95_abs_m2_component,p95_abs_delta_log_uv22,max_abs_identity_residual,dominant_fraction_g_norm,dominant_fraction_g_shape2,dominant_fraction_m2_2,max_abs_mu_delta
bandm2,0.4510386804207114,0.29844650497200176,0.12070262488169037,0.23272803399246128,6.661338147750939e-16,0.5,0.5,0.0,7.906050653897374
tailm2,0.4510386804207478,0.2984465049719597,0.12070262488169303,0.2327280339925329,5.551115123125783e-16,0.5,0.5,0.0,7.906050653896266
