case,case_label,n_points,acceptance_mismatch,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu
D21E21_holdout,D21 x E21 holdout,105,0.12380952380952381,2.9184602000620843,2.919606006749362
D60E21_release,D60 x E21 release,105,0.009523809523809525,7.3561851960779,7.357102968681566
