combo_id,beta,alpha,center_D,width_D,power,improved_fraction_D21_guard,improved_fraction_D60_hotspot,mean_abs_improvement_D21_guard,mean_abs_improvement_D60_hotspot,p95_abs_delta_base_D21_guard,p95_abs_delta_base_D60_hotspot,p95_abs_delta_cf_D21_guard,p95_abs_delta_cf_D60_hotspot,joint_objective
51,0.2,16.0,6.1,0.3,2.0,0.0,1.0,-4.109847492931746,8.819045276800836,2.102217055050133,31.28593012120719,14.017866131451683,14.668313762312136,14.668313762312136
70,0.2,32.0,6.4,0.2,2.0,0.0,1.0,-4.438490532295974,7.155176928307905,2.102217055050133,31.28593012120719,14.73260323112861,14.420236043772666,14.73260323112861
50,0.2,16.0,6.1,0.2,2.0,0.0,1.0,-4.413446365003086,8.622185934174574,2.102217055050133,31.28593012120719,14.929133776033222,13.275892774429707,14.929133776033222
135,0.4,32.0,6.1,0.3,2.0,0.0,1.0,-4.6010761225164805,8.643970134165407,2.102217055050133,31.28593012120719,15.164868437173125,12.550749317898987,15.164868437173125
140,0.4,32.0,6.25,0.5,2.0,0.0,1.0,-4.623881886281396,10.32070037126948,2.102217055050133,31.28593012120719,15.250910947251281,12.901072069231315,15.250910947251281
144,0.4,32.0,6.4,0.5,2.0,0.0,1.0,-3.9332139154353185,8.807252227503572,2.102217055050133,31.28593012120719,13.20158920843351,15.687734616072998,15.687734616072998
52,0.2,16.0,6.1,0.5,2.0,0.0,1.0,-3.84358536010458,9.242965192352525,2.102217055050133,31.28593012120719,13.203783199796153,15.965430224517249,15.965430224517249
71,0.2,32.0,6.4,0.3,2.0,0.0,1.0,-4.902442074038147,9.167609098015697,2.102217055050133,31.28593012120719,16.126816906230644,11.272134923763174,16.126816906230644
49,0.2,16.0,6.1,0.12,2.0,0.0,1.0,-4.892922074613862,8.426111563970224,2.102217055050133,31.28593012120719,16.36757104843675,11.26306074581347,16.36757104843675
54,0.2,16.0,6.25,0.2,2.0,0.0,1.0,-3.5322852846616186,6.587098435145924,2.102217055050133,31.28593012120719,12.285682004385881,16.55561331165802,16.55561331165802
134,0.4,32.0,6.1,0.2,2.0,0.0,1.0,-3.7220210146672796,6.162258814903513,2.102217055050133,31.28593012120719,12.52239839493295,16.845492493724286,16.845492493724286
55,0.2,16.0,6.25,0.3,2.0,0.0,1.0,-3.4861657921321147,7.200573603105097,2.102217055050133,31.28593012120719,12.147992908535516,17.076364758438082,17.076364758438082
139,0.4,32.0,6.25,0.3,2.0,0.0,1.0,-3.4839500257358273,6.839979685730256,2.102217055050133,31.28593012120719,11.818845946370601,17.148472750582584,17.148472750582584
72,0.2,32.0,6.4,0.5,2.0,0.0,1.0,-5.271017678699173,11.70952469334563,2.102217055050133,31.28593012120719,17.226149671173,10.261351803553701,17.226149671173
136,0.4,32.0,6.1,0.5,2.0,0.0,1.0,-5.325459119707729,11.818429558413946,2.102217055050133,31.28593012120719,17.334364264306114,10.09669091128909,17.334364264306114
56,0.2,16.0,6.25,0.5,2.0,0.0,1.0,-3.451424125371328,8.096975498232963,2.102217055050133,31.28593012120719,12.037143921429188,17.50316351761122,17.50316351761122
124,0.4,16.0,6.1,0.5,2.0,0.0,1.0,-3.073671451319806,7.0648545470480775,2.102217055050133,31.28593012120719,10.874623150704803,19.037826770130334,19.037826770130334
68,0.2,32.0,6.25,0.5,2.0,0.0,1.0,-5.886466659808746,12.996427749081379,2.102217055050133,31.28593012120719,19.056754958995345,7.838339962173028,19.056754958995345
60,0.2,16.0,6.4,0.5,2.0,0.0,1.0,-3.0369158464745545,6.962324774876712,2.102217055050133,31.28593012120719,10.802915455688224,19.14772761302813,19.14772761302813
67,0.2,32.0,6.25,0.3,2.0,0.0,1.0,-5.933498214840949,11.266606112375936,2.102217055050133,31.28593012120719,19.217905357226083,8.745928419515415,19.217905357226083
66,0.2,32.0,6.25,0.2,2.0,0.0,1.0,-6.000106955901478,9.826866100712213,2.102217055050133,31.28593012120719,19.417343420836737,8.904066315918529,19.417343420836737
53,0.2,16.0,6.25,0.12,2.0,0.0,1.0,-3.6230509349515803,5.914507877344693,2.102217055050133,31.28593012120719,12.557885934088313,19.476673500017665,19.476673500017665
65,0.2,32.0,6.25,0.12,2.0,0.0,1.0,-6.130782305044425,8.260803681315009,2.102217055050133,31.28593012120719,19.8092532165738,13.835457997767126,19.8092532165738
37,0.2,8.0,6.1,0.12,2.0,0.0,1.0,-2.78924830705337,4.806867097598516,2.102217055050133,31.28593012120719,10.23941427864443,19.810610933396898,19.810610933396898
59,0.2,16.0,6.4,0.3,2.0,0.0,1.0,-2.7974193459383865,5.619433718540544,2.102217055050133,31.28593012120719,10.083113727126166,19.816571470967975,19.816571470967975
208,0.6,32.0,6.1,0.5,2.0,0.0,1.0,-2.752349919150676,6.049026873313044,2.102217055050133,31.28593012120719,9.669642666864313,20.606233311696545,20.606233311696545
123,0.4,16.0,6.1,0.3,2.0,0.0,1.0,-2.605916567856449,5.237018247243525,2.102217055050133,31.28593012120719,9.46593327207475,20.64862807097882,20.64862807097882
58,0.2,16.0,6.4,0.2,2.0,0.0,1.0,-2.5011480178385637,4.625529150537909,2.102217055050133,31.28593012120719,9.192351288213993,20.654287909622887,20.654287909622887
64,0.2,32.0,6.1,0.5,2.0,0.0,1.0,-6.4489333399110516,12.552884121249805,2.102217055050133,31.28593012120719,20.72679843057395,7.342043889792889,20.72679843057395
128,0.4,16.0,6.25,0.5,2.0,0.0,1.0,-2.617814676116057,5.895135163000868,2.102217055050133,31.28593012120719,9.520665462452921,20.87392030892221,20.87392030892221
38,0.2,8.0,6.1,0.2,2.0,0.0,1.0,-2.481594508265207,4.7932591538507605,2.102217055050133,31.28593012120719,9.316450646087715,21.11370918259065,21.11370918259065
143,0.4,32.0,6.4,0.3,2.0,0.0,1.0,-2.5195224610829907,4.888662285726895,2.102217055050133,31.28593012120719,8.933727623491935,21.22085954457784,21.22085954457784
69,0.2,32.0,6.4,0.12,2.0,0.0,1.0,-3.5271874714764544,4.862046646654297,2.102217055050133,31.28593012120719,11.998322838965965,21.66424140538053,21.66424140538053
138,0.4,32.0,6.25,0.2,2.0,0.0,1.0,-2.292713639988312,4.3213189306272985,2.102217055050133,31.28593012120719,8.235507564269415,21.787723654068884,21.787723654068884
63,0.2,32.0,6.1,0.3,2.0,0.0,1.0,-6.814529257687435,12.203986554796527,2.102217055050133,31.28593012120719,21.85903753952928,8.637215673523153,21.85903753952928
39,0.2,8.0,6.1,0.3,2.0,0.0,1.0,-2.291151549416551,4.8618357329623425,2.102217055050133,31.28593012120719,8.744998337293724,21.99328328022729,21.99328328022729
41,0.2,8.0,6.25,0.12,2.0,0.0,1.0,-1.9928275742299097,3.279465031577865,2.102217055050133,31.28593012120719,7.8501071106219715,22.57190707221865,22.57190707221865
122,0.4,16.0,6.1,0.2,2.0,0.0,1.0,-2.0616077668414174,3.87629358229586,2.102217055050133,31.28593012120719,7.828664518172895,22.575932643276108,22.575932643276108
132,0.4,16.0,6.4,0.5,2.0,0.0,1.0,-2.1864380207070293,4.82937760102361,2.102217055050133,31.28593012120719,8.241580141079929,22.626251123918394,22.626251123918394
40,0.2,8.0,6.1,0.5,2.0,0.0,1.0,-2.1260147416057107,5.062881029612903,2.102217055050133,31.28593012120719,8.242922684283585,22.797095843603458,22.797095843603458
212,0.6,32.0,6.25,0.5,2.0,0.0,1.0,-2.2029586149701026,4.752404831982285,2.102217055050133,31.28593012120719,8.077285020212077,22.828435573876096,22.828435573876096
62,0.2,32.0,6.1,0.2,2.0,0.0,1.0,-7.2261678742232505,11.841700624382376,2.102217055050133,31.28593012120719,23.09547131182961,8.889023435747976,23.09547131182961
42,0.2,8.0,6.25,0.2,2.0,0.0,1.0,-1.9381062145614842,3.596773554235934,2.102217055050133,31.28593012120719,7.686003150578907,23.15797443116746,23.15797443116746
43,0.2,8.0,6.25,0.3,2.0,0.0,1.0,-1.9103709252035355,3.912705328886389,2.102217055050133,31.28593012120719,7.603316815479583,23.473919619115783,23.473919619115783
133,0.4,32.0,6.1,0.12,2.0,0.0,1.0,-2.2443969633182044,3.5175097805539712,2.102217055050133,31.28593012120719,8.08849580759851,23.504937997665447,23.504937997665447
127,0.4,16.0,6.25,0.3,2.0,0.0,1.0,-1.918150266547909,3.7774639580518157,2.102217055050133,31.28593012120719,7.406526279796591,23.517486666031083,23.517486666031083
57,0.2,16.0,6.4,0.12,2.0,0.0,1.0,-1.9416803055671572,3.583465469311591,2.102217055050133,31.28593012120719,7.513680003395306,23.725044135428806,23.725044135428806
