D,level,dr,dz,Nr,Nz,lambda1,lambda2,lambda3,window_E_lo,window_E_hi_n2,window_E_hi_n3,Nps_lambda1,Nps_lambda2,Nps_lambda3,g1_raw,g2_raw,g3_raw,g1_hat,g2_hat,g3_hat,n_eigs_exported,solver_sigma,grid_index
4.0,fine,0.06,0.03,50,533,0.7359089334327527,0.8355420903543915,1.024913561448241,0.7359089334327527,0.8355420903543915,1.024913561448241,24.91251580344248,28.497067706590737,35.310179807869716,1.0,4.660197841808254,9.056780318475928,0.11041451430151059,0.5145534812522062,1.0,40,2.5,0
4.271186440677966,fine,0.06,0.03,50,542,0.7334878092578565,0.8306653615164734,1.012299444601317,0.7334878092578565,0.8306653615164734,1.012299444601317,25.26181542355827,28.817056172939765,35.46213910259876,1.0,4.602573780415969,8.944791840131456,0.11179690012610775,0.5145534812522062,1.0,40,2.5,1
4.5423728813559325,fine,0.06,0.03,50,551,0.7311353826524483,0.8260262834151346,1.000327246836748,0.7311353826524483,0.8260262834151346,1.000327246836748,25.610955268606304,29.140185095222513,35.622873677280865,1.0,4.555538336994213,8.853381626935946,0.11295119109714562,0.5145534812522063,1.0,40,2.5,2
4.813559322033898,fine,0.06,0.03,50,560,0.7288487443206848,0.8216055771147635,0.9889634890746808,0.7288487443206848,0.8216055771147635,0.9889634890746808,25.95993974703041,29.466148026646582,35.79227709873146,1.0,4.516996138341272,8.778477462340371,0.11391497036815273,0.5145534812522063,1.0,40,2.5,3
5.084745762711864,fine,0.06,0.03,50,569,0.7266252665739621,0.8173858442006567,0.9781758460540542,0.7266252665739621,0.8173858442006567,0.9781758460540542,26.308777766077057,29.79466465127433,35.97020664745868,1.0,4.485282290756729,8.716843737683869,0.11472042290684765,0.5145534812522063,1.0,40,2.5,4
5.3559322033898304,fine,0.06,0.03,50,579,0.7243139398842218,0.8128123578467379,0.9668745103631688,0.7243139398842218,0.8128123578467379,0.9668745103631688,26.699250786918977,30.15799020693901,36.17912428266243,1.0,4.459073990423749,8.665909672930871,0.11539469458395508,0.5145534812522065,1.0,40,2.5,5
5.627118644067797,fine,0.06,0.03,50,588,0.7222182062398901,0.8089708248736098,0.957190521697896,0.7222182062398901,0.8089708248736098,0.957190521697896,27.047947334924224,30.49115876849656,36.37399853545248,1.0,4.43731870700277,8.623629746327255,0.11596045162141767,0.5145534812522063,1.0,40,2.5,6
5.898305084745763,fine,0.06,0.03,50,597,0.7201786461266175,0.8052864170306315,0.9479898690022448,0.7201786461266175,0.8052864170306315,0.9479898690022448,27.39654040065081,30.82617079865532,36.576763154481405,1.0,4.419177020375031,8.588372601465286,0.11643649459612258,0.5145534812522063,1.0,40,2.5,7
6.169491525423728,fine,0.06,0.03,50,606,0.7181934574821178,0.8017475603651436,0.9392452317488408,0.7181934574821178,0.8017475603651436,0.9392452317488408,27.745051014768787,31.162831593198955,36.78717384114908,1.0,4.403977577073883,8.558833508144689,0.11683835175066648,0.5145534812522062,1.0,40,2.5,8
6.4406779661016955,fine,0.06,0.03,50,615,0.7162609750259363,0.7983437559270514,0.9309304990486332,0.7162609750259363,0.7983437559270514,0.9309304990486332,28.09350198474904,31.50096342690658,37.00497060074125,1.0,4.391181794333932,8.533965767071766,0.11717881548792841,0.5145534812522063,1.0,40,2.5,9
