D,eta,coeff_l1,coeff_l2,parent_kernel_k_part,parent_kernel_g_schur,parent_kernel_s_part,parent_kernel_s_schur,parent_kernel_response_action,parent_kernel_response_weight,parent_kernel_cross_xi,parent_kernel_coeff_share,parent_kernel_tree_share,eymh_parented_prefactor_diag
4.0,0.2,0.5339835720691466,0.3813202699293874,1.4003545423064692,1.8352793836830217,0.3367254490648569,0.6071967226055646,0.9439221716704215,0.6237777862370265,0.13011768624754758,0.35673009827597046,0.6432699017240295,0.0433261161132477
4.8,0.2,0.5496017971416134,0.3964102668125378,1.3864469292404067,1.7724533955171682,0.326744308558147,0.5723646859993048,0.8991089945574517,0.6379122799837617,0.12147420690955972,0.3634090088476682,0.6365909911523319,0.0392190539319979
5.6,0.2,0.5468206835304987,0.3979753025694525,1.3740065777952906,2.0623638208557287,0.3177309811215154,0.7238528107951022,1.0415837919166175,0.5940499359136114,0.14021627303672501,0.3050460112641143,0.6949539887358858,0.0448967669998699
6.4,0.2,0.5249812193015628,0.3726558128157027,1.4087562872961084,1.8684141407156374,0.34270724939373237,0.6250900179727944,0.9677972673665267,0.6163756784779798,0.13485974049142666,0.3541105776484295,0.6458894223515705,0.0493701336927381
7.2,0.2,0.5085808844373885,0.3470601291174894,1.465397035754631,1.3844355630722451,0.3821262199183088,0.3252925208861549,0.7074187408044637,0.7020789826398443,0.08818995348264555,0.5401697719850648,0.4598302280149352,0.0543924299977552
8.0,0.2,0.5340456080149918,0.3605063302199267,1.4813765064519049,1.3511645699238712,0.3929717274540861,0.3009668649745629,0.693938592428649,0.7068270301902266,0.08445432232153847,0.5662917897083114,0.4337082102916886,0.057994994496971
8.8,0.2,0.465913978595868,0.3128373899025909,1.489316794072924,1.640799824970484,0.39831748733366634,0.4951838211027493,0.8935013084364156,0.6397033957335363,0.12831275159165706,0.44579396087365875,0.5542060391263413,0.0457081664589713
9.6,0.2,0.4654103917952466,0.311022914985717,1.496386180473614,1.7998543918444425,0.40305298826718194,0.5877057682103157,0.9907587564774977,0.6093396932206743,0.14741767419255672,0.40681244110340214,0.5931875588965979,0.0411393810783117
10.4,0.2,0.4844721631315347,0.3229405150921417,1.5001900984560719,1.7700606210652619,0.4055918323823523,0.5710137951886611,0.9766056275710134,0.6136670180717306,0.14505261764845884,0.41530769527831735,0.5846923047216827,0.0443592616003478
11.2,0.2,0.5036498025294905,0.3353439173657705,1.501890377156128,1.7268561942408374,0.4067245660953016,0.5463025265838907,0.9530270926791923,0.6209445165690671,0.14065752046392924,0.42677125259041626,0.5732287474095837,0.0459252714847219
12.0,0.2,0.522145874622551,0.347502343175677,1.502567924724998,1.6621249351734222,0.4071755942090428,0.5080968651925044,0.9152724594015472,0.6327776200492675,0.13324070812303054,0.44486818108268594,0.5551318189173141,0.0457444364275039
12.8,0.2,0.4340755361717523,0.2840881611451176,1.5279606669354249,1.7104735034951575,0.423933948878602,0.5367702348128583,0.9607041836914603,0.6185655615699881,0.1435228100902971,0.44127417791567836,0.5587258220843218,0.0392926289711688
13.6,0.2,0.428708680224616,0.2798971695134157,1.5316649359830974,1.6115036485170577,0.4263553372040366,0.4771676863210921,0.9035230235251287,0.6365059508076917,0.13171705384368732,0.47188098820171226,0.5281190117982878,0.0396211797225291
