g_beta,g_center,g_half_width,worst_score,mean_score,worst_p95,worst_mismatch
0.25,0.05,0.03,5.390764573454147,5.390764573454147,5.390764573454147,0.0
0.25,0.06,0.03,6.6379193756854535,6.6379193756854535,6.6379193756854535,0.0
