combo_id,mode,kappa,center_D,width_D,power,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_cf,slice_max_abs_delta_base,slice_max_abs_delta_cf,slice_mean_abs_improvement,slice_improved_fraction,slice_worsened_fraction,slice_p95_abs_cf_shift_vs_base
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,4.813559322033898,8.950884564633627,8.950835671563096,8.958857939127418,8.958809003394277,4.851099193425328e-05,1.0,0.0,4.8893070530908744e-05
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,5.627118644067797,10.271915904250342,10.139695289195288,10.272608773798765,10.140381358733428,0.1321594387957691,1.0,0.0,0.13222061505505422
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.169491525423728,25.887561191706766,18.100584437554886,25.89060277919198,18.10335348344246,7.784524615309188,1.0,0.0,7.78697675415188
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,22.42008793293015,31.28639526077564,22.42015349228658,8.866002830482797,1.0,0.0,8.866217874507669
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,7.462467784829663,3.928440054495198,7.462495924022775,3.9284622939448113,3.5339746324913373,1.0,0.0,3.534027730334465
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,0.9136772062233662,0.9136772118206045,0.9244091557317824,0.9244091614040415,-4.966563767296276e-09,0.0,1.0,5.59723822846081e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,6.4,2.1022273869561374,8.476313996107535,2.102232425909044,8.47632631197709,-6.374021045675679,0.0,1.0,6.3741773308858285
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,8.0,0.3226590996076344,0.5866606536899559,0.32265909973791107,0.5866606541700046,-0.26400155110059753,0.0,1.0,0.2640015540823215
2,gamma_ref_enhance,0.05,6.1,0.2,0.5,D60_hotspot,4.813559322033898,8.950884564633627,8.947329605446923,8.958857939127418,8.955299877991104,0.0035271786894360466,1.0,0.0,0.003554959186704565
2,gamma_ref_enhance,0.05,6.1,0.2,0.5,D60_hotspot,5.627118644067797,10.271915904250342,9.678328073570782,10.272608773798765,9.678990415327846,0.5933131875535717,1.0,0.0,0.5935878306795601
2,gamma_ref_enhance,0.05,6.1,0.2,0.5,D60_hotspot,6.169491525423728,25.887561191706766,18.74317248453434,25.89060277919198,18.745964020789927,7.142138920944823,1.0,0.0,7.144388707172425
2,gamma_ref_enhance,0.05,6.1,0.2,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,23.298055094490174,31.28639526077564,23.298123019920972,7.988056963413263,1.0,0.0,7.9882507129476465
2,gamma_ref_enhance,0.05,6.1,0.2,0.5,D60_hotspot,6.711864406779661,7.462467784829663,4.057865081199189,7.462495924022775,4.057887536712318,3.40455155036455,1.0,0.0,3.4046027036304736
