mode,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu
fullwidthrefamp_pointamp,41.815486844421365,41.81697740614127,0.0,41.81697740614127,31.55654848497104,4.271717857497769
fullwidthrefamp_pointamp_widthboost,30.541541964427893,30.545371906720547,0.0,30.545371906720547,14.880552312358844,5.68808166121223
