i,j,delta_obs,delta_sys,delta_spec,delta_recon,cocycle_residual_abs,channel
0,1,3.3959521758645046,3.439585549563812,-0.04363337369930756,3.395952175864504,2.498001805406602e-16,phi
0,3,3.5299059985853836,3.5848238916537363,-0.05491789306835309,3.529905998585383,3.8163916471489756e-16,phi
0,4,2.66632755109635,2.6950114470155992,-0.028683895919249417,2.66632755109635,5.204170427930421e-17,phi
0,6,2.877963247612,2.9177259517330962,-0.03976270412109657,2.8779632476119996,4.0245584642661925e-16,phi
0,7,1.0443479434687155,1.0618882720123297,-0.017540328543614064,1.0443479434687157,1.3877787807814457e-16,phi
0,9,1.6211158680248312,1.6492796630960285,-0.028163795071197675,1.6211158680248308,4.128641872824801e-16,phi
0,10,2.7755919740597164,2.831237695022645,-0.05564572096292939,2.7755919740597155,7.563394355258879e-16,phi
0,12,2.5943540294904266,2.656787981332957,-0.06243395184253052,2.5943540294904266,1.3877787807814457e-17,phi
0,13,1.9663576086264294,2.0103620426785813,-0.04400443405215195,1.9663576086264294,2.0816681711721685e-17,phi
0,15,1.911922382289559,1.9627999899244282,-0.050877607634869655,1.9119223822895586,5.065392549852277e-16,phi
0,16,0.6516500976929244,0.6861551096982913,-0.034505012005367285,0.651650097692924,3.5388358909926865e-16,phi
1,3,0.13395382272087877,0.14523834208992428,-0.011284519369045488,0.1339538227208788,2.0816681711721685e-17,phi
1,4,-0.729624624768155,-0.7445741025482125,0.014949477780058227,-0.7296246247681544,7.199102425303749e-16,phi
1,6,-0.5179889282525044,-0.5218595978307156,0.003870669578210964,-0.5179889282525046,1.7477339020466331e-16,phi
1,7,-2.351604232395789,-2.3776972775514826,0.026093045155693495,-2.3516042323957893,2.7755575615628914e-16,phi
1,9,-1.7748363078396736,-1.7903058864677837,0.01546957862810986,-1.7748363078396738,1.8735013540549517e-16,phi
1,10,-0.6203602018047885,-0.6083478545411668,-0.012012347263621824,-0.6203602018047886,1.6479873021779667e-16,phi
1,12,-0.801598146374078,-0.782797568230855,-0.018800578143222956,-0.801598146374078,4.5102810375396984e-17,phi
1,13,-1.4295945672380752,-1.4292235068852308,-0.00037106035284442885,-1.4295945672380752,2.986976985197565e-17,phi
1,15,-1.4840297935749456,-1.4767855596393837,-0.007244233935562041,-1.4840297935749458,2.0209528495129803e-16,phi
1,16,-2.74430207817158,-2.7534304398655207,0.009128361693940365,-2.7443020781715806,2.3592239273284576e-16,phi
3,4,-0.8635784474890339,-0.8898124446381368,0.026233997149103672,-0.8635784474890331,7.667477763817487e-16,phi
3,6,-0.6519427509733835,-0.6670979399206398,0.015155188947256442,-0.6519427509733834,1.2663481374630692e-16,phi
