combo_id,beta,alpha,center_D,width_D,power,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_cf,slice_mean_abs_improvement,slice_improved_fraction,slice_worsened_fraction,slice_p95_abs_cf_shift_vs_base
1,0.2,1.0,6.1,0.12,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.95087565472546,8.840281015665141e-06,1.0,0.0,8.90990816770909e-06
1,0.2,1.0,6.1,0.12,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.257515824144825,0.014393417430153613,1.0,0.0,0.014400080105517077
1,0.2,1.0,6.1,0.12,2.0,D60_hotspot,6.169491525423728,25.887561191706766,24.820664018023948,1.0665612050414077,1.0,0.0,1.0668971736828183
1,0.2,1.0,6.1,0.12,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,29.641422374634168,1.644843537285762,1.0,0.0,1.6448834328036526
1,0.2,1.0,6.1,0.12,2.0,D60_hotspot,6.711864406779661,7.462467784829663,6.813316636783632,0.6491413947196698,1.0,0.0,0.6491511480460304
1,0.2,1.0,6.1,0.12,2.0,D21_guard,4.0,0.9136772062233662,0.9136772080815914,-1.648847551718945e-09,0.0,1.0,1.8582251293253194e-09
1,0.2,1.0,6.1,0.12,2.0,D21_guard,6.4,2.1022273869561374,3.262301004577232,-1.1601020630857104,0.0,1.0,1.1601305077352393
1,0.2,1.0,6.1,0.12,2.0,D21_guard,8.0,0.3226590996076344,0.3547200086502895,-0.03206090868054825,0.0,1.0,0.03206090904265513
2,0.2,1.0,6.1,0.2,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.949988103145495,0.0008894560220738191,1.0,0.0,0.0008964614881321609
2,0.2,1.0,6.1,0.2,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.17472365058564,0.0971472844402839,1.0,0.0,0.09719225366470141
2,0.2,1.0,6.1,0.2,2.0,D60_hotspot,6.169491525423728,25.887561191706766,24.699664379687903,1.1875227402827015,1.0,0.0,1.187896812018863
2,0.2,1.0,6.1,0.2,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,29.852104171559482,1.4341668503027218,1.0,0.0,1.4342016358783383
2,0.2,1.0,6.1,0.2,2.0,D60_hotspot,6.711864406779661,7.462467784829663,6.856107732335957,0.6063509420923733,1.0,0.0,0.6063600524937058
2,0.2,1.0,6.1,0.2,2.0,D21_guard,4.0,0.9136772062233662,0.9136798739716783,-2.367157062425805e-06,0.0,1.0,2.667748312035201e-06
2,0.2,1.0,6.1,0.2,2.0,D21_guard,6.4,2.1022273869561374,3.1145813190442055,-1.012378755407486,0.0,1.0,1.0124035780156007
2,0.2,1.0,6.1,0.2,2.0,D21_guard,8.0,0.3226590996076344,0.35471472721487074,-0.03205562724518922,0.0,1.0,0.03205562760723635
3,0.2,1.0,6.1,0.3,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.941971048232963,0.008843861053013618,1.0,0.0,0.008913516400664179
3,0.2,1.0,6.1,0.3,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.034121070535164,0.23768481003695963,1.0,0.0,0.23779483371517784
3,0.2,1.0,6.1,0.3,2.0,D60_hotspot,6.169491525423728,25.887561191706766,24.637998574187577,1.2491691270635819,1.0,0.0,1.2495626175191887
3,0.2,1.0,6.1,0.3,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,29.990450895277142,1.2958234820898291,1.0,0.0,1.295854912160678
3,0.2,1.0,6.1,0.3,2.0,D60_hotspot,6.711864406779661,7.462467784829663,6.911430783310411,0.5510287223323012,1.0,0.0,0.5510370015192514
3,0.2,1.0,6.1,0.3,2.0,D21_guard,4.0,0.9136772062233662,0.9137782149359257,-8.962745331693004e-05,0.0,1.0,0.00010100871255946942
3,0.2,1.0,6.1,0.3,2.0,D21_guard,6.4,2.1022273869561374,3.0254222258185166,-0.9232174759655105,0.0,1.0,0.9232401124199896
3,0.2,1.0,6.1,0.3,2.0,D21_guard,8.0,0.3226590996076344,0.3546242786527998,-0.031965178684139776,0.0,1.0,0.03196517904516538
4,0.2,1.0,6.1,0.5,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.89740866441212,0.053058008757193624,1.0,0.0,0.053475900221506834
4,0.2,1.0,6.1,0.5,2.0,D60_hotspot,5.627118644067797,10.271915904250342,9.820387461210295,0.451319528408279,1.0,0.0,0.451528443040047
4,0.2,1.0,6.1,0.5,2.0,D60_hotspot,6.169491525423728,25.887561191706766,24.58833315460781,1.2988189068760363,1.0,0.0,1.2992280370989562
4,0.2,1.0,6.1,0.5,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,30.114260194755595,1.172017185520897,1.0,0.0,1.1720456126822256
4,0.2,1.0,6.1,0.5,2.0,D60_hotspot,6.711864406779661,7.462467784829663,6.982354788246479,0.4801057830108749,1.0,0.0,0.48011299658318407
4,0.2,1.0,6.1,0.5,2.0,D21_guard,4.0,0.9136772062233662,0.9155037978018186,-0.001620778517795334,0.0,1.0,0.0018265915784523301
4,0.2,1.0,6.1,0.5,2.0,D21_guard,6.4,2.1022273869561374,2.9484915458202394,-0.8462849095964923,0.0,1.0,0.8463056597342771
4,0.2,1.0,6.1,0.5,2.0,D21_guard,8.0,0.3226590996076344,0.35377373006320356,-0.03111463010414987,0.0,1.0,0.03111463045556917
5,0.2,1.0,6.25,0.12,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950882011883502,2.5328014677329847e-06,1.0,0.0,2.5527501250621754e-06
5,0.2,1.0,6.25,0.12,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.267767350881542,0.004146633902788635,1.0,0.0,0.004148553368800378
5,0.2,1.0,6.25,0.12,2.0,D60_hotspot,6.169491525423728,25.887561191706766,25.462571405604564,0.4248559557345092,1.0,0.0,0.42498978610220206
5,0.2,1.0,6.25,0.12,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,30.076435978400006,1.2098404844761008,1.0,0.0,1.2098698290378138
5,0.2,1.0,6.25,0.12,2.0,D60_hotspot,6.711864406779661,7.462467784829663,6.8413654476318015,0.6210930052975543,1.0,0.0,0.6211023371978612
5,0.2,1.0,6.25,0.12,2.0,D21_guard,4.0,0.9136772062233662,0.9136772067557564,-4.724025073560424e-10,0.0,1.0,5.323901319798097e-10
5,0.2,1.0,6.25,0.12,2.0,D21_guard,6.4,2.1022273869561374,2.889195762895561,-0.7869876727157257,0.0,1.0,0.7870069689390888
5,0.2,1.0,6.25,0.12,2.0,D21_guard,8.0,0.3226590996076344,0.35471996848397946,-0.03206086851423866,0.0,1.0,0.03206086887634507
6,0.2,1.0,6.25,0.2,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950460875336626,0.00042037834496543356,1.0,0.0,0.0004236892970013173
6,0.2,1.0,6.25,0.2,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.224707050665351,0.04718701084083,1.0,0.0,0.04720885358499061
6,0.2,1.0,6.25,0.2,2.0,D60_hotspot,6.169491525423728,25.887561191706766,25.157723580089183,0.7296077838920334,1.0,0.0,0.7298376116175831
6,0.2,1.0,6.25,0.2,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,30.169051705404904,1.1172270038020482,1.0,0.0,1.1172541020329163
6,0.2,1.0,6.25,0.2,2.0,D60_hotspot,6.711864406779661,7.462467784829663,6.907473252560802,0.5549861936210467,1.0,0.0,0.5549945322688608
6,0.2,1.0,6.25,0.2,2.0,D21_guard,4.0,0.9136772062233662,0.9136784663914588,-1.1181773731221044e-06,0.0,1.0,1.2601680925428127e-06
6,0.2,1.0,6.25,0.2,2.0,D21_guard,6.4,2.1022273869561374,2.864652383448721,-0.7624436914555025,0.0,1.0,0.7624623858827206
6,0.2,1.0,6.25,0.2,2.0,D21_guard,8.0,0.3226590996076344,0.35470881190501213,-0.03204971193539723,0.0,1.0,0.03204971229737774
7,0.2,1.0,6.25,0.3,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.945456311359903,0.00538583377821751,1.0,0.0,0.005428253273723982
7,0.2,1.0,6.25,0.3,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.120065643623334,0.15178000206019757,1.0,0.0,0.15185026062700757
7,0.2,1.0,6.25,0.3,2.0,D60_hotspot,6.169491525423728,25.887561191706766,24.96178647174115,0.9254831911448511,1.0,0.0,0.9257747199656166
7,0.2,1.0,6.25,0.3,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,30.21662453890783,1.0696553241455182,1.0,0.0,1.0696812685299903
7,0.2,1.0,6.25,0.3,2.0,D60_hotspot,6.711864406779661,7.462467784829663,6.965157692850372,0.49730262002511627,1.0,0.0,0.49731009197929055
7,0.2,1.0,6.25,0.3,2.0,D21_guard,4.0,0.9136772062233662,0.9137384889801741,-5.437765996360927e-05,0.0,1.0,6.128275680783446e-05
7,0.2,1.0,6.25,0.3,2.0,D21_guard,6.4,2.1022273869561374,2.852336239728757,-0.7501272457388165,0.0,1.0,0.750145638177969
7,0.2,1.0,6.25,0.3,2.0,D21_guard,8.0,0.3226590996076344,0.35456247133685026,-0.03190337136888835,0.0,1.0,0.03190337172921587
8,0.2,1.0,6.25,0.5,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.910625827425728,0.03994413226298984,1.0,0.0,0.04025873720789974
8,0.2,1.0,6.25,0.5,2.0,D60_hotspot,5.627118644067797,10.271915904250342,9.91501332533057,0.35673744608705044,1.0,0.0,0.3569025789197724
8,0.2,1.0,6.25,0.5,2.0,D60_hotspot,6.169491525423728,25.887561191706766,24.78858094825182,1.098634171773031,1.0,0.0,1.098980243454946
8,0.2,1.0,6.25,0.5,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,30.255086074946938,1.0311947209645502,1.0,0.0,1.0312197324908823
8,0.2,1.0,6.25,0.5,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.024326555271003,0.4381346466011835,1.0,0.0,0.43814122955866
8,0.2,1.0,6.25,0.5,2.0,D21_guard,4.0,0.9136772062233662,0.9150350966416356,-0.0012048887367125474,0.0,1.0,0.0013578904182693918
