case,D,eta,abs_delta_parent,abs_delta_cf,abs_improvement_vs_parent
D60E21_monitor,7.254237288135593,0.2,1.2051263030049015,1.2028146131618276,0.0023116898430739496
D60E21_monitor,7.254237288135593,0.39,1.2051263357966935,1.2028146457332474,0.0023116900634461146
D60E21_monitor,7.254237288135593,0.5800000000000001,1.2051263685079117,1.2028146782241937,0.0023116902837179154
D60E21_monitor,7.254237288135593,0.77,1.2051264012557326,1.2028147107517206,0.0023116905040119207
D60E21_monitor,7.254237288135593,0.96,1.2051264339827727,1.2028147432584473,0.002311690724325466
D60E21_monitor,7.254237288135593,1.15,1.2051264667175179,1.2028147757729126,0.0023116909446052603
D60E21_monitor,7.254237288135593,1.34,1.2051264994354693,1.2028148082705683,0.002311691164901042
D60E21_monitor,7.254237288135593,1.53,1.2051265321443232,1.2028148407591157,0.0023116913852074816
D60E21_monitor,7.254237288135593,1.72,1.2051265648876446,1.202814873282135,0.0023116916055094805
D60E21_monitor,7.254237288135593,1.91,1.2051265976086145,1.2028149057827986,0.0023116918258159203
D60E21_monitor,7.254237288135593,2.1,1.2051266303252177,1.202814938279122,0.0023116920460957147
D60E21_monitor,7.254237288135593,2.29,1.2051266630392803,1.2028149707728897,0.002311692266390608
D60E21_monitor,7.254237288135593,2.4800000000000004,1.2051266957454136,1.202815003258722,0.002311692486691719
D60E21_monitor,7.254237288135593,2.6700000000000004,1.205126728469288,1.202815035762312,0.002311692706975954
D60E21_monitor,7.254237288135593,2.8600000000000003,1.2051267611813001,1.2028150682540222,0.002311692927277953
D60E21_monitor,7.254237288135593,3.0500000000000003,1.2051267939070631,1.2028151007595,0.0023116931475630764
D60E21_monitor,7.254237288135593,3.24,1.2051268266222754,1.2028151332544113,0.002311693367864187
D60E21_monitor,7.254237288135593,3.43,1.2051268593375415,1.2028151657493975,0.0023116935881439815
D60E21_monitor,7.254237288135593,3.62,1.2051268920620566,1.202815198253615,0.0023116938084415395
D60E21_monitor,7.254237288135593,3.81,1.205126924785977,1.202815230757238,0.0023116940287390975
D60E21_monitor,7.254237288135593,4.0,1.2051269574997372,1.2028152632507085,0.002311694249028662
D60E41_monitor,7.254237288135593,0.2,1.2051263030049015,1.2028146131618276,0.0023116898430739496
D60E41_monitor,7.254237288135593,0.295,1.2051263193488206,1.2028146293956312,0.002311689953189422
D60E41_monitor,7.254237288135593,0.39,1.2051263357966935,1.2028146457332474,0.0023116900634461146
D60E41_monitor,7.254237288135593,0.485,1.2051263521585822,1.2028146619850597,0.002311690173522507
D60E41_monitor,7.254237288135593,0.5800000000000001,1.2051263685079117,1.2028146782241937,0.0023116902837179154
D60E41_monitor,7.254237288135593,0.675,1.205126384918605,1.2028146945247342,0.002311690393870691
D60E41_monitor,7.254237288135593,0.77,1.2051264012557326,1.2028147107517206,0.0023116905040119207
D60E41_monitor,7.254237288135593,0.865,1.2051264176451246,1.202814727030951,0.0023116906141735782
D60E41_monitor,7.254237288135593,0.96,1.2051264339827727,1.2028147432584473,0.002311690724325466
D60E41_monitor,7.254237288135593,1.055,1.2051264503581938,1.202814759523703,0.002311690834490676
D60E41_monitor,7.254237288135593,1.15,1.2051264667175179,1.2028147757729126,0.0023116909446052603
D60E41_monitor,7.254237288135593,1.245,1.205126483081516,1.202814792026742,0.0023116910547740233
D60E41_monitor,7.254237288135593,1.34,1.2051264994354693,1.2028148082705683,0.002311691164901042
D60E41_monitor,7.254237288135593,1.435,1.2051265157939364,1.202814824518864,0.0023116912750724694
D60E41_monitor,7.254237288135593,1.53,1.2051265321443232,1.2028148407591157,0.0023116913852074816
D60E41_monitor,7.254237288135593,1.625,1.2051265485151896,1.2028148570198178,0.0023116914953718037
D60E41_monitor,7.254237288135593,1.72,1.2051265648876446,1.202814873282135,0.0023116916055094805
D60E41_monitor,7.254237288135593,1.815,1.2051265812303447,1.2028148895146824,0.0023116917156622563
D60E41_monitor,7.254237288135593,1.91,1.2051265976086145,1.2028149057827986,0.0023116918258159203
