mode,family,layer,D,eta,mu_cf,base_mu,delta_mu_cf,delta_log_mu_cf,acceptance_mismatch_cf
release_tuned,current,1,4.0,0.2,0.4558902340047945,0.461915433900777,-0.0060251998959824915,-0.013129765186282748,0.0
release_tuned,width_anchor,1,4.0,0.2,0.45855380576433996,0.461915433900777,-0.0033616281364370337,-0.007304194289505107,0.0
release_tuned,partial_anchor,1,4.0,0.2,0.4592323356698388,0.461915433900777,-0.002683098230938208,-0.0058255708967775354,0.0
release_fullsumanchor,current,1,4.0,0.2,0.23154478075590784,0.46191543390077683,-0.230370653144869,-0.6906085386122003,0.0
release_fullsumanchor,width_anchor,1,4.0,0.2,0.4872690744962302,0.46191543390077683,0.025353640595453364,0.053434654046282476,0.0
release_fullsumanchor,partial_anchor,1,4.0,0.2,0.21949701606017458,0.46191543390077683,-0.24241841784060225,-0.7440431926584824,0.0
tailm2_detlin,current,1,4.0,0.2,0.4132484505807028,0.461915433900777,-0.048666983320074186,-0.1113328434793069,0.0
tailm2_detlin,width_anchor,1,4.0,0.2,0.4870904617957037,0.461915433900777,0.025175027894926705,0.05306802818411443,0.0
tailm2_detlin,partial_anchor,1,4.0,0.2,0.39188991025422876,0.461915433900777,-0.07002552364654824,-0.16440087166342124,0.0
release_tuned,current,2,4.0,0.2,2.384418287829314,2.4082830918008886,-0.023864803971574755,-0.00995889346012945,0.0
release_tuned,width_anchor,2,4.0,0.2,2.3983494246264643,2.4082830918008886,-0.009933667174424343,-0.004133322563352066,0.0
release_tuned,partial_anchor,2,4.0,0.2,2.3942942539553074,2.4082830918008886,-0.013988837845581248,-0.0058255708967775354,0.0
release_fullsumanchor,current,2,4.0,0.2,0.9249524896501364,2.4082830918008895,-1.483330602150753,-0.9569269889060238,1.0
release_fullsumanchor,width_anchor,2,4.0,0.2,1.9464949376679321,2.4082830918008895,-0.4617881541329574,-0.21288379624754133,1.0
release_fullsumanchor,partial_anchor,2,4.0,0.2,1.1443890237969758,2.4082830918008895,-1.2638940680039137,-0.7440431926584827,1.0
tailm2_detlin,current,2,4.0,0.2,1.9649703091684754,2.4082830918008886,-0.44331278263241325,-0.2034369482076743,1.0
tailm2_detlin,width_anchor,2,4.0,0.2,2.316084413535641,2.4082830918008886,-0.09219867826524775,-0.039036076544252965,0.0
tailm2_detlin,partial_anchor,2,4.0,0.2,2.043191838693483,2.4082830918008886,-0.36509125310740576,-0.1644008716634215,1.0
release_tuned,current,3,4.0,0.2,15.833497836346266,15.833232260087357,0.0002655762589096611,1.6773203807723787e-05,0.0
release_tuned,width_anchor,3,4.0,0.2,15.926006195916154,15.833232260087357,0.0927739358287969,0.005842344100585204,0.0
release_tuned,partial_anchor,3,4.0,0.2,15.741262790463185,15.833232260087357,-0.0919694696241713,-0.005825570896777424,0.0
release_fullsumanchor,current,3,4.0,0.2,15.854877433207589,15.833232260087359,0.02164517312023051,0.0013661386997306894,0.0
release_fullsumanchor,width_anchor,3,4.0,0.2,33.36543120475027,15.833232260087359,17.532198944662916,0.7454093313582132,0.0
release_fullsumanchor,partial_anchor,3,4.0,0.2,7.523773791943484,15.833232260087359,-8.309458468143873,-0.7440431926584828,0.0
tailm2_detlin,current,3,4.0,0.2,28.296917391228266,15.833232260087357,12.46368513114091,0.580641833832624,0.0
tailm2_detlin,width_anchor,3,4.0,0.2,33.35320081689347,15.833232260087357,17.519968556806113,0.7450427054960455,0.0
tailm2_detlin,partial_anchor,3,4.0,0.2,13.432943595413288,15.833232260087357,-2.4002886646740684,-0.16440087166342135,0.0
release_tuned,current,1,4.0,0.6,0.4843926981997776,0.4907943979315071,-0.006401699731729493,-0.01312936095512817,0.0
release_tuned,width_anchor,1,4.0,0.6,0.4872226007231751,0.4907943979315071,-0.003571797208332006,-0.007304194289505219,0.0
release_tuned,partial_anchor,1,4.0,0.6,0.4879437495767013,0.4907943979315071,-0.002850648354805807,-0.005825166665622972,0.0
release_fullsumanchor,current,1,4.0,0.6,0.2460287804066213,0.49079439793150714,-0.24476561752488585,-0.6905767760021257,0.0
release_fullsumanchor,width_anchor,1,4.0,0.6,0.5177331487464241,0.49079439793150714,0.026938750814916923,0.05343465404628205,0.0
release_fullsumanchor,partial_anchor,1,4.0,0.6,0.23322738257316322,0.49079439793150714,-0.2575670153583439,-0.7440114300484081,0.0
