mode,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu
base_mode,31.28593012120719,31.28639526077564,0.0,10.272608773798765,1.3721439395038004,,31.28639526077564,7.462495924022775
partial2_mode,31.28593012120721,31.286395260775656,0.0,10.272608772837145,13.705888322971532,,31.286395260775656,7.462495924022772
