family,peak2,center2_D,sigma2_D,D,eta,target_mu,cur_mu,mu_new,delta_mu,delta_log_mu,beta2
pointamp2,0.25,5.9,0.08,6.4406779661016955,0.39,53.1761539878905,58.12143315039051,58.12143314953376,4.945279161643256,0.08892443430459893,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,0.5800000000000001,53.17627564694484,58.121589364558325,58.121589363701595,4.945313716756758,0.08892483417429205,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,0.77,53.176397305291836,58.1217455764471,58.12174557559036,4.945348270298524,0.0889252340160853,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,0.96,53.17651896289371,58.121901788668005,58.121901787811275,4.945382824917566,0.08892563387561636,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,1.15,53.17664061967282,58.122057996842834,58.12205799598609,4.945417376313273,0.08892603367901623,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,1.34,53.17676227557025,58.12221420443112,58.12221420357437,4.945451928004125,0.08892643348691573,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,1.53,53.1768839308222,58.122370412752076,58.12237041189532,4.945486481073118,0.08892683331756986,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,1.72,53.17700558523319,58.12252662179833,58.122526620941585,4.945521035708396,0.08892723317452843,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,1.91,53.17712723881674,58.122682831552225,58.12268283069547,4.94555559187873,0.08892763305723195,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,2.1,53.17724889163355,58.1228390351841,58.12283903432736,4.94559014269381,0.08892803284703624,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,2.29,53.17737054371819,58.122995233471165,58.12299523261441,4.945624688896217,0.08892843255666234,3.0151583898993664e-11
pointamp2,0.25,5.9,0.08,6.4406779661016955,2.4800000000000004,53.1774921949914,58.123151432434526,58.12315143157779,4.945659236586387,0.08892883229119508,3.0151583898993664e-11
