label,beta,center,half_width,objective,global_max_abs_delta_mu_mumu,d4p0_p95_abs_delta_mu_mumu,d4p0_max_abs_delta_mu_mumu,d4p0_acceptance_mismatch,d4p8_p95_abs_delta_mu_mumu,d4p8_max_abs_delta_mu_mumu,d6p4_p95_abs_delta_mu_mumu,d6p4_max_abs_delta_mu_mumu,d7p2_p95_abs_delta_mu_mumu,d7p2_max_abs_delta_mu_mumu,d8p0_p95_abs_delta_mu_mumu,d8p0_max_abs_delta_mu_mumu
bandpass_gnorm,0.25,0.06,0.04,51.551241878463195,107.5150274972359,106.57226942269452,107.5150274972359,0.6097560975609756,93.35339736683228,93.42020518009139,0.8396709108690743,0.839887784811225,1.4086274638246463,1.4086288805670142,1.729344945573399,1.7293449547896227
bandpass_gnorm,0.25,0.06,0.03,52.540463718413896,108.18769567077624,107.23907339775283,108.18769567077624,0.6097560975609756,94.11693873456554,94.18428877516901,1.3384632333767854,1.338678500943793,1.4217936263379007,1.4217950305807294,1.7507035274778793,1.750703536987114
bandpass_gnorm,0.25,0.07,0.04,53.326366328417386,109.7141644224779,108.75232993233507,109.7141644224779,0.6097560975609756,95.97897573385778,96.04763434537556,1.2044657942329167,1.2046806381851525,1.4370955291313283,1.437096891186603,1.7955107068258207,1.7955107172235998
bandpass_gnorm,0.25,0.05,0.04,53.94439368389532,106.55385134698788,105.61966916698452,106.55385134698788,0.6097560975609756,92.53349934055827,92.5996976895299,3.1947585095405486,3.1949687552533277,1.3557915435247807,1.3557929463237812,1.6914144244842153,1.6914144337622172
bandpass_gnorm,0.2,0.06,0.04,54.36424337511909,108.63063408417905,107.67816791599051,108.63063408417905,0.6097560975609756,94.64370202125693,94.71142364410767,2.634633793389469,2.6348450152558485,1.42764898842114,1.4276503817784114,1.7640977962909417,1.764097806035008
bandpass_gnorm,0.25,0.05,0.03,54.820877879988025,106.56846901288436,105.63414647167988,106.56846901288436,0.6097560975609756,92.53225631340582,92.59845556805097,3.9249574745582976,3.925164928416784,1.3583188874588634,1.3583202920799886,1.6923664748973244,1.6923664841501216
bandpass_gnorm,0.25,0.06,0.02,54.92246468880223,110.05230396756502,109.08755323818173,110.05230396756502,0.6097560975609756,96.40538785637192,96.4743446379696,2.3543435225221927,2.354554925220171,1.4391610622031594,1.4391624136267325,1.8050214627489427,1.8050214733666818
bandpass_gnorm,0.2,0.05,0.04,54.98768150414911,107.19394401423466,106.25400439234488,107.19394401423466,0.6097560975609756,93.01550428640134,93.08206945309279,3.848538093002219,3.8487455609063517,1.399064712420869,1.3990661320573787,1.71842032566015,1.718420334783465
bandpass_gnorm,0.2,0.06,0.03,55.221323136294956,109.36937125383048,108.4105136008632,109.36937125383048,0.6097560975609756,95.5483838724729,95.61674093211857,2.965700671447294,2.9659104101559635,1.434633618942164,1.4346349914862548,1.7856837593079953,1.785683769488294
bandpass_gnorm,0.2,0.05,0.03,55.53585070956956,107.23497929768446,106.29467839242687,107.23497929768446,0.6097560975609756,93.05720014913658,93.1237954193276,4.2873689334856095,4.287574482066724,1.4004739888791047,1.400475408320668,1.719857117030053,1.7198571261626014
bandpass_gnorm,0.25,0.07,0.03,55.81484169203989,112.01964749098394,111.03797726226816,112.01964749098394,0.6097560975609756,98.94703770473808,99.01776450058483,2.0254310044440587,2.0256423945826256,1.4472395450625575,1.4472408305371758,1.8583914792462797,1.858391491236632
bandpass_gnorm,0.25,0.05,0.02,55.868620949616414,106.60317796017382,105.66852826445788,106.60317796017382,0.6097560975609756,92.53775011799146,92.60395667141492,4.794335577774113,4.794539068435803,1.3632641769246874,1.3632655848857995,1.694395381830803,1.6943953910386655
bandpass_gnorm,0.25,0.05,0.01,56.15038922305946,106.75127637975892,105.81527213813561,106.75127637975892,0.6097560975609756,92.6182692378284,92.68454174187285,4.99118503050385,4.991387573057409,1.3772003020350656,1.3772017175548914,1.701489379925135,1.7014893890422078
bandpass_gnorm,0.2,0.07,0.04,56.1913758216493,110.86724199627038,109.89547379192618,110.86724199627038,0.6097560975609756,97.44706288023357,97.5167464474003,2.9719301008941557,2.972139074577356,1.4431194842978066,1.4431208090626058,1.8275000623734265,1.8275000735431952
bandpass_gnorm,0.2,0.05,0.02,56.222377266168415,107.32063549035755,106.37958158842957,107.32063549035755,0.6097560975609756,93.14580739773798,93.2124664644488,4.821343312114109,4.821546250953098,1.403217370971329,1.403218789820654,1.7228133810064388,1.7228133901610514
bandpass_gnorm,0.15,0.05,0.04,56.5013785478701,108.57743529567901,107.6254302570342,108.57743529567901,0.6097560975609756,94.57970563149829,94.64738218557893,4.44273126294069,4.442935399523741,1.4270267028705916,1.4270280976122134,1.7625098440622664,1.762509853776872
bandpass_gnorm,0.2,0.05,0.01,56.54402995637254,107.60635027260071,106.66279344658133,107.60635027260071,0.6097560975609756,93.45346446790491,93.52034371049905,4.957529678214179,4.957731896343432,1.4108521805878205,1.4108535960437578,1.7323437455306787,1.7323437547803504
bandpass_gnorm,0.15,0.05,0.03,56.80655846773008,108.63063408417906,107.67816791599054,108.63063408417906,0.6097560975609756,94.64370202125697,94.71142364410768,4.669904592806134,4.67010759243167,1.42764898842114,1.4276503817784114,1.7640977962909417,1.764097806035009
bandpass_gnorm,0.15,0.06,0.04,56.90987981078347,110.16206010618328,109.19636340904898,110.16206010618328,0.6097560975609756,96.54458783967418,96.61364186846761,3.951723323611944,3.951928893044176,1.4397696580489407,1.4397710059595505,1.808083851717155,1.8080838624075488
bandpass_gnorm,0.2,0.06,0.02,57.18460004903738,111.18051117863222,110.20604894618927,111.18051117863222,0.6097560975609756,97.85199792918343,97.92196348345664,3.6287498153499698,3.628956216050206,1.444366421797592,1.4443677360254066,1.8359936935615466,1.8359937049503356
bandpass_gnorm,0.15,0.05,0.02,57.210461676975065,108.73907547185516,107.78566972997507,108.73907547185516,0.6097560975609756,94.77469473887174,94.84250855627083,4.9509501017030075,4.951151615590646,1.4288593308735207,1.4288607213534048,1.7673191581455456,1.7673191679505926
bandpass_gnorm,0.15,0.05,0.01,57.523541022630674,109.08076146200656,108.12439842403643,109.08076146200656,0.6097560975609756,95.19172250682742,95.25982938886806,5.035176132620251,5.035377138638452,1.4322266545385869,1.4322280355242931,1.7773450505737354,1.7773450605781962
bandpass_gnorm,0.15,0.06,0.03,57.60763774778816,110.86724199627038,109.89547379192618,110.86724199627038,0.6097560975609756,97.44706288023357,97.5167464474003,4.15215298614892,4.152357346359736,1.4431194842978066,1.4431208090626058,1.8275000623734265,1.8275000735431952
bandpass_gnorm,0.2,0.07,0.03,58.205168228624416,112.92825267435423,111.93878983228385,112.92825267435423,0.6097560975609756,100.14743469871155,100.21899398954419,3.5113608478838287,3.5115668724527467,1.4499203165277788,1.4499215703119965,1.8821204134429208,1.8821204261045965
bandpass_gnorm,0.1,0.05,0.04,58.48621903673215,110.71470674951344,109.74425097897014,110.71470674951344,0.6097560975609756,97.25074199447364,97.32028874547196,4.967169091647442,4.967369505793187,1.4424654929734722,1.4424668228184965,1.8233362430750186,1.8233362541394058
bandpass_gnorm,0.15,0.07,0.04,58.56670991531224,112.1983067500188,111.21510331817802,112.1983067500188,0.6097560975609756,99.18194403069228,99.25283389412903,4.2196215403939945,4.2198249770199325,1.4477904450239496,1.447791724302336,1.8630982956525153,1.863098307773388
bandpass_gnorm,0.1,0.05,0.03,58.627608067835965,110.76524813264099,109.79435744676223,110.76524813264099,0.6097560975609756,97.31572754581586,97.38531959296905,5.057563825005772,5.057763723518654,1.4426859276657726,1.4426872558314754,1.824717994366019,1.8247180054652254
bandpass_gnorm,0.25,0.08,0.04,58.722622470487025,113.1662375438878,112.17473551511156,113.1662375438878,0.6097560975609756,100.46408068836017,100.53585925919012,3.809129469261123,3.80933421418775,1.4505910162966522,1.450592261723986,1.88825290968281,1.8882529225231721
bandpass_gnorm,0.1,0.05,0.02,58.82912908730175,110.86724199627038,109.89547379192618,110.86724199627038,0.6097560975609756,97.44706288023357,97.5167464474003,5.170067543239206,5.170266795954397,1.4431194842978066,1.4431208090626058,1.8275000623734265,1.8275000735431952
bandpass_gnorm,0.1,0.05,0.01,59.08633927799798,111.18051117863222,110.20604894618927,111.18051117863222,0.6097560975609756,97.85199792918343,97.92196348345664,5.213539963308115,5.213738906850708,1.444366421797592,1.4443677360254066,1.8359936935615466,1.8359937049503356
bandpass_gnorm,0.15,0.06,0.02,59.14148866854627,112.46527678822561,111.47978317169566,112.46527678822561,0.6097560975609756,99.5340212680247,99.60515539196534,4.550181407128406,4.550383170602544,1.4485878505876544,1.4485891205712473,1.8700935872541247,1.8700935995714412
bandpass_gnorm,0.1,0.06,0.04,59.28387755595885,112.11067949281927,111.12822799340822,112.11067949281927,0.6097560975609756,99.06665671209703,99.13746655504711,4.8658703864696164,4.866070694339527,1.447522205280407,1.447523487600483,1.860792330034713,1.8607923420914716
bandpass_gnorm,0.1,0.06,0.03,59.79215928558732,112.68148115270289,111.69413358620207,112.68148115270289,0.6097560975609756,99.82004126833993,99.89137369965539,4.971847212563723,4.972046689845399,1.4492162643807527,1.449217526810476,1.8757261412729993,1.8757261537505698
bandpass_gnorm,0.15,0.07,0.03,60.11072092773535,113.90613436476401,112.90829710313821,113.90613436476401,0.6097560975609756,101.45390921981998,101.52637244612706,4.548805193089315,4.549006326125436,1.4526721152789026,1.4526733346484377,1.9071131540148998,1.907113167417256
bandpass_gnorm,0.2,0.08,0.04,60.11072092773535,113.90613436476401,112.90829710313821,113.90613436476401,0.6097560975609756,101.45390921981998,101.52637244612706,4.548805193089315,4.549006326125436,1.4526721152789026,1.4526733346484377,1.9071131540148998,1.907113167417256
bandpass_gnorm,0.1,0.07,0.04,60.57447026866637,113.70689523264188,112.71076325216438,113.70689523264188,0.6097560975609756,101.18659707801439,101.25887552520942,5.047891846724681,5.048090453437183,1.4521082471349933,1.452109473528913,1.9020644097495993,1.90206442299972
bandpass_gnorm,0.1,0.06,0.02,60.87064100579141,113.90613436476397,112.90829710313818,113.90613436476397,0.6097560975609756,101.45390921981992,101.52637244612698,5.182075305848443,5.182273057838849,1.4526721152789044,1.4526733346484386,1.907113154014899,1.907113167417255
