parameter,window_low_base_high,f_chi2_le_4_low_base_high,best_chi2_low_base_high,max_abs_drift_f_chi2_le_4
mu_low,0.5 / 1.0 / 2.0,0.1500 / 0.1500 / 0.1500,1.177e-03 / 1.177e-03 / 1.176e-03,0.0000
gamma_diag,1.0 / 2.0 / 3.0,0.1500 / 0.1500 / 0.1500,1.207e-03 / 1.177e-03 / 1.147e-03,0.0000
gamma_offdiag,0.5 / 1.0 / 1.5,0.1500 / 0.1500 / 0.1500,1.177e-03 / 1.177e-03 / 1.177e-03,0.0000
kappa_diag,-1.0 / 0.0 / 1.0,0.1500 / 0.1500 / 0.1500,1.177e-03 / 1.177e-03 / 1.177e-03,0.0000
kappa_offdiag,-1.0 / 0.0 / 1.0,0.1500 / 0.1500 / 0.1500,1.177e-03 / 1.177e-03 / 1.177e-03,0.0000
