alpha,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
0.0,4.0,1.9088192713612009,1.960338806498766,1.0
0.0,4.8,7.3387523791222184,7.352066063976986,0.0
0.0,5.6,49.24087962881938,49.246163058758064,0.0
0.0,6.4,51.78178065267282,51.78203746770311,0.0
0.0,7.2,1.4009786191128535,1.400978619251136,1.0
0.0,8.0,0.3139007121985153,0.31390071224049976,1.0
0.0,8.8,0.36912497796711585,0.3691249782520316,0.0
0.0,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.0,10.4,0.14293980312816162,0.14293980391796235,0.0
0.0,11.2,0.04091271612335729,0.04091271640771327,0.0
0.0,12.0,0.007332369784910131,0.007332371491122855,0.0
0.0,12.8,0.0018768784655154578,0.00187688478826482,0.0
0.0,13.600000000000001,6.0516879343651634e-05,6.051737211028241e-05,0.0
0.0,14.4,1.88531829705312e-05,1.885334719730453e-05,0.0
0.0,15.200000000000001,3.626312366360575e-06,3.626793467636922e-06,0.0
0.0,16.0,3.4251440170387924e-07,3.427027325260143e-07,0.0
0.0,16.8,1.5878469550931735e-07,1.6250801046818007e-07,0.0
0.0,17.6,1.065941446754108e-08,1.065941446754108e-08,0.0
0.0,18.4,1.065941446754108e-08,1.065941446754108e-08,0.0
0.0,19.200000000000003,1.065941446754108e-08,1.065941446754108e-08,0.0
0.0,20.0,1.065941446754108e-08,1.065941446754108e-08,0.0
0.25,4.0,1.6654750367251452,1.7104254781126276,1.0
0.25,4.8,4.733558302191674,4.742141673878352,0.0
0.25,5.6,44.67785345183616,44.68263111135309,0.0
0.25,6.4,44.88852203322153,44.88873393612215,0.0
0.25,7.2,1.2233475280281516,1.2233475429745937,0.0
0.25,8.0,0.316558808802084,0.31655880887471355,1.0
0.25,8.8,0.34759524222415444,0.34759524247277906,0.0
0.25,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.25,10.4,0.13988411609130305,0.13988411686122504,0.0
0.25,11.2,0.040461920806486154,0.04046192111448127,0.0
0.25,12.0,0.007335370881211811,0.007335372590013312,0.0
0.25,12.8,0.0018768841017989557,0.0018768904245540419,0.0
0.25,13.600000000000001,6.0516826495285556e-05,6.051731926158782e-05,0.0
0.25,14.4,1.8853173795317717e-05,1.8853338022366686e-05,0.0
0.25,15.200000000000001,3.626309720104795e-06,3.626790821773715e-06,0.0
0.25,16.0,3.4251423393020133e-07,3.4270256466010114e-07,0.0
0.25,16.8,1.5878466692193888e-07,1.6250798121050725e-07,0.0
0.25,17.6,1.0659409181417653e-08,1.0659409181417653e-08,0.0
0.25,18.4,1.0659409181417653e-08,1.0659409181417653e-08,0.0
0.25,19.200000000000003,1.0659409181417653e-08,1.0659409181417653e-08,0.0
0.25,20.0,1.0659409181417653e-08,1.0659409181417653e-08,0.0
0.5,4.0,1.3724039103578836,1.409445215424701,1.0
0.5,4.8,2.4470339087722257,2.451457337848561,0.0
0.5,5.6,37.74450902283768,37.74853191974549,0.0
0.5,6.4,32.12759114499154,32.12772800663498,0.0
0.5,7.2,1.0309058504209687,1.0309058881341682,0.0
0.5,8.0,0.3192133913660585,0.31921339146925387,1.0
0.5,8.8,0.32568386424012624,0.32568386445131914,0.0
0.5,9.600000000000001,2.1316282072803005e-15,2.220446049250313e-15,0.0
0.5,10.4,0.136801911531174,0.13680191228101524,0.0
0.5,11.2,0.040009295983321244,0.04000929631516703,0.0
0.5,12.0,0.0073383716853623335,0.007338373396752175,0.0
0.5,12.8,0.0018768897380169027,0.0018768960607777128,0.0
0.5,13.600000000000001,6.051677364689568e-05,6.051726641286943e-05,0.0
0.5,14.4,1.885316462010087e-05,1.885332884742548e-05,0.0
0.5,15.200000000000001,3.626307073848193e-06,3.626788175909686e-06,0.0
0.5,16.0,3.4251406615650373e-07,3.4270239679416827e-07,0.0
0.5,16.8,1.5878463833455706e-07,1.6250795195283098e-07,0.0
0.5,17.6,1.0659403895293598e-08,1.0659403895293598e-08,0.0
0.5,18.4,1.0659403895293598e-08,1.0659403895293598e-08,0.0
0.5,19.200000000000003,1.0659403895293598e-08,1.0659403895293598e-08,0.0
0.5,20.0,1.0659403895293598e-08,1.0659403895293598e-08,0.0
0.75,4.0,1.0194443045447252,1.0469630736650366,1.0
0.75,4.8,0.44019923634909264,0.44096433382176947,0.0
0.75,5.6,27.209556316592053,27.21245325234522,0.0
0.75,6.4,8.504314241533798,8.504327182000289,0.0
0.75,7.2,0.8224186971298961,0.8224187657876105,0.0
0.75,8.0,0.3218644645360462,0.3218644646697286,1.0
