D,split,ratio_target,ratio_pred,residual_signed,residual_abs
4.0,holdout,0.1671041995173436,0.20005471871729077,0.03295051919994718,0.03295051919994718
5.0,holdout,0.1660526654195183,0.2746578186556519,0.10860515323613362,0.10860515323613362
6.0,anchor,0.1553160416942103,0.010862276962076641,-0.14445376473213364,0.14445376473213364
7.0,holdout,0.1547727178721497,0.2613787227582516,0.10660600488610189,0.10660600488610189
8.0,holdout,0.145175252262609,0.13370057728262555,-0.011474674979983446,0.011474674979983446
9.0,anchor,0.1362545551058513,0.07431399060296495,-0.06194056450288635,0.06194056450288635
10.0,holdout,0.1359890175348428,0.18446146615137937,0.04847244861653657,0.04847244861653657
11.0,holdout,0.12780929390848,0.0029380300892145844,-0.12487126381926542,0.12487126381926542
12.0,anchor,0.127530149580544,0.19585618429875423,0.06832603471821022,0.06832603471821022
13.0,holdout,0.1205635009661166,0.05176639936773758,-0.06879710159837901,0.06879710159837901
14.0,holdout,0.1201739038398078,0.18798526761916917,0.06781136377936137,0.06781136377936137
15.0,anchor,0.1139474861009023,0.09838615972032236,-0.015561326380579943,0.015561326380579943
16.0,holdout,0.1138273296819945,0.16724766606119684,0.05342033637920235,0.05342033637920235
17.0,holdout,0.1080421135069169,0.12086486963742006,0.012822756130503155,0.012822756130503155
18.0,anchor,0.1027615021141444,0.01619326862493052,-0.08656823348921389,0.08656823348921389
19.0,holdout,0.1028771386824079,0.1222644601468571,0.0193873214644492,0.0193873214644492
20.0,holdout,0.0980417547176356,0.044736453106347204,-0.053305301611288394,0.053305301611288394
