mode,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
fullwidthrefamp_pointamp_widthboost,5.627118644067797,0.7462097772046619,0.7465120744269242,0.0
fullwidthrefamp_pointamp_widthboost,5.898305084745763,30.5441365739224,30.545371906720547,0.0
fullwidthrefamp_pointamp_widthboost,6.169491525423728,14.878576035914335,14.880552312358844,0.0
fullwidthrefamp_pointamp_widthboost,6.4406779661016955,5.688045106972929,5.68808166121223,0.0
fullwidthrefamp_pointamp_widthboost,6.711864406779661,20.815214560279276,20.815226903323516,0.0
fullwidthrefamp_pointamp_widthboost_joint,5.627118644067797,2.344985702296711,2.3451274002342615,0.0
fullwidthrefamp_pointamp_widthboost_joint,5.898305084745763,26.712224641431675,26.713640068326427,0.0
fullwidthrefamp_pointamp_widthboost_joint,6.169491525423728,12.308559759394257,12.310626033351966,0.0
fullwidthrefamp_pointamp_widthboost_joint,6.4406779661016955,7.212068167882414,7.2121083580450644,0.0
fullwidthrefamp_pointamp_widthboost_joint,6.711864406779661,20.815181642564372,20.815193984883557,0.0
