channel,layer_N,mu_ref,mu_min,mu_p10,mu_p50,mu_p90,mu_max,mu_mean,mu_std,f_mu_gt_0p8,f_mu_gt_1p0,f_mu_gt_1p2,obs_mu,obs_sigma,f_chi2_le_1,f_chi2_le_4,best_chi2,best_D,best_eta,obs_source
ee,1,1.0,1.0981156998664032e-07,2.413663602397673e-07,0.039490084977959736,6.558611485333297,27.869791916616663,2.6610243474459647,6.349340229942451,0.3,0.3,0.3,nan,nan,nan,nan,nan,nan,nan,
mumu,2,1.0,2.267132531459527e-08,5.9307808628996816e-08,0.028479647706806284,23.00313215701973,109.54074360775421,7.455791391090657,20.604509147618867,0.3375,0.325,0.325,1.4,0.4,0.0625,0.125,0.006249937562233622,9.265822784810126,3.9050000000000002,"ATLAS Collaboration, arXiv:2507.03595"
tautau,3,1.0,3.2463537026967015e-06,4.945434741583789e-06,0.03949637576285539,21.781363955445723,93.65403078041336,7.086145350477863,17.79658339487837,0.35,0.3375,0.325,nan,nan,nan,nan,nan,nan,nan,
