mode,n_points,mean_abs_delta_mu_mumu,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu,f_chi2_le_4_uv_rge,best_chi2_uv_rge,max_tree_rebuild_residual,max_match_rebuild_residual,max_ir_rebuild_residual,max_abs_delta_mu_mumu_ir_recon_vs_native,action_norm_diag_p50,action_norm_diag_p90
constant,441,0.0013172574236484309,0.0070351836507001,0.0165821036885702,0.09523809523809523,0.2108887153962173,0.0,0.0,0.0,7.308936995055574e-08,,
input_tied,441,0.0008240677377742439,0.0065333479002305,0.0087150671682678,0.09523809523809523,0.2109549321899935,0.0,0.0,0.0,5.5462289769209036e-08,,
action_normalized,441,0.0003646299323887795,0.0007230423210273,0.005925946623968,0.09523809523809523,0.2107102352009858,0.0,0.0,0.0,5.542130914915309e-08,1.373208491679968,1.445258442584182
