peak,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
1.0,0.05,3.2985286987616593,5.539992582812436,0.031746031746031744,0.0014251090521284482,0.02079750302023342,,3.857273269147754e-05,0.12189703118986372,0.02079750302023342,0.12189703118986372,0.06094851559493186
1.0,0.03,3.298525946616484,5.539992582812436,0.031746031746031744,0.0014215578046687938,0.020798544722310908,,3.857273269147754e-05,0.12189913270606212,0.020798544722310908,0.12189913270606212,0.06094956635303106
1.0,0.08,3.311118083316566,5.539992582812436,0.031746031746031744,0.02915941096262742,0.08511201594559736,,3.85736676093984e-05,0.1054961609134466,0.08511201594559736,0.1054961609134466,0.08511201594559736
1.0,0.12,3.584233190888392,5.539992582382313,0.031746031746031744,0.6813825554725028,1.5708076216970142,,0.0003664599671893143,0.2740117495702741,1.5708076216970142,0.2740117495702741,1.5708076216970142
0.75,0.03,3.4870597904603335,5.539992582812436,0.031746031746031744,3.153370847687853,3.5175998819209866,,2.823677883816295,0.12189913270606212,3.5175998819209866,0.12189913270606212,3.5175998819209866
0.75,0.05,3.4870656809038016,5.539992582812436,0.031746031746031744,3.153373700463831,3.5176057679521193,,2.823677883816295,0.12189755656889645,3.5176057679521193,0.12189755656889645,3.5176057679521193
0.75,0.08,3.5292116033805123,5.539992582812436,0.031746031746031744,3.175651383367594,3.56354460844598,,2.823677884560773,0.10959572588741295,3.56354460844598,0.10959572588741295,3.56354460844598
0.75,0.12,3.70473380596291,5.539992582489845,0.031746031746031744,3.6985543369256177,4.627585510943334,,2.8239389798596974,0.17579884320177186,4.627585510943334,0.17579884320177186,4.627585510943334
1.0,0.16,4.1344888890786455,5.539982577543665,0.031746031746031744,2.112440502415552,4.706424591987613,,0.02862300221692493,1.0646558936241846,4.706424591987613,1.0646558936241846,4.706424591987613
0.5,0.03,5.554054756678418,6.847523059171152,0.031746031746031744,6.529388400201299,6.847523059171152,,5.82162610163639,0.12189913270606212,6.847523059171152,0.12189913270606212,6.847523059171152
0.5,0.05,5.554054756678418,6.847526795915655,0.031746031746031744,6.529390437252189,6.847526795915655,,5.82162610163639,0.12189808194793628,6.847526795915655,0.12189808194793628,6.847526795915655
0.5,0.08,5.5540547567047645,6.876694252022688,0.031746031746031744,6.5452967777726485,6.876694252022688,,5.821626102163343,0.11369607607723253,6.876694252022688,0.11369607607723253,6.876694252022688
0.75,0.16,4.53088579046901,6.891598944320549,0.031746031746031744,4.839289814648616,6.891598944320549,,2.846437858869443,0.7743975182132594,6.891598944320549,0.7743975182132594,6.891598944320549
0.5,0.12,5.55406399643666,7.5540787216772,0.031746031746031744,6.9179406149155795,7.5540787216772,,5.821810910820652,0.07712713131092741,7.5540787216772,0.07712713131092741,7.5540787216772
0.5,0.16,5.554855397774959,9.007150240870416,0.031746031746031744,7.726221615007979,9.007150240870416,,5.83773483946073,0.4799751619211037,9.007150240870416,0.4799751619211037,9.007150240870416
0.25,0.03,5.713197080633429,10.145402957117362,0.031746031746031744,10.145402957117362,10.018523599527263,,9.004643663918984,0.12189913270606212,10.145402957117362,0.12189913270606212,10.145402957117362
0.25,0.05,5.713197080633429,10.14540404804854,0.031746031746031744,10.14540404804854,10.018525378730317,,9.004643663918984,0.12189860732699387,10.14540404804854,0.12189860732699387,10.14540404804854
0.25,0.08,5.713197080647415,10.153921933538285,0.031746031746031744,10.153921933538285,10.032414614233872,,9.004643664198724,0.11779721163330947,10.153921933538285,0.11779721163330947,10.153921933538285
0.25,0.12,5.713201985708846,10.355840191688038,0.031746031746031744,10.35309404920838,10.355840191688038,,9.004741772743643,0.02230009055419302,10.355840191688038,0.02230009055419302,10.355840191688038
0.25,0.16,5.713622227072449,11.055296780553007,0.031746031746031744,10.782633710292068,11.055296780553007,,9.013194577338759,0.18132908922155266,11.055296780553007,0.18132908922155266,11.055296780553007
