D,eta,parent_fixedpoint_k11,parent_fixedpoint_k_bg,parent_fixedpoint_k22,parent_fixedpoint_e_part,parent_fixedpoint_e_tree,parent_fixedpoint_c_parent,parent_fixedpoint_xi_target,parent_fixedpoint_e_part_log,parent_fixedpoint_e_tree_log,eymh_parented_prefactor_diag
4.0,0.2,1.4003545423064692,1.052928468881864,1.9324179114318152,0.40035454230646916,0.8794894425499511,0.5933865462204695,0.13011768624754755,0.3367254490648569,0.639334715443163,0.0433261161132477
4.8,0.2,1.3864469292404067,1.3330127461264274,2.362702968139451,0.3864469292404067,1.0296902220130235,0.6308094992672555,0.1214742069095597,0.326744308558147,0.7629694218697236,0.0392190539319979
5.6,0.2,1.3740065777952906,1.0489632309804584,2.1633438169820285,0.37400657779529056,1.11438058600157,0.6455893968552749,0.14021627303672501,0.3177309811215154,0.7592949831659168,0.0448967669998699
6.4,0.2,1.4087562872961084,1.2368422574530327,2.3109335636598973,0.40875628729610836,1.0740913062068647,0.6626021238587645,0.13485974049142668,0.34270724939373237,0.7731377489408278,0.0493701336927381
7.2,0.2,1.465397035754631,1.5397550802947837,2.131691691581259,0.4653970357546311,0.5919366112864752,0.5248671681934076,0.08818995348264555,0.3821262199183088,0.500870811616354,0.0543924299977552
8.0,0.2,1.4813765064519049,1.5891268740470006,2.1471719293261815,0.4813765064519049,0.5580450552791809,0.5182950695820405,0.08445432232153849,0.3929717274540861,0.4782745333287528,0.057994994496971
8.8,0.2,1.489316794072924,1.1526414316992488,1.8912538593858557,0.48931679407292394,0.7386124276866068,0.6011783971318578,0.12831275159165703,0.39831748733366634,0.5707693885101777,0.0457081664589713
9.6,0.2,1.496386180473614,1.1066533286499558,1.9918148538198939,0.49638618047361405,0.8851615251699381,0.662858920571568,0.1474176741925567,0.40305298826718194,0.6503865446567252,0.0411393810783117
10.4,0.2,1.5001900984560719,1.191089660939199,2.1083009049864505,0.5001900984560719,0.9172112440472515,0.6773329923051223,0.14505261764845878,0.4055918323823523,0.6801286277028676,0.0443592616003478
11.2,0.2,1.501890377156128,1.263616892757297,2.182084658405298,0.501890377156128,0.9184677656480009,0.6789478133898226,0.14065752046392918,0.4067245660953016,0.6903171011473964,0.0459252714847219
12.0,0.2,1.502567924724998,1.324701506182844,2.2018194050882944,0.5025679247249979,0.8771178989054504,0.663936233528539,0.13324070812303054,0.4071755942090428,0.673076682607292,0.0457444364275039
12.8,0.2,1.5279606669354249,1.114287005200122,1.905958397683779,0.5279606669354249,0.7916713924836571,0.6465070427840428,0.14352281009029708,0.423933948878602,0.598116097430186,0.0392926289711688
13.6,0.2,1.5316649359830974,1.1152775579450587,1.7972738537376562,0.5316649359830974,0.6819962957925976,0.6021573855258117,0.13171705384368726,0.4263553372040366,0.5321744119304813,0.0396211797225291
14.4,0.2,1.5288677337858356,1.195999582362392,1.8918082519709036,0.5288677337858356,0.6958086696085117,0.6066224148878698,0.12723010234990387,0.424527418159913,0.5484265801489838,0.0396849667542082
15.2,0.2,1.526691794633058,1.2635129579283289,2.0816055557919326,0.526691794633058,0.8180925978636038,0.6564165282385889,0.1355842383803304,0.4231031686891619,0.6308007506838057,0.0417258105506857
