pair,D,slice_p95_abs_log_gamma_ratio,slice_p95_abs_log_W_ratio,slice_p95_abs_delta_P,slice_p95_abs_delta_generation_ratio,slice_winner_mismatch_fraction
hybrid_vs_runtime,4.0,2.7503602551741623e-08,0.17318509000611465,0.006529334565743383,0.0017657881899673321,0.0
hybrid_vs_runtime,4.271186440677966,1.966725568425216e-08,0.1152956989255605,0.0024567203463664146,0.0007995105877069752,0.0
hybrid_vs_runtime,4.5423728813559325,9.731611077273938e-10,0.07309679706500355,0.0013479322494814206,0.00040346339453738443,0.0
hybrid_vs_runtime,4.813559322033898,9.632075142127826e-10,0.047171913736881725,0.0007965894085718128,0.00021074992271039595,0.0
hybrid_vs_runtime,5.084745762711864,9.5603756068611e-10,0.03729143876497491,0.0005769073026728577,0.00012813831907667605,0.0
hybrid_vs_runtime,5.3559322033898304,9.674558936429144e-10,0.04260284421297514,0.0006154920274347164,0.00011655421052227943,0.0
hybrid_vs_runtime,5.627118644067797,9.743832190296309e-10,0.06775694719924322,0.0009227208959438294,0.0001528543858378084,0.0
hybrid_vs_runtime,5.898305084745763,8.845149949724925e-10,0.11337072123470428,0.0014805111255239644,0.00023434107171282914,0.0
hybrid_vs_runtime,6.169491525423728,8.206662019986258e-10,0.17975791012614284,0.0022574110473582596,0.00034262055559408644,0.0
hybrid_vs_runtime,6.4406779661016955,7.479982191993273e-10,0.26054022688795664,0.003164941339150196,0.00047440849697726327,0.0
hybrid_vs_runtime,6.711864406779661,6.821730960222312e-10,0.3341442034122089,0.004481071769136191,0.0007697546513415032,0.0
hybrid_vs_runtime,6.983050847457627,1.2607370703760866e-10,0.3624637595972949,0.004567690668856694,0.0010203356472333613,0.0
hybrid_vs_runtime,7.254237288135593,1.107379521475801e-10,0.3217946338249364,0.0038550553461360604,0.0011348601113711832,0.0
hybrid_vs_runtime,7.525423728813559,9.431799786075596e-11,0.23412039872158838,0.002617951840157806,0.0008213685393801962,0.0
hybrid_vs_runtime,7.796610169491526,7.481848474380052e-11,0.13806022936318518,0.0014090988106906011,0.00048437763809898725,0.0
hybrid_vs_runtime,8.067796610169491,5.863187713289552e-11,0.05622153481462953,0.0005527108503273981,0.0001979502259632726,0.0
hybrid_vs_runtime,8.338983050847457,5.0002779695830254e-11,0.0045479272749930225,4.4632176573222714e-05,1.602817567447623e-05,0.0
