combo_id,placement,peak,center_D,width_D,acceptance_flip_fraction_vs_base_D21_guard,acceptance_flip_fraction_vs_base_D60_hotspot,acceptance_flip_fraction_vs_runtime_D21_guard,acceptance_flip_fraction_vs_runtime_D60_hotspot,improved_fraction_vs_base_D21_guard,improved_fraction_vs_base_D60_hotspot,improved_fraction_vs_runtime_D21_guard,improved_fraction_vs_runtime_D60_hotspot,mean_abs_improvement_vs_base_D21_guard,mean_abs_improvement_vs_base_D60_hotspot,mean_abs_improvement_vs_runtime_D21_guard,mean_abs_improvement_vs_runtime_D60_hotspot,p95_abs_delta_base_D21_guard,p95_abs_delta_base_D60_hotspot,p95_abs_delta_guard_D21_guard,p95_abs_delta_guard_D60_hotspot,p95_abs_delta_runtime_D21_guard,p95_abs_delta_runtime_D60_hotspot,both_better_than_base,both_better_than_runtime
22,mu_linear_blend,0.7,7.95,0.1,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.4044710315479329,8.085907734362603,0.29946581189256094,0.0,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
23,mu_linear_blend,0.7,7.95,0.2,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.43390407088715205,8.085907729926733,0.3288988512317801,-4.4358693734076435e-09,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
25,mu_linear_blend,0.7,8.0,0.01,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.4443444411478282,8.085907734362603,0.33933922149245627,0.0,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
26,mu_linear_blend,0.7,8.0,0.02,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.4443444411478282,8.085907734362603,0.33933922149245627,0.0,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
27,mu_linear_blend,0.7,8.0,0.05,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.4443444411478282,8.085907734362603,0.33933922149245627,0.0,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
28,mu_linear_blend,0.7,8.0,0.1,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.4443444411478282,8.085907734362603,0.33933922149245627,0.0,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
29,mu_linear_blend,0.7,8.0,0.2,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.44434444114782345,8.08590773344803,0.33933922149245155,-9.145718003028811e-10,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
34,mu_linear_blend,0.7,8.05,0.1,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.40447103154793146,8.085907734362603,0.29946581189255955,0.0,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
35,mu_linear_blend,0.7,8.05,0.2,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.4339040708871896,8.085907734185458,0.3288988512318176,-1.7714442822666785e-10,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
40,mu_linear_blend,0.85,7.95,0.1,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.4686422769534815,8.085907734362603,0.3636370572981096,0.0,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
41,mu_linear_blend,0.85,7.95,0.2,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.5043823961511058,8.085907728976188,0.39937717649573395,-5.386413482440167e-09,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
43,mu_linear_blend,0.85,8.0,0.01,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.5170599886104974,8.085907734362603,0.4120547689551255,0.0,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
44,mu_linear_blend,0.85,8.0,0.02,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.5170599886104974,8.085907734362603,0.4120547689551255,0.0,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
45,mu_linear_blend,0.85,8.0,0.05,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.5170599886104974,8.085907734362603,0.4120547689551255,0.0,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
46,mu_linear_blend,0.85,8.0,0.1,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.5170599886104974,8.085907734362603,0.4120547689551255,0.0,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
47,mu_linear_blend,0.85,8.0,0.2,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.5170599886104903,8.08590773325205,0.41205476895511833,-1.1105518367349717e-09,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
52,mu_linear_blend,0.85,8.05,0.1,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.46864227695348,8.085907734362603,0.363637057298108,0.0,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
53,mu_linear_blend,0.85,8.05,0.2,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.5043823961511504,8.0859077341475,0.39937717649577853,-2.1510334677475925e-10,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
58,mu_linear_blend,0.93,7.95,0.1,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.5028669411697743,8.085907734362603,0.3978617215144024,0.0,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
59,mu_linear_blend,0.93,7.95,0.2,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.5419708362918804,8.085907728469234,0.4369656166365085,-5.893370633830706e-09,2.102217055050133,31.28593012120719,0.8910235355256485,18.575780513798115,1.776970060893698,18.575780513798115,True,False
