term,coef
const,307.63717345963914
g_beta,-690.7559870387628
g_center,-8005.096061958523
g_half_width,-1696.477965070475
g_beta2,1178.4465972921005
g_center2,75302.78052226432
g_half_width2,7041.674960651786
g_beta:g_center,998.844459166605
g_beta:g_half_width,2259.5224659921723
g_center:g_half_width,16081.4595164775
