region,D,eta,mu_full,mu_base,mu_cf,chi2_full,chi2_base,chi2_cf,delta_base,delta_cf,abs_delta_base,abs_delta_cf,abs_improvement,cf_shift_vs_base,improved,worsened,obs_acceptance_flip_vs_base
D21_guard,4.0,0.2,2.408283091800887,1.7088539774154017,1.77961767442089,6.353967457572223,0.5961923710332094,0.9006848670795308,-0.6994291143854852,-0.6286654173799968,0.6994291143854852,0.6286654173799968,0.07076369700548835,0.07076369700548835,1.0,0.0,0.0
D21_guard,4.0,0.295,2.426537875766881,1.721749963029307,1.7928923410559148,6.586125064899877,0.6470189919335028,0.9647774478774833,-0.704787912737574,-0.6336455347109662,0.704787912737574,0.6336455347109662,0.07114237802660783,0.07114237802660783,1.0,0.0,0.0
D21_guard,4.0,0.39,2.444858483789307,1.7347286463553877,1.8062517027032186,6.823307819665558,0.7002704168181891,1.031502787182902,-0.7101298374339191,-0.6386067810860883,0.7101298374339191,0.6386067810860883,0.07152305634783085,0.07152305634783085,1.0,0.0,0.0
D21_guard,4.0,0.485,2.463244330280558,1.7477910238007683,1.8196967918826343,7.065553161710952,0.7559912264774167,1.1009087319785957,-0.7154533064797897,-0.6435475383979237,0.7154533064797897,0.6435475383979237,0.071905768081866,0.071905768081866,1.0,0.0,0.0
D21_guard,4.0,0.5800000000000001,2.481694821821148,1.7609381139352602,1.8332286639655355,7.312898047216783,0.8142270130696435,1.1730442205085185,-0.7207567078858879,-0.6484661578556126,0.7207567078858879,0.6484661578556126,0.07229055003027529,0.07229055003027529,1.0,0.0,0.0
D21_guard,4.0,0.675,2.500209357237757,1.7740414941581613,1.8467136304774028,7.565378935959492,0.8744189959504366,1.247206672839385,-0.7261678630795958,-0.6534957267603543,0.7261678630795958,0.6534957267603543,0.07267213631924152,0.07267213631924152,1.0,0.0,0.0
D21_guard,4.0,0.77,2.518787327683288,1.7871935483273715,1.8602478803486457,7.823031778654458,0.9369927741646292,1.3239256960338839,-0.7315937793559166,-0.6585394473346424,0.7315937793559166,0.6585394473346424,0.0730543320212742,0.0730543320212742,1.0,0.0,0.0
D21_guard,4.0,0.865,2.5374281167187394,1.800429385011821,1.8738679585438396,8.085892004389615,1.0021480773809075,1.4034427633406634,-0.7369987317069184,-0.6635601581748998,0.7369987317069184,0.6635601581748998,0.07343857353201866,0.07343857353201866,1.0,0.0,0.0
D21_guard,4.0,0.96,2.5561311003970992,1.813750031551268,1.8875749294565223,8.353994508158797,1.0699318038042196,1.4858081989658298,-0.7423810688458312,-0.668556170940577,0.7423810688458312,0.668556170940577,0.07382489790525426,0.07382489790525426,1.0,0.0,0.0
D21_guard,4.0,1.055,2.574895647349112,1.8269818958066275,1.9011881452825528,8.627373638499304,1.139459620916386,1.5699347310735328,-0.7479137515424843,-0.673707502066559,0.7479137515424843,0.673707502066559,0.07420624947592525,0.07420624947592525,1.0,0.0,0.0
D21_guard,4.0,1.15,2.5937211188708993,1.8401679114085652,1.9147523195882221,8.906063185239947,1.210923688961116,1.6560621907590953,-0.7535532074623341,-0.6789687992826772,0.7535532074623341,0.6789687992826772,0.07458440817965695,0.07458440817965695,1.0,0.0,0.0
D21_guard,4.0,1.245,2.6126068690134527,1.8534345227135596,1.928399039355888,9.190096367366303,1.2850179149279604,1.745034654951409,-0.7591723462998932,-0.6842078296575647,0.7591723462998932,0.6842078296575647,0.0749645166423285,0.0749645166423285,1.0,0.0,0.0
D21_guard,4.0,1.34,2.631552244673955,1.866782700501997,1.9421293106366615,9.479505821009107,1.361788059299607,1.8369011840711367,-0.764769544171958,-0.6894229340372935,0.764769544171958,0.6894229340372935,0.07534661013466448,0.07534661013466448,1.0,0.0,0.0
D21_guard,4.0,1.435,2.6505565856888667,1.880213436765445,1.9559441613345174,9.774323587561224,1.4412809053130011,1.9317119407621253,-0.7703431489234216,-0.6946124243543492,0.7703431489234216,0.6946124243543492,0.07573072456907237,0.07573072456907237,1.0,0.0,0.0
D21_guard,4.0,1.53,2.6696192249287676,1.893727745169134,1.969844641681762,10.07458110192953,1.5235442896862346,2.0295182228338495,-0.7758914797596337,-0.6997745832470055,0.7758914797596337,0.6997745832470055,0.07611689651262821,0.07611689651262821,1.0,0.0,0.0
