channel,layer_N,mu_ref,mu_min,mu_p10,mu_p50,mu_p90,mu_max,mu_mean,mu_std,f_mu_gt_0p8,f_mu_gt_1p0,f_mu_gt_1p2,obs_mu,obs_sigma,f_chi2_le_1,f_chi2_le_4,best_chi2,best_D,best_eta,obs_source
ee,1,1.0,2.6694886989686296e-07,2.669488699088719e-07,0.05350192974004151,6.065265195163697,28.242462934194364,2.5885200112234297,5.767572960690915,0.31666666666666665,0.3,0.2833333333333333,nan,nan,nan,nan,nan,nan,nan,
mumu,2,1.0,5.0711230915478884e-08,5.071123091675486e-08,0.03575137732963637,15.220636245194635,72.11693572468398,5.86323389512899,15.78282379831324,0.36666666666666664,0.36666666666666664,0.3333333333333333,1.4,0.4,0.08333333333333333,0.11825396825396825,0.009337247133357367,8.881355932203391,0.2,"ATLAS Collaboration, arXiv:2507.03595"
tautau,3,1.0,7.775356651501905e-06,7.775357132192626e-06,0.05268637995656038,15.06151937434096,72.36359859521679,6.01319803853498,14.648956170311958,0.36666666666666664,0.36666666666666664,0.35,nan,nan,nan,nan,nan,nan,nan,
