combo_id,beta,omega,m,phase,center_D,width_D,eta_couple,improved_fraction_vs_lorentz_D21_guard,improved_fraction_vs_lorentz_D60_hotspot,improved_fraction_vs_mainline_D21_guard,improved_fraction_vs_mainline_D60_hotspot,mean_abs_improvement_vs_lorentz_D21_guard,mean_abs_improvement_vs_lorentz_D60_hotspot,mean_abs_improvement_vs_mainline_D21_guard,mean_abs_improvement_vs_mainline_D60_hotspot,p95_abs_delta_cf_D21_guard,p95_abs_delta_cf_D60_hotspot,p95_abs_delta_lorentz_D21_guard,p95_abs_delta_lorentz_D60_hotspot,p95_abs_delta_mainline_D21_guard,p95_abs_delta_mainline_D60_hotspot,joint_objective_vs_mainline,joint_objective_vs_lorentz
953,0.4,0.6,1.0,2.356194490192345,5.9,0.2,0.5,0.0,1.0,0.3333333333333333,0.8,-4.573348253784122,7.814640917622361,-3.948209585974679,6.778688865902096,14.062514579366566,15.335936809315191,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,15.335936809315191,15.335936809315191
1384,0.4,0.8,1.0,2.356194490192345,5.9,0.2,0.0,0.0,1.0,0.3333333333333333,0.8,-5.436248955547823,8.109932711704511,-4.81111028773838,7.073980659984246,15.609837456166144,14.258908363439065,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,15.609837456166144,15.609837456166144
1492,0.4,0.8,2.0,2.356194490192345,5.9,0.2,0.0,0.0,1.0,0.3333333333333333,0.6,-5.146287149220422,7.565799311987352,-4.521148481410979,6.529847260267085,15.403136405662789,16.10733319454421,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,16.10733319454421,16.10733319454421
1061,0.4,0.6,2.0,2.356194490192345,5.9,0.2,0.5,0.0,1.0,0.4634146341463415,0.7047619047619048,-4.411356729755301,7.753571151117145,-3.786218061945858,6.717619099396878,14.060791877456943,16.274757870114346,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,16.274757870114346,16.274757870114346
952,0.4,0.6,1.0,2.356194490192345,5.9,0.2,0.0,0.0,1.0,0.3333333333333333,0.6,-4.1914613822610685,6.946175026143169,-3.5663227144516267,5.910222974422905,12.069944573967389,17.40489675254411,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,17.40489675254411,17.40489675254411
1358,0.4,0.8,1.0,1.5707963267948966,5.9,0.2,0.5,0.0,1.0,0.3333333333333333,0.7333333333333333,-5.292890098017094,8.022746904615989,-4.667751430207652,6.986794852895722,17.845993592020434,17.289573530565065,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,17.845993592020434,17.845993592020434
1359,0.4,0.8,1.0,1.5707963267948966,5.9,0.2,1.0,0.0,1.0,0.34959349593495936,0.7714285714285715,-5.199711452358317,8.401732223829253,-4.574572784548875,7.3657801721089875,17.858388171779882,16.693746201146503,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,17.858388171779882,17.858388171779882
1467,0.4,0.8,2.0,1.5707963267948966,5.9,0.2,1.0,0.0,1.0,0.3902439024390244,0.7238095238095238,-5.075153888145059,8.267558735826324,-4.450015220335616,7.231606684106059,17.88831925467156,16.903305525289028,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,17.88831925467156,17.88831925467156
1601,0.4,0.8,4.0,2.356194490192345,5.9,0.2,0.5,0.0,1.0,0.3333333333333333,0.6,-6.009896937401903,8.865126122980762,-5.38475826959246,7.829174071260496,18.046124210300206,16.280090731912647,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,18.046124210300206,18.046124210300206
1493,0.4,0.8,2.0,2.356194490192345,5.9,0.2,0.5,0.0,1.0,0.44715447154471544,0.7428571428571429,-5.707503899441349,9.126275936911421,-5.082365231631905,8.090323885191156,18.05051974573569,12.81434098053906,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,18.05051974573569,18.05051974573569
1385,0.4,0.8,1.0,2.356194490192345,5.9,0.2,0.5,0.0,1.0,0.3333333333333333,0.8,-5.9103038103423176,9.203693290881205,-5.2851651425328745,8.16774123916094,18.05261449645665,11.609151904498043,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,18.05261449645665,18.05261449645665
2032,0.4,1.0,4.0,2.356194490192345,5.9,0.2,0.0,0.0,1.0,0.3333333333333333,0.4,-6.244362581074362,7.551496724323343,-5.619223913264917,6.515544672603077,18.14344879312021,18.51053783821687,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,18.51053783821687,18.51053783821687
1924,0.4,1.0,2.0,2.356194490192345,5.9,0.2,0.0,0.0,1.0,0.3333333333333333,0.4,-6.2555091769399045,8.58977428913774,-5.630370509130462,7.553822237417474,18.648247248385513,13.457315011873987,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,18.648247248385513,18.648247248385513
1466,0.4,0.8,2.0,1.5707963267948966,5.9,0.2,0.5,0.0,1.0,0.3333333333333333,0.638095238095238,-5.022741301166916,7.536210972102951,-4.397602633357475,6.500258920382684,17.77330780708619,18.742033409396257,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,18.742033409396257,18.742033409396257
1060,0.4,0.6,2.0,2.356194490192345,5.9,0.2,0.0,0.0,1.0,0.3333333333333333,0.6,-3.950481695166251,6.517028472204313,-3.3253430273568094,5.4810764204840465,11.902620198032233,18.83594648645324,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,18.83594648645324,18.83594648645324
1816,0.4,1.0,1.0,2.356194490192345,5.9,0.2,0.0,0.0,1.0,0.3333333333333333,0.8,-6.583008340554901,9.238127220734967,-5.957869672745458,8.202175169014701,18.887632549031412,11.21900071364153,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,18.887632549031412,18.887632549031412
1169,0.4,0.6,4.0,2.356194490192345,5.9,0.2,0.5,0.0,1.0,0.3333333333333333,0.6,-4.658898110317258,7.37732610434174,-4.033759442507817,6.341374052621474,14.057177326498206,18.962465219069912,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,18.962465219069912,18.962465219069912
1789,0.4,1.0,1.0,1.5707963267948966,5.9,0.2,0.0,0.0,1.0,0.3333333333333333,0.6,-4.175481888378437,6.314812055209954,-3.550343220568995,5.2788600034896875,11.589248491053397,19.01992266693222,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,19.01992266693222,19.01992266693222
1575,0.4,0.8,4.0,1.5707963267948966,5.9,0.2,1.0,0.0,1.0,0.3333333333333333,0.6285714285714286,-5.2974345978304616,7.81697663403353,-4.672295930021019,6.781024582313265,17.879904279799803,19.163869498993176,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,19.163869498993176,19.163869498993176
1826,0.4,1.0,1.0,2.356194490192345,6.1,0.2,0.5,0.0,1.0,0.3333333333333333,0.6761904761904762,-4.099180934309856,6.287999680170618,-3.4740422665004127,5.252047628450352,12.304294952732114,19.184207736052304,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,19.184207736052304,19.184207736052304
927,0.4,0.6,1.0,1.5707963267948966,5.9,0.2,1.0,0.0,1.0,0.35772357723577236,0.7523809523809524,-4.001558937127229,7.067763682600857,-3.3764202693177863,6.031811630880592,13.90305029082528,19.311168043810568,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,19.311168043810568,19.311168043810568
1602,0.4,0.8,4.0,2.356194490192345,5.9,0.2,1.0,0.0,1.0,0.3333333333333333,0.6285714285714286,-4.80624475984832,7.535327135490476,-4.181106092038878,6.499375083770211,17.87460539748406,19.379493594241804,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,19.379493594241804,19.379493594241804
521,0.4,0.4,1.0,2.356194490192345,5.9,0.2,0.5,0.0,1.0,0.3333333333333333,0.7238095238095238,-3.1127545163249253,6.1068298685913955,-2.487615848515482,5.070877816871129,9.69177079417141,20.10453332170105,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,20.10453332170105,20.10453332170105
926,0.4,0.6,1.0,1.5707963267948966,5.9,0.2,0.5,0.0,1.0,0.3333333333333333,0.6952380952380952,-4.079230292570574,6.880779446772414,-3.4540916247611317,5.84482739505215,13.892851809072726,20.228492254601434,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,20.228492254601434,20.228492254601434
1814,0.4,1.0,1.0,2.356194490192345,5.9,0.1,0.5,0.0,0.8380952380952381,0.3333333333333333,0.41904761904761906,-6.602647889381885,7.479618967569364,-5.977509221572442,6.443666915849097,20.057304836261654,20.242451760967473,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,20.242451760967473,20.242451760967473
1600,0.4,0.8,4.0,2.356194490192345,5.9,0.2,0.0,0.0,1.0,0.3333333333333333,0.6,-5.138121756643944,6.71438484485176,-4.512983088834501,5.678432793131494,14.968044386317374,20.24678349458243,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,20.24678349458243,20.24678349458243
629,0.4,0.4,2.0,2.356194490192345,5.9,0.2,0.5,0.0,1.0,0.4959349593495935,0.6285714285714286,-2.9975601821188707,5.946020493648488,-2.3724215143094285,4.910068441928224,9.690510921432244,20.416678496394486,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,20.416678496394486,20.416678496394486
