case,D,eta,abs_delta_parent,abs_delta_cf,abs_improvement_vs_parent
D60E41_monitor,7.254237288135593,3.905,1.202815247001582,1.205126941140465,-0.0023116941388829915
D60E41_monitor,7.254237288135593,4.0,1.2028152632507085,1.2051269574997372,-0.002311694249028662
D80E41_monitor,7.240506329113924,0.2,1.6773601897821497,1.715249901375318,-0.03788971159316823
D80E41_monitor,7.240506329113924,0.295,1.6773602023472751,1.7152499157894336,-0.037889713442158524
D80E41_monitor,7.240506329113924,0.39,1.6773602150195503,1.7152499303127118,-0.03788971529316143
D80E41_monitor,7.240506329113924,0.485,1.6773602276520805,1.7152499447951817,-0.03788971714310119
D80E41_monitor,7.240506329113924,0.5800000000000001,1.677360240333265,1.7152499593264356,-0.03788971899317062
D80E41_monitor,7.240506329113924,0.675,1.6773602529976794,1.7152499738407037,-0.03788972084302422
D80E41_monitor,7.240506329113924,0.77,1.6773602656822395,1.7152499883758563,-0.03788972269361679
D80E41_monitor,7.240506329113924,0.865,1.6773602782793229,1.7152500028224353,-0.03788972454311246
D80E41_monitor,7.240506329113924,0.96,1.6773602909384007,1.7152500173309626,-0.03788972639256194
D80E41_monitor,7.240506329113924,1.055,1.6773603035850906,1.7152500318278774,-0.0378897282427868
D80E41_monitor,7.240506329113924,1.15,1.677360316191046,1.7152500462835452,-0.037889730092499185
D80E41_monitor,7.240506329113924,1.245,1.6773603288566261,1.7152500607992658,-0.03788973194263967
D80E41_monitor,7.240506329113924,1.34,1.6773603414865539,1.715250075278922,-0.03788973379236804
D80E41_monitor,7.240506329113924,1.435,1.6773603541326252,1.7152500897747784,-0.037889735642153255
D80E41_monitor,7.240506329113924,1.53,1.6773603667618127,1.715250104253847,-0.03788973749203439
D80E41_monitor,7.240506329113924,1.625,1.6773603793770238,1.7152501187190192,-0.037889739341995465
D80E41_monitor,7.240506329113924,1.72,1.6773603920233238,1.7152501332151933,-0.0378897411918695
D80E41_monitor,7.240506329113924,1.815,1.67736040465596,1.7152501476974948,-0.03788974304153481
D80E41_monitor,7.240506329113924,1.91,1.6773604172890884,1.7152501621805372,-0.03788974489144881
D80E41_monitor,7.240506329113924,2.005,1.677360429920589,1.7152501766618187,-0.03788974674122958
D80E41_monitor,7.240506329113924,2.1,1.6773604425622892,1.715250191153399,-0.03788974859110983
D80E41_monitor,7.240506329113924,2.1950000000000003,1.677360455200839,1.71525020564194,-0.0378897504411011
D80E41_monitor,7.240506329113924,2.29,1.67736046782015,1.7152502201110105,-0.03788975229086056
D80E41_monitor,7.240506329113924,2.385,1.677360480461132,1.715250234601704,-0.03788975414057205
D80E41_monitor,7.240506329113924,2.4800000000000004,1.6773604930986878,1.7152502490892876,-0.03788975599059974
D80E41_monitor,7.240506329113924,2.575,1.677360505718906,1.7152502635591187,-0.037889757840212646
D80E41_monitor,7.240506329113924,2.6700000000000004,1.6773605183576588,1.7152502780476415,-0.03788975968998276
D80E41_monitor,7.240506329113924,2.765,1.6773605310029263,1.715250292542886,-0.03788976153995982
D80E41_monitor,7.240506329113924,2.8600000000000003,1.6773605436229277,1.7152503070127492,-0.03788976338982142
D80E41_monitor,7.240506329113924,2.955,1.6773605562594875,1.7152503214991173,-0.037889765239629725
D80E41_monitor,7.240506329113924,3.0500000000000003,1.6773605689104865,1.7152503360000435,-0.03788976708955705
D80E41_monitor,7.240506329113924,3.145,1.6773605815385721,1.7152503504777927,-0.03788976893922058
D80E41_monitor,7.240506329113924,3.24,1.6773605941726428,1.715250364961709,-0.03788977078906619
D80E41_monitor,7.240506329113924,3.3350000000000004,1.6773606068066265,1.7152503794455143,-0.03788977263888782
D80E41_monitor,7.240506329113924,3.43,1.6773606194459658,1.7152503939348396,-0.03788977448887376
D80E41_monitor,7.240506329113924,3.5250000000000004,1.6773606320853265,1.715250408424012,-0.03788977633868562
D80E41_monitor,7.240506329113924,3.62,1.6773606447170208,1.715250422905553,-0.03788977818853212
D80E41_monitor,7.240506329113924,3.715,1.6773606573490527,1.7152504373872732,-0.03788978003822052
D80E41_monitor,7.240506329113924,3.81,1.677360669984994,1.7152504518731853,-0.037889781888191365
D80E41_monitor,7.240506329113924,3.905,1.6773606826215461,1.7152504663595565,-0.03788978373801033
D80E41_monitor,7.240506329113924,4.0,1.6773606952626388,1.7152504808504796,-0.03788978558784084
D100E41_monitor,7.232323232323233,0.2,0.934938942024981,1.0419246610737187,-0.10698571904873777
D100E41_monitor,7.232323232323233,0.295,0.9349389273728299,1.0419246514984177,-0.10698572412558782
D100E41_monitor,7.232323232323233,0.39,0.934938912855249,1.041924642067773,-0.10698572921252403
D100E41_monitor,7.232323232323233,0.485,0.9349388983334297,1.0419246326281568,-0.10698573429472713
D100E41_monitor,7.232323232323233,0.5800000000000001,0.9349388837526615,1.0419246231335797,-0.10698573938091815
D100E41_monitor,7.232323232323233,0.675,0.9349388691741249,1.0419246136400733,-0.10698574446594833
D100E41_monitor,7.232323232323233,0.77,0.9349388545980042,1.0419246041462267,-0.10698574954822249
D100E41_monitor,7.232323232323233,0.865,0.9349388400007932,1.0419245946321842,-0.10698575463139104
D100E41_monitor,7.232323232323233,0.96,0.9349388254354172,1.0419245851508632,-0.106985759715446
D100E41_monitor,7.232323232323233,1.055,0.9349388108740526,1.041924575673351,-0.10698576479929844
D100E41_monitor,7.232323232323233,1.15,0.9349387962766005,1.0419245661597833,-0.10698576988318287
D100E41_monitor,7.232323232323233,1.245,0.9349387816880319,1.041924556654957,-0.10698577496692518
D100E41_monitor,7.232323232323233,1.34,0.9349387670819094,1.0419245471316159,-0.10698578004970649
D100E41_monitor,7.232323232323233,1.435,0.9349387525045412,1.0419245376366737,-0.10698578513213253
D100E41_monitor,7.232323232323233,1.53,0.9349387379258136,1.0419245281413891,-0.10698579021557553
D100E41_monitor,7.232323232323233,1.625,0.9349387233275497,1.0419245186277166,-0.10698579530016694
D100E41_monitor,7.232323232323233,1.72,0.9349387087391157,1.0419245091218898,-0.10698580038277417
D100E41_monitor,7.232323232323233,1.815,0.9349386941663149,1.0419244996322328,-0.10698580546591785
D100E41_monitor,7.232323232323233,1.91,0.9349386795761419,1.041924490126208,-0.10698581055006606
D100E41_monitor,7.232323232323233,2.005,0.9349386650045841,1.0419244806384067,-0.10698581563382259
D100E41_monitor,7.232323232323233,2.1,0.9349386504174135,1.0419244711343096,-0.10698582071689611
D100E41_monitor,7.232323232323233,2.1950000000000003,0.9349386358139742,1.041924461614045,-0.10698582580007088
D100E41_monitor,7.232323232323233,2.29,0.9349386212302724,1.0419244521140127,-0.10698583088374036
D100E41_monitor,7.232323232323233,2.385,0.9349386066432697,1.0419244426104965,-0.10698583596722688
D100E41_monitor,7.232323232323233,2.4800000000000004,0.9349385920592024,1.0419244331098643,-0.10698584105066189
D100E41_monitor,7.232323232323233,2.575,0.9349385774642873,1.0419244235978726,-0.1069858461335853
D100E41_monitor,7.232323232323233,2.6700000000000004,0.9349385628930729,1.0419244141103694,-0.10698585121729653
D100E41_monitor,7.232323232323233,2.765,0.9349385482944284,1.0419244045950125,-0.1069858563005841
D100E41_monitor,7.232323232323233,2.8600000000000003,0.9349385337116076,1.0419243950958852,-0.10698586138427757
D100E41_monitor,7.232323232323233,2.955,0.9349385191192199,1.04192438558673,-0.10698586646751007
D100E41_monitor,7.232323232323233,3.0500000000000003,0.9349385045353173,1.0419243760863148,-0.10698587155099748
D100E41_monitor,7.232323232323233,3.145,0.9349384899538227,1.0419243665882818,-0.10698587663445913
D100E41_monitor,7.232323232323233,3.24,0.9349384753689716,1.0419243570867467,-0.10698588171777512
D100E41_monitor,7.232323232323233,3.3350000000000004,0.9349384607864053,1.041924347587483,-0.10698588680107779
D100E41_monitor,7.232323232323233,3.43,0.9349384461923065,1.041924338076718,-0.10698589188441154
D100E41_monitor,7.232323232323233,3.5250000000000004,0.9349384316102154,1.0419243285782716,-0.10698589696805616
D100E41_monitor,7.232323232323233,3.62,0.9349384170254047,1.0419243190769776,-0.10698590205157288
D100E41_monitor,7.232323232323233,3.715,0.934938402440534,1.0419243095751156,-0.10698590713458156
D100E41_monitor,7.232323232323233,3.81,0.93493838785438,1.0419243000723273,-0.10698591221794729
D100E41_monitor,7.232323232323233,3.905,0.9349383732669585,1.0419242905685993,-0.10698591730164075
D100E41_monitor,7.232323232323233,4.0,0.9349383586911757,1.0419242810759903,-0.10698592238481464
