beta_peak,sigma_D,beta_eff,D,eta,base_mu,cur_mu,mu_cf,delta_mu_cf,delta_log_mu_cf,acceptance_mismatch_cf
0.0,0.2,0.0,4.0,0.2,2.408283091800889,1.7088539774157543,1.7088539774157565,-0.6994291143851326,-0.34309112638480616,1.0
0.25,0.2,3.166041387273589e-15,4.0,0.2,2.408283091800889,1.7088539774157543,1.7088539774157565,-0.6994291143851326,-0.34309112638480616,1.0
0.5,0.2,6.332082774547178e-15,4.0,0.2,2.408283091800889,1.7088539774157543,1.7088539774157627,-0.6994291143851263,-0.3430911263848026,1.0
0.75,0.2,9.498124161820767e-15,4.0,0.2,2.408283091800889,1.7088539774157543,1.7088539774157627,-0.6994291143851263,-0.3430911263848026,1.0
1.0,0.2,1.2664165549094355e-14,4.0,0.2,2.408283091800889,1.7088539774157543,1.7088539774157627,-0.6994291143851263,-0.3430911263848026,1.0
0.0,0.3,0.0,4.0,0.2,2.408283091800889,1.7088539774157543,1.7088539774157565,-0.6994291143851326,-0.34309112638480616,1.0
0.25,0.3,1.6645903674643375e-07,4.0,0.2,2.408283091800889,1.7088539774157543,1.7088540379714463,-0.6994290538294428,-0.34309109094837364,1.0
0.5,0.3,3.329180734928675e-07,4.0,0.2,2.408283091800889,1.7088539774157543,1.7088540985271385,-0.6994289932737505,-0.3430910555119409,1.0
0.75,0.3,4.993771102393012e-07,4.0,0.2,2.408283091800889,1.7088539774157543,1.7088541590828321,-0.699428932718057,-0.3430910200755087,1.0
1.0,0.3,6.65836146985735e-07,4.0,0.2,2.408283091800889,1.7088539774157543,1.7088542196385217,-0.6994288721623674,-0.3430909846390799,1.0
0.0,0.4,0.0,4.0,0.2,2.408283091800889,1.7088539774157543,1.7088539774157565,-0.6994291143851326,-0.34309112638480616,1.0
0.25,0.4,8.386565697562826e-05,4.0,0.2,2.408283091800889,1.7088539774157543,1.708884486950862,-0.6993986048500271,-0.34307327274537514,1.0
0.5,0.4,0.00016773131395125652,4.0,0.2,2.408283091800889,1.7088539774157543,1.7089149970306776,-0.6993680947702114,-0.3430554191059446,1.0
0.75,0.4,0.00025159697092688477,4.0,0.2,2.408283091800889,1.7088539774157543,1.708945507655209,-0.6993375841456801,-0.34303756546651704,1.0
1.0,0.4,0.00033546262790251305,4.0,0.2,2.408283091800889,1.7088539774157543,1.7089760188244767,-0.6993070729764124,-0.343019711827086,1.0
0.0,0.6,0.0,4.0,0.2,2.408283091800889,1.7088539774157543,1.7088539774157565,-0.6994291143851326,-0.34309112638480616,1.0
0.25,0.6,0.007141375196137604,4.0,0.2,2.408283091800889,1.7088539774157543,1.711453894977654,-0.696829196823235,-0.3415708433227814,1.0
0.5,0.6,0.014282750392275207,4.0,0.2,2.408283091800889,1.7088539774157543,1.714057768156238,-0.6942253236446512,-0.340050560260764,1.0
0.75,0.6,0.02142412558841281,4.0,0.2,2.408283091800889,1.7088539774157543,1.7166656029697573,-0.6916174888311317,-0.3385302771987428,1.0
1.0,0.6,0.028565500784550415,4.0,0.2,2.408283091800889,1.7088539774157543,1.719277405445593,-0.689005686355296,-0.33700999413672156,1.0
0.0,0.8,0.0,4.0,0.2,2.408283091800889,1.7088539774157543,1.7088539774157565,-0.6994291143851326,-0.34309112638480616,1.0
0.25,0.8,0.0338338208091532,4.0,0.2,2.408283091800889,1.7088539774157543,1.7212067254719383,-0.6870763663289507,-0.33588845417015634,1.0
