beta_peak,sigma_D,beta_eff,D,eta,base_mu,cur_mu,mu_cf,delta_mu_cf,delta_log_mu_cf,acceptance_mismatch_cf
0.5,0.8,0.0676676416183064,4.0,0.2,2.408283091800889,1.7088539774157543,1.7336487675149417,-0.6746343242859474,-0.3286857819555067,1.0
0.75,0.8,0.10150146242745961,4.0,0.2,2.408283091800889,1.7088539774157543,1.7461807490218801,-0.6621023427790089,-0.3214831097408534,1.0
1.0,0.8,0.1353352832366128,4.0,0.2,2.408283091800889,1.7088539774157543,1.758803320135792,-0.6494797716650971,-0.31428043752620394,1.0
0.0,0.2,0.0,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7637168141362347,-0.7218705027105938,-0.34308556793779943,1.0
0.25,0.2,3.166041387273589e-15,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7637168141362347,-0.7218705027105938,-0.34308556793779943,1.0
0.5,0.2,6.332082774547178e-15,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7637168141362407,-0.7218705027105878,-0.343085567937796,1.0
0.75,0.2,9.498124161820767e-15,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7637168141362407,-0.7218705027105878,-0.343085567937796,1.0
1.0,0.2,1.2664165549094355e-14,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7637168141362407,-0.7218705027105878,-0.343085567937796,1.0
0.0,0.3,0.0,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7637168141362347,-0.7218705027105938,-0.34308556793779943,1.0
0.25,0.3,1.6645903674643375e-07,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7637168766360674,-0.7218704402107612,-0.3430855325013672,1.0
0.5,0.3,3.329180734928675e-07,4.0,0.6,2.4855873168468285,1.7637168141362323,1.763716939135903,-0.7218703777109254,-0.3430854970649343,1.0
0.75,0.3,4.993771102393012e-07,4.0,0.6,2.4855873168468285,1.7637168141362323,1.76371700163574,-0.7218703152110886,-0.34308546162850206,1.0
1.0,0.3,6.65836146985735e-07,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7637170641355733,-0.7218702527112553,-0.3430854261920731,1.0
0.0,0.4,0.0,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7637168141362347,-0.7218705027105938,-0.34308556793779943,1.0
0.25,0.4,8.386565697562826e-05,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7637483031813888,-0.7218390136654398,-0.34306771429836846,1.0
0.5,0.4,0.00016773131395125652,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7637797927887418,-0.7218075240580868,-0.3430498606589376,1.0
0.75,0.4,0.00025159697092688477,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7638112829582973,-0.7217760338885313,-0.34303200701951053,1.0
1.0,0.4,0.00033546262790251305,4.0,0.6,2.4855873168468285,1.7637168141362323,1.763842773690079,-0.7217445431567495,-0.34301415338007946,1.0
0.0,0.6,0.0,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7637168141362347,-0.7218705027105938,-0.34308556793779943,1.0
0.25,0.6,0.007141375196137604,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7664002021728307,-0.7191871146739979,-0.3415652848757747,1.0
0.5,0.6,0.014282750392275207,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7690876728213711,-0.7164996440254574,-0.3400450018137573,1.0
0.75,0.6,0.02142412558841281,4.0,0.6,2.4855873168468285,1.7637168141362323,1.771779232293322,-0.7138080845535066,-0.338524718751736,1.0
1.0,0.6,0.028565500784550415,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7744748868095725,-0.711112430037256,-0.337004435689715,1.0
0.0,0.8,0.0,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7637168141362347,-0.7218705027105938,-0.34308556793779943,1.0
0.25,0.8,0.0338338208091532,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7764661477454315,-0.709121169101397,-0.3358828957231498,1.0
0.5,0.8,0.0676676416183064,4.0,0.6,2.4855873168468285,1.7637168141362323,1.7893076421290655,-0.6962796747177631,-0.32868022350850007,1.0
0.75,0.8,0.10150146242745961,4.0,0.6,2.4855873168468285,1.7637168141362323,1.8022419634873224,-0.6833453533595062,-0.3214775512938471,1.0
1.0,0.8,0.1353352832366128,4.0,0.6,2.4855873168468285,1.7637168141362323,1.8152697828361142,-0.6703175340107144,-0.3142748790791975,1.0
0.0,0.2,0.0,4.0,1.0,2.564024495423726,1.819384350023561,1.8193843500235636,-0.7446401454001623,-0.34307991796524095,1.0
0.25,0.2,3.166041387273589e-15,4.0,1.0,2.564024495423726,1.819384350023561,1.8193843500235636,-0.7446401454001623,-0.34307991796524095,1.0
0.5,0.2,6.332082774547178e-15,4.0,1.0,2.564024495423726,1.819384350023561,1.8193843500235705,-0.7446401454001554,-0.3430799179652372,1.0
0.75,0.2,9.498124161820767e-15,4.0,1.0,2.564024495423726,1.819384350023561,1.8193843500235705,-0.7446401454001554,-0.3430799179652372,1.0
1.0,0.2,1.2664165549094355e-14,4.0,1.0,2.564024495423726,1.819384350023561,1.8193843500235705,-0.7446401454001554,-0.3430799179652372,1.0
0.0,0.3,0.0,4.0,1.0,2.564024495423726,1.819384350023561,1.8193843500235636,-0.7446401454001623,-0.34307991796524095,1.0
0.25,0.3,1.6645903674643375e-07,4.0,1.0,2.564024495423726,1.819384350023561,1.8193844144960554,-0.7446400809276705,-0.34307988252880844,1.0
0.5,0.3,3.329180734928675e-07,4.0,1.0,2.564024495423726,1.819384350023561,1.8193844789685498,-0.7446400164551761,-0.3430798470923758,1.0
0.75,0.3,4.993771102393012e-07,4.0,1.0,2.564024495423726,1.819384350023561,1.8193845434410458,-0.7446399519826801,-0.34307981165594353,1.0
1.0,0.3,6.65836146985735e-07,4.0,1.0,2.564024495423726,1.819384350023561,1.8193846079135383,-0.7446398875101876,-0.34307977621951435,1.0
0.0,0.4,0.0,4.0,1.0,2.564024495423726,1.819384350023561,1.8193843500235636,-0.7446401454001623,-0.34307991796524095,1.0
0.25,0.4,8.386565697562826e-05,4.0,1.0,2.564024495423726,1.819384350023561,1.8194168329457037,-0.7446076624780222,-0.34306206432581,1.0
0.5,0.4,0.00016773131395125652,4.0,1.0,2.564024495423726,1.819384350023561,1.8194493164477867,-0.7445751789759392,-0.3430442106863792,1.0
0.75,0.4,0.00025159697092688477,4.0,1.0,2.564024495423726,1.819384350023561,1.8194818005298175,-0.7445426948939085,-0.34302635704695195,1.0
1.0,0.4,0.00033546262790251305,4.0,1.0,2.564024495423726,1.819384350023561,1.8195142851918193,-0.7445102102319066,-0.3430085034075208,1.0
0.0,0.6,0.0,4.0,1.0,2.564024495423726,1.819384350023561,1.8193843500235636,-0.7446401454001623,-0.34307991796524095,1.0
0.25,0.6,0.007141375196137604,4.0,1.0,2.564024495423726,1.819384350023561,1.8221524328357774,-0.7418720625879485,-0.34155963490321617,1.0
0.5,0.6,0.014282750392275207,4.0,1.0,2.564024495423726,1.819384350023561,1.8249247271178939,-0.739099768305832,-0.34003935184119866,1.0
0.75,0.6,0.02142412558841281,4.0,1.0,2.564024495423726,1.819384350023561,1.8277012392774288,-0.7363232561462971,-0.33851906877917726,1.0
1.0,0.6,0.028565500784550415,4.0,1.0,2.564024495423726,1.819384350023561,1.8304819757316189,-0.733542519692107,-0.3369987857171563,1.0
0.0,0.8,0.0,4.0,1.0,2.564024495423726,1.819384350023561,1.8193843500235636,-0.7446401454001623,-0.34307991796524095,1.0
0.25,0.8,0.0338338208091532,4.0,1.0,2.564024495423726,1.819384350023561,1.8325360860935982,-0.7314884093301277,-0.33587724575059125,1.0
0.5,0.8,0.0676676416183064,4.0,1.0,2.564024495423726,1.819384350023561,1.845782891774215,-0.718241603649511,-0.3286745735359415,1.0
0.75,0.8,0.10150146242745961,4.0,1.0,2.564024495423726,1.819384350023561,1.8591254542926277,-0.7048990411310982,-0.3214719013212885,1.0
1.0,0.8,0.1353352832366128,4.0,1.0,2.564024495423726,1.819384350023561,1.8725644658437735,-0.6914600295799525,-0.3142692291066386,1.0
0.0,0.2,0.0,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9618535746920411,-0.8029100393697024,-0.34306541139562835,1.0
0.25,0.2,3.166041387273589e-15,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9618535746920411,-0.8029100393697024,-0.34306541139562835,1.0
0.5,0.2,6.332082774547178e-15,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9618535746920482,-0.8029100393696953,-0.3430654113956246,1.0
0.75,0.2,9.498124161820767e-15,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9618535746920482,-0.8029100393696953,-0.3430654113956246,1.0
1.0,0.2,1.2664165549094355e-14,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9618535746920482,-0.8029100393696953,-0.3430654113956246,1.0
0.0,0.3,0.0,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9618535746920411,-0.8029100393697024,-0.34306541139562835,1.0
0.25,0.3,1.6645903674643375e-07,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9618536442131342,-0.8029099698486093,-0.3430653759591956,1.0
0.5,0.3,3.329180734928675e-07,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9618537137342298,-0.8029099003275137,-0.3430653405227631,1.0
0.75,0.3,4.993771102393012e-07,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9618537832553273,-0.8029098308064162,-0.3430653050863309,1.0
1.0,0.3,6.65836146985735e-07,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9618538527764207,-0.8029097612853229,-0.34306526964990197,1.0
0.0,0.4,0.0,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9618535746920411,-0.8029100393697024,-0.34306541139562835,1.0
0.25,0.4,8.386565697562826e-05,4.0,2.0,2.7647636140617435,1.9618535746920385,1.961888601231055,-0.8028750128306885,-0.34304755775619716,1.0
0.5,0.4,0.00016773131395125652,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9619236283954247,-0.8028399856663189,-0.3430297041167665,1.0
0.75,0.4,0.00025159697092688477,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9619586561851556,-0.8028049578765879,-0.34301185047733923,1.0
1.0,0.4,0.00033546262790251305,4.0,2.0,2.7647636140617435,1.9618535746920385,1.961993684600273,-0.8027699294614705,-0.3429939968379083,1.0
0.0,0.6,0.0,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9618535746920411,-0.8029100393697024,-0.34306541139562835,1.0
0.25,0.6,0.007141375196137604,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9648384157785959,-0.7999251982831477,-0.3415451283336036,1.0
0.5,0.6,0.014282750392275207,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9678277981196048,-0.7969358159421387,-0.340024845271586,1.0
0.75,0.6,0.02142412558841281,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9708217286243324,-0.7939418854374112,-0.33850456220956465,1.0
1.0,0.6,0.028565500784550415,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9738202142125247,-0.7909433998492188,-0.33698427914754386,1.0
0.0,0.8,0.0,4.0,2.0,2.7647636140617435,1.9618535746920385,1.9618535746920411,-0.8029100393697024,-0.34306541139562835,1.0
0.25,0.8,0.0338338208091532,4.0,2.0,2.7647636140617435,1.9618535746920385,1.976035174320547,-0.7887284397411964,-0.3358627391809785,1.0
0.5,0.8,0.0676676416183064,4.0,2.0,2.7647636140617435,1.9618535746920385,1.990319288107407,-0.7744443259543365,-0.32866006696632893,1.0
0.75,0.8,0.10150146242745961,4.0,2.0,2.7647636140617435,1.9618535746920385,2.004706657094043,-0.7600569569677007,-0.321457394751676,1.0
1.0,0.8,0.1353352832366128,4.0,2.0,2.7647636140617435,1.9618535746920385,2.019198027678604,-0.7455655863831394,-0.31425472253702613,1.0
0.0,0.2,0.0,4.0,4.0,3.1833742708158104,2.258965115084494,2.2589651150844965,-0.9244091557313139,-0.34303493095369786,0.0
0.25,0.2,3.166041387273589e-15,4.0,4.0,3.1833742708158104,2.258965115084494,2.2589651150844965,-0.9244091557313139,-0.34303493095369786,0.0
0.5,0.2,6.332082774547178e-15,4.0,4.0,3.1833742708158104,2.258965115084494,2.2589651150845045,-0.9244091557313059,-0.34303493095369425,0.0
0.75,0.2,9.498124161820767e-15,4.0,4.0,3.1833742708158104,2.258965115084494,2.2589651150845045,-0.9244091557313059,-0.34303493095369425,0.0
1.0,0.2,1.2664165549094355e-14,4.0,4.0,3.1833742708158104,2.258965115084494,2.2589651150845045,-0.9244091557313059,-0.34303493095369425,0.0
0.0,0.3,0.0,4.0,4.0,3.1833742708158104,2.258965115084494,2.2589651150844965,-0.9244091557313139,-0.34303493095369786,0.0
0.25,0.3,1.6645903674643375e-07,4.0,4.0,3.1833742708158104,2.258965115084494,2.258965195134163,-0.9244090756816474,-0.34303489551726524,0.0
0.5,0.3,3.329180734928675e-07,4.0,4.0,3.1833742708158104,2.258965115084494,2.258965275183832,-0.9244089956319783,-0.3430348600808326,0.0
0.75,0.3,4.993771102393012e-07,4.0,4.0,3.1833742708158104,2.258965115084494,2.258965355233504,-0.9244089155823065,-0.3430348246444002,0.0
1.0,0.3,6.65836146985735e-07,4.0,4.0,3.1833742708158104,2.258965115084494,2.25896543528317,-0.9244088355326405,-0.3430347892079717,0.0
0.0,0.4,0.0,4.0,4.0,3.1833742708158104,2.258965115084494,2.2589651150844965,-0.9244091557313139,-0.34303493095369786,0.0
0.25,0.4,8.386565697562826e-05,4.0,4.0,3.1833742708158104,2.258965115084494,2.2590054461931763,-0.924368824622634,-0.3430170773142666,0.0
0.5,0.4,0.00016773131395125652,4.0,4.0,3.1833742708158104,2.258965115084494,2.259045778021919,-0.9243284927938915,-0.3429992236748357,0.0
0.75,0.4,0.00025159697092688477,4.0,4.0,3.1833742708158104,2.258965115084494,2.2590861105707294,-0.924288160245081,-0.3429813700354086,0.0
1.0,0.4,0.00033546262790251305,4.0,4.0,3.1833742708158104,2.258965115084494,2.259126443839638,-0.9242478269761722,-0.3429635163959775,0.0
0.0,0.6,0.0,4.0,4.0,3.1833742708158104,2.258965115084494,2.2589651150844965,-0.9244091557313139,-0.34303493095369786,0.0
0.25,0.6,0.007141375196137604,4.0,4.0,3.1833742708158104,2.258965115084494,2.2624019933386017,-0.9209722774772087,-0.3415146478916733,0.0
0.5,0.6,0.014282750392275207,4.0,4.0,3.1833742708158104,2.258965115084494,2.265844100594262,-0.9175301702215486,-0.3399943648296554,0.0
0.75,0.6,0.02142412558841281,4.0,4.0,3.1833742708158104,2.258965115084494,2.269291444807108,-0.9140828260087024,-0.3384740817676342,0.0
1.0,0.6,0.028565500784550415,4.0,4.0,3.1833742708158104,2.258965115084494,2.272744033944844,-0.9106302368709662,-0.3369537987056133,0.0
0.0,0.8,0.0,4.0,4.0,3.1833742708158104,2.258965115084494,2.2589651150844965,-0.9244091557313139,-0.34303493095369786,0.0
0.25,0.8,0.0338338208091532,4.0,4.0,3.1833742708158104,2.258965115084494,2.2752944371349044,-0.908079833680906,-0.33583225873904815,0.0
0.5,0.8,0.0676676416183064,4.0,4.0,3.1833742708158104,2.258965115084494,2.2917417985285695,-0.8916324722872409,-0.3286295865243985,0.0
0.75,0.8,0.10150146242745961,4.0,4.0,3.1833742708158104,2.258965115084494,2.3083080525334134,-0.875066218282397,-0.3214269143097455,0.0
1.0,0.8,0.1353352832366128,4.0,4.0,3.1833742708158104,2.258965115084494,2.3249940585853306,-0.8583802122304798,-0.31422424209509536,0.0
0.0,0.2,0.0,4.8,0.2,13.739247292265361,13.624865549132435,13.624865549132455,-0.11438174313290617,-0.008360030524247374,0.0
0.25,0.2,8.386565697562826e-05,4.8,0.2,13.739247292265361,13.624865549132435,13.625108804740753,-0.11413848752460787,-0.00834217688481668,0.0
0.5,0.2,0.00016773131395125652,4.8,0.2,13.739247292265361,13.624865549132435,13.625352064692093,-0.11389522757326809,-0.008324323245385696,0.0
0.75,0.2,0.00025159697092688477,4.8,0.2,13.739247292265361,13.624865549132435,13.625595328986496,-0.11365196327886551,-0.008306469605958437,0.0
1.0,0.2,0.00033546262790251305,4.8,0.2,13.739247292265361,13.624865549132435,13.625838597624139,-0.1134086946412225,-0.008288615966527605,0.0
0.0,0.3,0.0,4.8,0.2,13.739247292265361,13.624865549132435,13.624865549132455,-0.11438174313290617,-0.008360030524247374,0.0
0.25,0.3,0.007141375196137604,4.8,0.2,13.739247292265361,13.624865549132435,13.64559495473869,-0.09365233752667024,-0.0068397474622227195,0.0
0.5,0.3,0.014282750392275207,4.8,0.2,13.739247292265361,13.624865549132435,13.666355898876732,-0.0728913933886286,-0.005319464400205116,0.0
0.75,0.3,0.02142412558841281,4.8,0.2,13.739247292265361,13.624865549132435,13.687148429530687,-0.0520988627346739,-0.0037991813381838767,0.0
1.0,0.3,0.028565500784550415,4.8,0.2,13.739247292265361,13.624865549132435,13.70797259475747,-0.03127469750789125,-0.0022788982761627976,0.0
0.0,0.4,0.0,4.8,0.2,13.739247292265361,13.624865549132435,13.624865549132455,-0.11438174313290617,-0.008360030524247374,0.0
0.25,0.4,0.0338338208091532,4.8,0.2,13.739247292265361,13.624865549132435,13.723355258406682,-0.015892033858678545,-0.0011573583095976035,0.0
0.5,0.4,0.0676676416183064,4.8,0.2,13.739247292265361,13.624865549132435,13.822556917666613,0.08330962540125242,0.0060453139050521435,0.0
0.75,0.4,0.10150146242745961,4.8,0.2,13.739247292265361,13.624865549132435,13.92247567336653,0.18322838110116813,0.013247986119704763,0.0
1.0,0.4,0.1353352832366128,4.8,0.2,13.739247292265361,13.624865549132435,14.023116709162636,0.2838694168972751,0.02045065833435453,0.0
0.0,0.6,0.0,4.8,0.2,13.739247292265361,13.624865549132435,13.624865549132455,-0.11438174313290617,-0.008360030524247374,0.0
0.25,0.6,0.1027780726267969,4.8,0.2,13.739247292265361,13.624865549132435,13.926259893561515,0.1870126012961535,0.013519755745236369,0.0
0.5,0.6,0.2055561452535938,4.8,0.2,13.739247292265361,13.624865549132435,14.234321353385356,0.4950740611199951,0.035399542014723284,0.0
0.75,0.6,0.3083342178803907,4.8,0.2,13.739247292265361,13.624865549132435,14.549197411224318,0.8099501189589571,0.057279328284209965,0.0
1.0,0.6,0.4111122905071876,4.8,0.2,13.739247292265361,13.624865549132435,14.87103881214766,1.1317915198822988,0.07915911455369383,0.0
0.0,0.8,0.0,4.8,0.2,13.739247292265361,13.624865549132435,13.624865549132455,-0.11438174313290617,-0.008360030524247374,0.0
0.25,0.8,0.15163266492815838,4.8,0.2,13.739247292265361,13.624865549132435,14.071853686484996,0.3326063942196349,0.02392010681737872,0.0
0.5,0.8,0.30326532985631677,4.8,0.2,13.739247292265361,13.624865549132435,14.533506070924119,0.794258778658758,0.05620024415900517,0.0
0.75,0.8,0.4548979947844751,4.8,0.2,13.739247292265361,13.624865549132435,15.010303789361629,1.271056497096268,0.08848038150063128,0.0
1.0,0.8,0.6065306597126335,4.8,0.2,13.739247292265361,13.624865549132435,15.502743711627849,1.7634964193624878,0.12076051884225716,0.0
0.0,0.2,0.0,4.8,0.6,13.765096208939836,13.650464923447986,13.650464923448002,-0.11463128549183388,-0.008362546582373233,0.0
0.25,0.2,8.386565697562826e-05,4.8,0.6,13.765096208939836,13.650464923447986,13.650708636102388,-0.1143875728374475,-0.008344692942941847,0.0
0.5,0.2,0.00016773131395125652,4.8,0.6,13.765096208939836,13.650464923447986,13.65095235310796,-0.11414385583187503,-0.008326839303511276,0.0
0.75,0.2,0.00025159697092688477,4.8,0.6,13.765096208939836,13.650464923447986,13.651196074464762,-0.11390013447507386,-0.008308985664083961,0.0
1.0,0.2,0.00033546262790251305,4.8,0.6,13.765096208939836,13.650464923447986,13.651439800172968,-0.11365640876686811,-0.008291132024652944,0.0
0.0,0.3,0.0,4.8,0.6,13.765096208939836,13.650464923447986,13.650464923448002,-0.11463128549183388,-0.008362546582373233,0.0
0.25,0.3,0.007141375196137604,4.8,0.6,13.765096208939836,13.650464923447986,13.671233276947824,-0.09386293199201212,-0.006842263520348129,0.0
0.5,0.3,0.014282750392275207,4.8,0.6,13.765096208939836,13.650464923447986,13.6920332282363,-0.07306298070353634,-0.005321980458330615,0.0
0.75,0.3,0.02142412558841281,4.8,0.6,13.765096208939836,13.650464923447986,13.712864825387701,-0.05223138355213486,-0.003801697396309432,0.0
1.0,0.3,0.028565500784550415,4.8,0.6,13.765096208939836,13.650464923447986,13.733728116549228,-0.03136809239060767,-0.0022814143342886773,0.0
0.0,0.4,0.0,4.8,0.6,13.765096208939836,13.650464923447986,13.650464923448002,-0.11463128549183388,-0.008362546582373233,0.0
0.25,0.4,0.0338338208091532,4.8,0.6,13.765096208939836,13.650464923447986,13.749139682249865,-0.01595652668997083,-0.0011598743677233554,0.0
0.5,0.4,0.0676676416183064,4.8,0.6,13.765096208939836,13.650464923447986,13.848527728700114,0.0834315197602784,0.006042797846926826,0.0
0.75,0.4,0.10150146242745961,4.8,0.6,13.765096208939836,13.650464923447986,13.948634218922555,0.18353800998271907,0.013245470061579324,0.0
1.0,0.4,0.1353352832366128,4.8,0.6,13.765096208939836,13.650464923447986,14.049464346312817,0.28436813737298117,0.02044814227622922,0.0
0.0,0.6,0.0,4.8,0.6,13.765096208939836,13.650464923447986,13.650464923448002,-0.11463128549183388,-0.008362546582373233,0.0
0.25,0.6,0.1027780726267969,4.8,0.6,13.765096208939836,13.650464923447986,13.952425549181774,0.18732934024193781,0.01351723968711072,0.0
0.5,0.6,0.2055561452535938,4.8,0.6,13.765096208939836,13.650464923447986,14.261065816964768,0.4959696080249323,0.03539702595659772,0.0
0.75,0.6,0.3083342178803907,4.8,0.6,13.765096208939836,13.650464923447986,14.576533486518253,0.8114372775784169,0.05727681222608454,0.0
1.0,0.6,0.4111122905071876,4.8,0.6,13.765096208939836,13.650464923447986,14.89897958614212,1.1338833772022845,0.07915659849556807,0.0
0.0,0.8,0.0,4.8,0.6,13.765096208939836,13.650464923447986,13.650464923448002,-0.11463128549183388,-0.008362546582373233,0.0
0.25,0.8,0.15163266492815838,4.8,0.6,13.765096208939836,13.650464923447986,14.098292894162674,0.33319668522283763,0.02391759075925305,0.0
0.5,0.8,0.30326532985631677,4.8,0.6,13.765096208939836,13.650464923447986,14.560812664202803,0.7957164552629674,0.056197728100879536,0.0
0.75,0.8,0.4548979947844751,4.8,0.6,13.765096208939836,13.650464923447986,15.038506224380775,1.2734100154409393,0.08847786544250566,0.0
1.0,0.8,0.6065306597126335,4.8,0.6,13.765096208939836,13.650464923447986,15.531871378081581,1.766775169141745,0.12075800278413178,0.0
0.0,0.2,0.0,4.8,1.0,13.790954693731495,13.676073627145422,13.676073627145447,-0.11488106658604735,-0.008365064843331403,0.0
0.25,0.2,8.386565697562826e-05,4.8,1.0,13.790954693731495,13.676073627145422,13.676317797012475,-0.11463689671901989,-0.008347211203900192,0.0
0.5,0.2,0.00016773131395125652,4.8,1.0,13.790954693731495,13.676073627145422,13.676561971238852,-0.11439272249264221,-0.008329357564469774,0.0
0.75,0.2,0.00025159697092688477,4.8,1.0,13.790954693731495,13.676073627145422,13.676806149824621,-0.11414854390687346,-0.008311503925042594,0.0
1.0,0.2,0.00033546262790251305,4.8,1.0,13.790954693731495,13.676073627145422,13.677050332769962,-0.11390436096153245,-0.008293650285611359,0.0
0.0,0.3,0.0,4.8,1.0,13.790954693731495,13.676073627145422,13.676073627145447,-0.11488106658604735,-0.008365064843331403,0.0
0.25,0.3,0.007141375196137604,4.8,1.0,13.790954693731495,13.676073627145422,13.696880942732934,-0.09407375099856097,-0.006844781781306642,0.0
0.5,0.3,0.014282750392275207,4.8,1.0,13.790954693731495,13.676073627145422,13.717719915387526,-0.07323477834396819,-0.0053244987192892935,0.0
0.75,0.3,0.02142412558841281,4.8,1.0,13.790954693731495,13.676073627145422,13.738590593273685,-0.052364100457809926,-0.0038042156572680743,0.0
1.0,0.3,0.028565500784550415,4.8,1.0,13.790954693731495,13.676073627145422,13.759493024628942,-0.0314616691025531,-0.002283932595246823,0.0
0.0,0.4,0.0,4.8,1.0,13.790954693731495,13.676073627145422,13.676073627145447,-0.11488106658604735,-0.008365064843331403,0.0
0.25,0.4,0.0338338208091532,4.8,1.0,13.790954693731495,13.676073627145422,13.774933502913996,-0.016021190817498976,-0.001162392628682072,0.0
0.5,0.4,0.0676676416183064,4.8,1.0,13.790954693731495,13.676073627145422,13.874508004481115,0.08355331074962002,0.006040279585968034,0.0
