D,eta,mu_release,mu_direct,chi2_release,chi2_direct,accept_release,accept_direct,acceptance_flip,crossing_type,s_cross,log_y_cross,y2_cross,y2_cross_over_release,amp_cross,amp_cross_over_release,direct_s_minus_s_cross,mu_boundary,mu_cross_formula_validation,abs_mu_cross_validation_error,a_den,b_den
4.0,0.2,2.408282967882146,2.407168366689106,6.353965895757677,6.339925742870012,False,False,False,none,,,,,,,,,,,0.936779995,0.4144128488767781
4.0,0.39,2.444858357047335,2.4437158947715045,6.823306164322848,6.808392931241766,False,False,False,none,,,,,,,,,,,0.936779995,0.4082053650285361
4.0,0.5800000000000001,2.4816946922032805,2.4805238257938864,7.312896294629686,7.297073363176606,False,False,False,none,,,,,,,,,,,0.936779995,0.4021385199779048
4.0,0.77,2.5187871951365346,2.5175873772896415,7.823029925009216,7.806259661732124,False,False,False,none,,,,,,,,,,,0.936779995,0.39620878131432874
4.0,0.96,2.5561309648674495,2.554901644209502,8.353992549533373,8.336236298736317,False,False,False,none,,,,,,,,,,,0.936779995,0.3904127124200674
4.0,1.15,2.59372098030432,2.5924616015818147,8.906061117616922,8.887279195294166,False,False,False,none,,,,,,,,,,,0.936779995,0.38474696974331496
4.0,1.34,2.631552103016107,2.6302621072912595,9.479503640271222,9.459655328979567,False,False,False,none,,,,,,,,,,,0.936779995,0.3792083001515448
4.0,1.53,2.6696190801249093,2.6682979049771713,10.074578803857632,10.053622348559262,False,False,False,none,,,,,,,,,,,0.936779995,0.3737935383619925
4.0,1.72,2.7079165473133937,2.7065636270466484,10.69153559210118,10.669428197008084,False,False,False,none,,,,,,,,,,,0.936779995,0.3684996044472052
4.0,1.91,2.746439031940849,2.7450537977961256,11.33061291708632,11.30731074353613,False,False,False,none,,,,,,,,,,,0.936779995,0.3633235014137802
4.0,2.1,2.785180956270464,2.7837628366439815,11.992039260089735,11.967497425481241,False,False,False,none,,,,,,,,,,,0.936779995,0.3582623128512355
4.0,2.29,2.8241366407956763,2.822685061462021,12.676032322854956,12.650204900669968,False,False,False,none,,,,,,,,,,,0.936779995,0.3533132006500338
4.0,2.4800000000000004,2.863300307669143,2.861814692009382,13.382798690153802,13.35563871109053,False,False,False,none,,,,,,,,,,,0.936779995,0.3484734027856761
4.0,2.6700000000000004,2.902666084217795,2.9011458534523125,14.112533504115259,14.0839929583567,False,False,False,none,,,,,,,,,,,0.936779995,0.34374023116842384
4.0,2.8600000000000003,2.942228006562729,2.9406725799885445,14.865420151415307,14.835449992053487,False,False,False,none,,,,,,,,,,,0.936779995,0.33911106955385384
4.0,3.0500000000000003,2.981980023305745,2.9803888185381093,15.641629963365284,15.610180111001759,False,False,False,none,,,,,,,,,,,0.936779995,0.334583371516491
4.0,3.24,3.021915999311396,3.020288432529394,16.44132193013928,16.408341278678503,False,False,False,none,,,,,,,,,,,0.936779995,0.3301546584806262
4.0,3.43,3.062029719556629,3.0603652057525528,17.264642429309287,17.230078852960727,False,False,False,none,,,,,,,,,,,0.936779995,0.3258225178093458
4.0,3.62,3.102314893048903,3.10061284628114,18.11172496935061,18.075525330852752,False,False,False,none,,,,,,,,,,,0.936779995,0.3215846009492965
4.0,3.81,3.1427651568162718,3.141024990465431,18.982689948830274,18.944800108907206,False,False,False,none,,,,,,,,,,,0.936779995,0.31743862162863984
4.0,4.0,3.1833740799527437,3.1815952069807456,19.877644431545594,19.838009259604785,False,False,False,none,,,,,,,,,,,0.936779995,0.3133823541078554
4.8,0.2,13.73924432710559,13.707227951806598,951.6059410250467,946.67412411081,False,False,False,none,,,,,,,,,,,0.936779995,0.07205849494657106
4.8,0.39,13.751521356529606,13.719451394756586,953.5004988800433,948.5555166735624,False,False,False,none,,,,,,,,,,,0.936779995,0.07199359637293551
4.8,0.5800000000000001,13.763800559811965,13.731676949747646,955.3972767675416,950.4391024558588,False,False,False,none,,,,,,,,,,,0.936779995,0.07192880193825757
4.8,0.77,13.77608192335063,13.743904603180088,957.2962735842887,952.3248803275659,False,False,False,none,,,,,,,,,,,0.936779995,0.07186411146603112
4.8,0.96,13.788365433470666,13.756134341381822,959.1974882075676,954.2128491392198,False,False,False,none,,,,,,,,,,,0.936779995,0.07179952478040941
4.8,1.15,13.800651076542122,13.768366150725667,961.1009195134079,956.1030077401026,False,False,False,none,,,,,,,,,,,0.936779995,0.0717350417055824
4.8,1.34,13.81293883889613,13.780600017545865,963.0065663635999,957.995354965354,False,False,False,none,,,,,,,,,,,0.936779995,0.07167066206621897
4.8,1.53,13.825228706864253,13.79283592817724,964.914427611772,959.8898896420037,False,False,False,none,,,,,,,,,,,0.936779995,0.07160638568725955
4.8,1.72,13.837520666769784,13.805073868946536,966.8245021020341,961.7866105876259,False,False,False,none,,,,,,,,,,,0.936779995,0.07154221239396112
4.8,1.91,13.849814704934918,13.817313826179555,968.7367886700856,963.685516611437,False,False,False,none,,,,,,,,,,,0.936779995,0.07147814201185994
4.8,2.1,13.862110807677343,13.82955578619777,970.6512861426777,965.5866065137651,False,False,False,none,,,,,,,,,,,0.936779995,0.07141417436678904
4.8,2.29,13.874408961295865,13.84179973530401,972.567993335366,967.4898790838182,False,False,False,none,,,,,,,,,,,0.936779995,0.07135030928495308
4.8,2.4800000000000004,13.88670915208322,13.854045659795215,974.4869090544927,969.3953331016501,False,False,False,none,,,,,,,,,,,0.936779995,0.07128654659286068
4.8,2.6700000000000004,13.89901136632965,13.866293545965998,976.4080320977362,971.3029673387093,False,False,False,none,,,,,,,,,,,0.936779995,0.07122288611730598
4.8,2.8600000000000003,13.911315590323095,13.878543380108837,978.3313612541358,973.2127805578629,False,False,False,none,,,,,,,,,,,0.936779995,0.07115932768536755
4.8,3.0500000000000003,13.923621810331165,13.890795148496133,980.2568953012652,975.1247715105908,False,False,False,none,,,,,,,,,,,0.936779995,0.07109587112450129
4.8,3.24,13.935930012635659,13.903048837414557,982.1846330106214,977.0389389423343,False,False,False,none,,,,,,,,,,,0.936779995,0.07103251626236183
4.8,3.43,13.94824018347661,13.915304433109368,984.1145731388568,978.9552815837935,False,False,False,none,,,,,,,,,,,0.936779995,0.07096926292709065
4.8,3.62,13.960552309115483,13.92756192184732,986.0467144376641,980.8737981607429,False,False,False,none,,,,,,,,,,,0.936779995,0.07090611094699045
4.8,3.81,13.972866375806683,13.93982128988828,987.9810556493143,982.794487389596,False,False,False,none,,,,,,,,,,,0.936779995,0.07084306015067161
4.8,4.0,13.985182369784697,13.952082523472468,989.9175955046222,984.7173479753933,False,False,False,none,,,,,,,,,,,0.936779995,0.0707801103671178
5.6,0.2,57.97146702316152,57.155479927955426,20002.06800720407,19429.209637479,False,False,False,none,,,,,,,,,,,0.936779995,0.016198592022351965
5.6,0.39,57.974464210454144,57.15838736334343,20004.187504374728,19431.236008504096,False,False,False,none,,,,,,,,,,,0.936779995,0.01619769243300075
5.6,0.5800000000000001,57.97746133527802,57.1612947311,20006.307069655497,19433.262438053753,False,False,False,none,,,,,,,,,,,0.936779995,0.016196792952538917
5.6,0.77,57.98045839751931,57.16420203111446,20008.42670295883,19435.28892604344,False,False,False,none,,,,,,,,,,,0.936779995,0.016195893580980534
5.6,0.96,57.98345539719626,57.16710926340444,20010.546404290613,19437.315472478058,False,False,False,none,,,,,,,,,,,0.936779995,0.016194994318300196
5.6,1.15,57.986452334278525,57.170016427940496,20012.666173622343,19439.342077329704,False,False,False,none,,,,,,,,,,,0.936779995,0.01619409516448729
5.6,1.34,57.989449208726725,57.17292352468411,20014.78601091914,19441.36874056414,False,False,False,none,,,,,,,,,,,0.936779995,0.016193196119533407
5.6,1.53,57.99244602052467,57.175830553619505,20016.905916162486,19443.39546216297,False,False,False,none,,,,,,,,,,,0.936779995,0.016192297183423562
5.6,1.72,57.995442769655206,57.17873751473001,20019.025889333232,19445.42224210718,False,False,False,none,,,,,,,,,,,0.936779995,0.016191398356143055
5.6,1.91,57.99843945609505,57.18164440799283,20021.145930407853,19447.449080373484,False,False,False,none,,,,,,,,,,,0.936779995,0.01619049963767886
5.6,2.1,58.001436079802886,57.18455123336754,20023.266039350074,19449.4759769263,False,False,False,none,,,,,,,,,,,0.936779995,0.016189601028023144
5.6,2.29,58.004432640766765,57.18745799084276,20025.386216144387,19451.502931750285,False,False,False,none,,,,,,,,,,,0.936779995,0.016188702527159995
5.6,2.4800000000000004,58.007429138968696,57.19036468040072,20027.50646077101,19453.52994482565,False,False,False,none,,,,,,,,,,,0.936779995,0.016187804135074653
5.6,2.6700000000000004,58.010425574363595,57.19327130199747,20029.626773190997,19455.55701611434,False,False,False,none,,,,,,,,,,,0.936779995,0.016186905851760566
5.6,2.8600000000000003,58.013421946948604,57.196177855630324,20031.747153395256,19457.58414560707,False,False,False,none,,,,,,,,,,,0.936779995,0.016186007677198973
5.6,3.0500000000000003,58.016418256691786,57.19908434126797,20033.86760135414,19459.611333274595,False,False,False,none,,,,,,,,,,,0.936779995,0.016185109611379263
5.6,3.24,58.01941450356331,57.20199075888142,20035.988117039473,19461.6385790893,False,False,False,none,,,,,,,,,,,0.936779995,0.016184211654290515
5.6,3.43,58.02241068754314,57.204897108451014,20038.10870043,19463.665883030022,False,False,False,none,,,,,,,,,,,0.936779995,0.016183313805918757
5.6,3.62,58.02540680860487,57.207803389951096,20040.22935149997,19465.69324507148,False,False,False,none,,,,,,,,,,,0.936779995,0.01618241606625206
5.6,3.81,58.028402866729444,57.21070960336299,20042.35007022882,19467.72066519321,False,False,False,none,,,,,,,,,,,0.936779995,0.016181518435276154
5.6,4.0,58.03139886189962,57.21361574867004,20044.470856597283,19469.74814337617,False,False,False,none,,,,,,,,,,,0.936779995,0.01618062091297656
6.4,0.2,59.877937654251284,56.74132997822468,21372.93245184063,19141.642523492184,False,False,False,none,,,,,,,,,,,0.936779995,0.012759715122169701
6.4,0.39,59.878090033393924,56.7414623020532,21373.04383721079,19141.734060809846,False,False,False,none,,,,,,,,,,,0.936779995,0.01275966664339273
6.4,0.5800000000000001,59.878242411952584,56.74159462527837,21373.155222444308,19141.825597928997,False,False,False,none,,,,,,,,,,,0.936779995,0.012759618164995342
6.4,0.77,59.878394789109905,56.7417269471222,21373.26660694373,19141.917134311443,False,False,False,none,,,,,,,,,,,0.936779995,0.012759569687147171
6.4,0.96,59.878547164950724,56.74185926767762,21373.37799077104,19142.008670021467,False,False,False,none,,,,,,,,,,,0.936779995,0.01275952120984671
6.4,1.15,59.878699539754265,56.7419915871971,21373.48937413035,19142.100205233713,False,False,False,none,,,,,,,,,,,0.936779995,0.01275947273301841
6.4,1.34,59.87885191355776,56.742123905713214,21373.60075704886,19142.19173997071,False,False,False,none,,,,,,,,,,,0.936779995,0.012759424256650715
