case,case_label,n_points,acceptance_mismatch,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu
D21E21_holdout,D21 x E21 holdout,105,0.0,0.2989839680428304,0.29898960294047106
D60E21_release,D60 x E21 release,105,0.0,0.23583062715665334,0.23667867244926555
