combo_id,placement,peak,center_D,width_D,case,subset,drift_grid_D,count_points,p95_abs_delta_base,p95_abs_delta_parent,p95_abs_delta_candidate,p95_abs_delta_guard,mean_abs_improvement_vs_candidate,median_abs_improvement_vs_candidate,mean_abs_improvement_vs_parent,acceptance_flip_fraction_vs_base,acceptance_flip_fraction_vs_candidate,best_point_D,best_point_eta,best_point_improvement_vs_candidate,worst_point_D,worst_point_eta,worst_point_improvement_vs_candidate
185,mu_log_blend,1.0,7.24,0.005,D100E41_monitor,all_points,7.232323232323233,4100,9.458853450056113,6.644232663624733,6.644232663624733,6.644232663624721,0.0003320513454196102,0.0,-0.0007216494583697989,0.1,0.0,7.232323232323233,4.0,0.033205166096735184,6.101010101010101,1.15,-4.263256414560601e-14
185,mu_log_blend,1.0,7.24,0.005,D100E41_monitor,drift_strip,7.232323232323233,41,1.3298596264490867,0.934938912855249,1.041924642067773,1.0087195359258248,0.03320513454195933,0.03320513454211316,-0.07378068617443714,0.0,0.0,7.232323232323233,4.0,0.033205166096735184,7.232323232323233,0.2,0.03320510298741919
185,mu_log_blend,1.0,7.24,0.005,D100E41_monitor,nonreviewer_complement,7.232323232323233,3895,5.502490593619517,5.502490593403992,5.502490593403992,5.502490593403992,0.00034952773202070537,0.0,-0.0007596310088102518,0.10526315789473684,0.0,7.232323232323233,4.0,0.033205166096735184,6.262626262626263,1.055,-4.263256414560601e-14
185,mu_log_blend,1.0,7.24,0.005,D100E41_monitor,reviewer_targets,7.232323232323233,205,35.955648483926254,19.815121680053295,19.815121680053295,19.81512168005329,-1.1957914333523638e-15,0.0,-1.1957914333523638e-15,0.0,0.0,6.101010101010101,0.865,2.842170943040401e-14,6.101010101010101,1.15,-4.263256414560601e-14
185,mu_log_blend,1.0,7.24,0.005,D21E21_holdout,all_points,7.2,441,0.9136772062233662,0.9136772062234826,0.8785726023179126,0.8785726023179126,-2.6895901303359155e-16,0.0,0.0380637954724991,0.0,0.0,5.6,2.4800000000000004,2.842170943040401e-14,5.6,3.81,-2.842170943040401e-14
185,mu_log_blend,1.0,7.24,0.005,D21E21_holdout,nonreviewer_complement,7.2,378,0.7569946903994907,1.4133075343016466,0.7569946903994907,0.7569946903994997,-3.513803689497775e-16,0.0,0.044407761384582245,0.0,0.0,5.6,2.4800000000000004,2.842170943040401e-14,5.6,3.81,-2.842170943040401e-14
185,mu_log_blend,1.0,7.24,0.005,D21E21_holdout,reviewer_targets,7.2,63,2.102216802991498,0.8904550824432713,0.8904550824432713,0.8904550824432713,2.2556912246352386e-16,0.0,2.2556912246352386e-16,0.0,0.0,6.4,0.39,2.1316282072803006e-14,6.4,0.2,-1.4210854715202004e-14
185,mu_log_blend,1.0,7.24,0.005,D21E41_canonical,all_points,7.2,861,0.9136772062233662,0.9136772062234826,0.8785726023179126,0.8785726023179126,-1.574515213409212e-16,0.0,0.03806379547109682,0.0,0.0,5.6,2.4800000000000004,2.842170943040401e-14,5.6,3.81,-2.842170943040401e-14
185,mu_log_blend,1.0,7.24,0.005,D21E41_canonical,nonreviewer_complement,7.2,738,0.7569947064696276,1.4133075773935053,0.7569947064696276,0.756994706469637,-1.6443754086630236e-16,0.0,0.044407761382946304,0.0,0.0,5.6,2.4800000000000004,2.842170943040401e-14,5.6,3.81,-2.842170943040401e-14
185,mu_log_blend,1.0,7.24,0.005,D21E41_canonical,reviewer_targets,7.2,123,2.102217055050133,0.8910235355256485,0.8910235355256485,0.8910235355256485,-1.155354041886342e-16,0.0,-1.155354041886342e-16,0.0,0.0,6.4,0.295,2.1316282072803006e-14,6.4,0.865,-2.1316282072803006e-14
185,mu_log_blend,1.0,7.24,0.005,D60E21_monitor,all_points,7.254237288135593,1260,9.02385403940191,6.278141668421017,6.278141668421017,6.278141668421017,6.687381212612641e-07,0.0,-3.7862981848768383e-05,0.1,0.0,7.254237288135593,4.0,4.0124325521695425e-05,6.169491525423728,1.15,-4.263256414560601e-14
185,mu_log_blend,1.0,7.24,0.005,D60E21_monitor,drift_strip,7.254237288135593,21,1.294200553412129,1.202815230757238,1.205126924785977,1.205086800464279,4.012428728430334e-05,4.012428728472628e-05,-0.0022715677588026565,0.0,0.0,7.254237288135593,4.0,4.0124325521695425e-05,7.254237288135593,0.2,4.0124249045980775e-05
185,mu_log_blend,1.0,7.24,0.005,D60E21_monitor,nonreviewer_complement,7.254237288135593,1155,2.920957855314017,2.920965152119379,2.920965152119379,2.920965152119375,7.295324960167332e-07,0.0,-4.130507110765198e-05,0.10909090909090909,0.0,7.254237288135593,4.0,4.0124325521695425e-05,5.898305084745763,1.53,-2.842170943040401e-14
185,mu_log_blend,1.0,7.24,0.005,D60E21_monitor,reviewer_targets,7.254237288135593,105,31.28593012120719,18.575780513798115,18.575780513798115,18.575780513798147,-1.048896419455386e-15,0.0,-1.048896419455386e-15,0.0,0.0,5.627118644067797,0.5800000000000001,2.842170943040401e-14,6.169491525423728,1.15,-4.263256414560601e-14
185,mu_log_blend,1.0,7.24,0.005,D60E41_monitor,all_points,7.254237288135593,2460,9.023854039401614,6.278141668420413,6.278141668420413,6.278141668420413,6.687381212854708e-07,0.0,-3.7862981848730125e-05,0.1,0.0,7.254237288135593,4.0,4.0124325521695425e-05,6.169491525423728,1.15,-4.263256414560601e-14
185,mu_log_blend,1.0,7.24,0.005,D60E41_monitor,drift_strip,7.254237288135593,41,1.294200553412129,1.202815230757238,1.205126924785977,1.205086800464279,4.012428728429302e-05,4.012428728472628e-05,-0.0022715677588018035,0.0,0.0,7.254237288135593,4.0,4.0124325521695425e-05,7.254237288135593,0.2,4.0124249045980775e-05
185,mu_log_blend,1.0,7.24,0.005,D60E41_monitor,nonreviewer_complement,7.254237288135593,2255,2.9245748952293935,2.924582190745037,2.924582190745037,2.924582190745036,7.295324960202586e-07,0.0,-4.130507110763311e-05,0.10909090909090909,0.0,7.254237288135593,4.0,4.0124325521695425e-05,5.898305084745763,0.295,-2.842170943040401e-14
