D,D_eff,gate,theta,notch,suppress,boost_gaussian,compensate,two_lobe_factor,residual_d8,residual_d72,residual_d96,residual_total
4.0,3.6660605559646724,5.762331121400849e-14,-29.439754053097136,0.6971822291869215,0.9999999999999478,0.0,1.0,0.9999999999999478,1.0,1.0,1.0,1.0
4.006669445602334,3.6721732038278896,6.288142029842781e-14,-29.354176983012096,0.735733368465388,0.9999999999999398,0.0,1.0,0.9999999999999398,1.0,1.0,1.0,1.0
4.013338891204668,3.6782858516911072,6.861933018847964e-14,-29.268599912927048,0.7725591830879787,0.999999999999931,0.0,1.0,0.999999999999931,1.0,1.0,1.0,1.0
4.0200083368070025,3.6843984995543244,7.488082255726791e-14,-29.183022842842007,0.8073901461465761,0.9999999999999214,0.0,1.0,0.9999999999999214,1.0,1.0,1.0,1.0
4.026677782409338,3.6905111474175425,8.17136741418451e-14,-29.097445772756956,0.8399713309850918,0.9999999999999107,0.0,1.0,0.9999999999999107,1.0,1.0,1.0,1.0
4.033347228011672,3.6966237952807597,8.917002129153947e-14,-29.011868702671915,0.8700642769991258,0.9999999999998992,0.0,1.0,0.9999999999998992,1.0,1.0,1.0,1.0
4.040016673614006,3.7027364431439773,9.7306757781215e-14,-28.926291632586867,0.8974487349212003,0.9999999999998864,0.0,1.0,0.9999999999998864,1.0,1.0,1.0,1.0
4.04668611921634,3.7088490910071945,1.0618596892485392e-13,-28.840714562501827,0.9219242788177723,0.9999999999998728,0.0,1.0,0.9999999999998728,1.0,1.0,1.0,1.0
4.053355564818674,3.7149617388704117,1.1587540530187876e-13,-28.755137492416786,0.9433117729999696,0.9999999999998579,0.0,1.0,0.9999999999998579,1.0,1.0,1.0,1.0
4.0600250104210085,3.7210743867336293,1.2644899971084556e-13,-28.669560422331738,0.9614546831117106,0.9999999999998419,0.0,1.0,0.9999999999998419,1.0,1.0,1.0,1.0
4.066694456023343,3.7271870345968465,1.3798743129500062e-13,-28.583983352246698,0.9762202217994284,0.9999999999998249,0.0,1.0,0.9999999999998249,1.0,1.0,1.0,1.0
4.073363901625678,3.7332996824600646,1.5057874114412304e-13,-28.498406282161646,0.9875003205782904,0.9999999999998067,0.0,1.0,0.9999999999998067,1.0,1.0,1.0,1.0
