u,v,kappa,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)"
0.5,0.5,1.0,0.00025732417575299193,0.0008613978550933431,4.440892098500626e-16,4.440892098500626e-16,1.1102230246251565e-16,2.1238015405559336e-17,1.1102230246251565e-16,0.9999999999999998
0.625,0.625,1.1,0.00025646044208721083,0.0008530671934408527,0.0013157124424707511,0.0009776665593108635,0.00021817004251201144,0.005972581254947951,0.015475076019580647,0.991662569234734
0.625,0.5,1.1,0.00025695380430495795,0.0008596026126014018,0.0013246285138817093,0.0009951857958445665,0.0001316730894421747,0.00379970809256524,0.011221279188100203,0.993592302676405
0.375,0.375,0.9,0.0002582436110867753,0.0008690676122339104,0.0014543165829397076,0.0009492719019765783,0.0002347471005914592,0.005353850229848833,0.01663481846902895,0.9889246802532535
0.375,0.5,0.9,0.00025766770167756663,0.0008616629523090189,0.0014803358500703467,0.0009286141840152418,0.00015313747716783066,0.004642518910834749,0.01286323346790208,0.992972079207473
0.5,0.625,1.0,0.0002568147652483913,0.0008547762267482439,0.0016458044437728248,0.0010231627303722846,0.0002509590683948959,0.006925047216196039,0.0185714454328732,0.9891101924916057
0.5,0.375,1.0,0.00025789746581319914,0.0008688620675573969,0.0020050837911123054,0.0012465193019142173,0.00030612317806388845,0.007589232174204677,0.02262559464817744,0.9864653589028213
0.75,0.625,1.2,0.00025610862023646864,0.0008503042490768169,0.002179004622830938,0.0016370736602717706,0.00029431542044289216,0.007921715333059291,0.02237064407751066,0.9827937253979422
0.375,0.625,0.9,0.0002571543730201042,0.0008550909994686379,0.002440009770019902,0.0016362547683530515,0.0003462001210824406,0.010834266563602944,0.02562490325440249,0.9738032949179175
0.625,0.75,1.1,0.00025601956681985274,0.0008472539586124932,0.0025715272217063934,0.0015986655178525933,0.00040190547902296814,0.011810377688527628,0.029017407054507574,0.9721167239578732
0.75,0.75,1.2,0.0002556917106741918,0.0008446647251738281,0.0025891037898908564,0.0019238855788332732,0.00041185292646539473,0.012550774764875787,0.029225332979215105,0.9714298280106356
0.75,0.5,1.2,0.0002565764297283451,0.0008566461515334883,0.0027638743677922406,0.0020764829410668817,0.0002746386169588666,0.007363713237563684,0.02341351223894765,0.9761565989271702
0.625,0.375,1.1,0.0002575106927560126,0.0008669722617597044,0.002773922440074017,0.0017244904571531716,0.0004236152812233662,0.010644724439961839,0.03130125782912262,0.9712470298575062
0.5,0.75,1.0,0.0002563582907294391,0.0008488841144275999,0.0029967067248395374,0.0018661705357678748,0.00045674064678846715,0.013265822420445507,0.03381518115912825,0.9619673117722816
0.25,0.375,0.8,0.0002585244262225837,0.0008671665464374865,0.003048300390060543,0.0019511777615148773,0.0003070814691217283,0.007307028737988749,0.0260285450071715,0.9763507358594041
0.625,0.625,1.0,0.0002565124679634613,0.0008406209898325464,0.0031233494069127232,0.0023454480710611847,0.0004064163710565394,0.024078113153003067,0.030804359122894892,0.991662569234734
0.25,0.25,0.8,0.0002591579590215183,0.000875253857563776,0.003214730860514159,0.0020577077589678527,0.00047079650459047606,0.01012819171289162,0.03334512658149057,0.9505900320196675
0.25,0.5,0.8,0.00025796239666754097,0.0008600074310741721,0.003245586312393467,0.002035955209076734,0.00033559336086297353,0.01077480144257052,0.028202204570372646,0.9714730619912536
0.375,0.25,0.9,0.0002588950823150599,0.0008774377238017362,0.0033175678851060653,0.00217815024613488,0.0005583039970231685,0.012451760755416983,0.0395356449564722,0.9534142017071555
0.75,0.375,1.2,0.0002571060263604655,0.0008637993709751632,0.0035551623576646207,0.0026709730639131735,0.0005170746385824154,0.013054579948079398,0.038199092745371324,0.9465444505907039
0.375,0.75,0.9,0.00025669306236474526,0.0008492402669450786,0.003693428355952655,0.0025020569576725826,0.0005348472958451866,0.01677084106571515,0.03960477074041935,0.9405695224082647
0.25,0.625,0.8,0.0002574597893939922,0.0008536494356795639,0.003717684033879287,0.0023259069103374053,0.00045909675820687834,0.016484246704094974,0.03559954405922108,0.9457960117941073
0.75,0.75,1.1,0.0002558729094793331,0.0008345988993351233,0.0038512380192883278,0.002893413008286272,0.0005446005346001481,0.02767864214672979,0.04073358643227634,0.9714298280106362
0.5,0.5,0.9,0.00025720755655072913,0.0008461309261776071,0.0038706603071876344,0.0027287379733569317,0.00037923038841614076,0.02197298251281399,0.03239621174904958,1.0
0.625,0.5,1.0,0.00025690527008681335,0.0008459756955022167,0.003987334592774783,0.002924000037455521,0.0003866210975091988,0.019078085800424718,0.03296974384411544,0.993592302676405
0.375,0.375,1.0,0.0002587214545493323,0.0008900532561175517,0.004021735373377133,0.0030215066913390487,0.0005824333926550684,0.03081646215596496,0.04248113873696578,0.9889246802532536
0.5,0.625,0.9,0.0002568100820861711,0.0008408184925356957,0.004050271771177449,0.002540734128442912,0.00048303811884065073,0.026739376824408065,0.03759437183245605,0.9891101924916048
0.625,0.75,1.0,0.00025616014032993226,0.0008358540414294346,0.004104981187809553,0.0025682129047344127,0.0005667377674654084,0.028547843012396327,0.04196920493206103,0.9721167239578729
0.75,0.625,1.1,0.00025621165714087216,0.0008393046514110881,0.004189928243804264,0.0031478690290489553,0.00047627982068132457,0.023077506041537896,0.03694336768669505,0.9827937253979423
0.5,0.5,1.1,0.000257539220432194,0.0008784536369963128,0.004278098234260508,0.003015973549499673,0.0004200138226901906,0.02428592804047865,0.0358063393015812,0.9999999999999994
0.5,0.25,1.0,0.00025854813438665826,0.0008773035551890177,0.004447877662881794,0.002765153947138055,0.0006796379743450043,0.015934322416609113,0.05019035986981672,0.9424287573018172
0.25,0.75,0.8,0.0002570067313210245,0.0008479857285162736,0.004636041300563498,0.0031107476102762988,0.0006258864346386783,0.021963168052387985,0.047062547999436724,0.9086782513609323
0.5,0.75,0.9,0.00025645250910758183,0.0008360870380971687,0.004845801567834318,0.003031694799783713,0.0006356914077513265,0.03099730518220365,0.0488169378532706,0.961967311772281
0.5,0.375,0.9,0.00025765303106313914,0.0008521129806104831,0.004847946651253654,0.003417881977899384,0.0004383975338264623,0.01663508246621247,0.038539452797319865,0.9864653589028209
0.5,0.375,1.1,0.00025826422269931674,0.0008875913339292851,0.004851931961170841,0.0030355301779640964,0.0006654249381832233,0.032259828110093265,0.04914230043758101,0.9864653589028212
0.75,0.5,1.1,0.0002565904148606871,0.0008445925102268756,0.004896712083323429,0.0036788716689968304,0.0004863080532904185,0.01793376578629055,0.04148134576213908,0.9761565989271704
