D,k_bg_med,E_part_med,E_part_smooth_fit,E_part_osc_fit,E_tree_med,E_tree_smooth_fit,E_tree_osc_fit,xi_target_med,xi_recon_part_smooth_tree_smooth,xi_recon_part_smooth_tree_osc,xi_recon_part_osc_tree_osc
4.0,1.052928468881864,0.3949498233383917,0.37408847131359946,0.37595549544683937,0.8871122031006866,1.0083784763116737,0.9638425096063331,0.1294646066993198,0.13318046565224098,0.13010953414281778,0.13058146713810725
4.4,1.8125821682390852,0.39259367114345767,0.38319988552767636,0.38843048945310815,0.9563847221198736,0.9887379085815631,0.9195011535699793,0.09737282767958508,0.09778199145989339,0.0932392485341381,0.09415589335148984
4.8,1.3330127461264274,0.3866248413496567,0.3922051167678284,0.39558859320261036,1.0292175379602213,0.9701837411027323,0.9431821315091352,0.12148306025067343,0.11866783862548176,0.11673367347365791,0.11745526037692414
5.2,1.0431821344051455,0.37956121180859226,0.40108643858523185,0.39875112382045563,1.0790411281870225,0.9526688987293941,1.0036177053972162,0.13989035653569795,0.13664285030893147,0.14036731368520153,0.13978301758562434
5.6,1.0489632309804584,0.3740576674985092,0.4098260298900212,0.40229676906292905,1.1143064750811726,0.9361494160123426,1.0521287932968788,0.14022569045281166,0.13708629173051012,0.1455652953687162,0.1436582074463998
6.0,1.0466846439401756,0.3692493534995811,0.4184060330519636,0.41039748406392046,1.1693809168569975,0.9205842545013927,1.0498510563384058,0.14230186658640012,0.13803753164462235,0.1477143867196542,0.14570974313002458
6.4,1.2368422574530327,0.40876208937352154,0.4268086134458553,0.4237647289594372,1.0740829653405333,0.9059351338159674,0.9883323317941434,0.13486053880486842,0.12646999465391598,0.13286370656188215,0.13219818347463677
6.800000000000001,1.4295826956645792,0.4442592631967599,0.4350160201713857,0.43893471821533303,0.8655712839744574,0.8921663755152198,0.8927083584498194,0.11600650506671412,0.1164874322586037,0.11653099462530032,0.11726051413583788
7.2,1.5397550802947837,0.4653975001957116,0.4430106476644996,0.45075722168385,0.5919361404002297,0.8792447588800457,0.80653187031129,0.08818996286634301,0.1115882784727656,0.10553221096736536,0.10680420714519293
7.6,1.5648642560227741,0.4744778656885882,0.4507750979062238,0.45629026010506674,0.5746129275723644,0.8671393877938189,0.7672445505669672,0.08642620295646347,0.11078590662468428,0.10222210678709331,0.10308091315422302
8.0,1.5891268740470006,0.48137654338687397,0.45829224292561915,0.457138523642279,0.5580450355574558,0.8558215679772309,0.7859444939985565,0.0844543244868782,0.1100047561251,0.10399516597406948,0.1038154982951461
8.4,1.3761974030753696,0.4851361173527553,0.46554528728608185,0.4583665325925662,0.6107347084495436,0.845264693895624,0.8422420730256162,0.10040767747102863,0.1208694408259587,0.12060131378848861,0.11932613074793035
8.8,1.1526414316992488,0.4893167977386246,0.4725178302387396,0.4647040916214841,0.7386124190984011,0.835444144714914,0.8964457692387716,0.12831275132780268,0.13484659478369654,0.14038516608130533,0.1388002290830251
9.2,1.0598348415567096,0.4934887080203627,0.4791939272232475,0.4768838533018049,0.8648841756716079,0.8263371887342644,0.9118734518152388,0.14847929267990154,0.14192607365534887,0.1498228655342904,0.14933382334327985
9.6,1.1066533286499558,0.4963861813219064,0.48555815039493894,0.4909428676519532,0.8851615244197655,0.8179228957684818,0.8748429193894918,0.14741767427457422,0.13890850620936396,0.1443073391321636,0.1453807081927366
10.0,1.1516910487217735,0.49844749346982065,0.4915956478580864,0.5011174514797356,0.9185571848549621,0.810182056985772,0.8015342600945813,0.14759160740545657,0.13610329168750754,0.13524669747178059,0.13699180899425614
10.4,1.191089660939199,0.5001900866904507,0.49729220128798407,0.5042038300095092,0.9172112583548901,0.8030971117133905,0.7283428037636417,0.14505261665287944,0.13375416629515516,0.12602830158583114,0.1271927765226161
10.8,1.22923354090777,0.5012073334368792,0.5026342816297097,0.5020666430754644,0.9202811758006644,0.796652080668515,0.691393026859676,0.1429410129189407,0.13153840933611657,0.12041507931673542,0.12032454536992415
11.2,1.263616892757297,0.5018903608205016,0.5076091025687238,0.5003190424351905,0.9184677741110561,0.79083250485798,0.7066405585590388,0.14065751827459697,0.1296073744971117,0.12075808922509376,0.11960215181199438
