mode,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,10.271915904250342,10.272608773798765,0.0
fullwidthrefamp_pointamp2_widthboost,5.898305084745763,1.3699978524761036,1.3721439395038004,0.0
fullwidthrefamp_pointamp2_widthboost,6.169491525423728,25.887561191706766,25.89060277919198,0.0
fullwidthrefamp_pointamp2_widthboost,6.4406779661016955,31.28630580743782,31.28639526077564,0.0
fullwidthrefamp_pointamp2_widthboost,6.711864406779661,7.462467784829659,7.462495924022775,0.0
fullwidthrefamp_pointamp2_widthboost_reviewerscalar,5.627118644067797,3.788039610905223,3.788069834665478,0.0
fullwidthrefamp_pointamp2_widthboost_reviewerscalar,5.898305084745763,15.18176780887849,15.184691847691397,0.0
fullwidthrefamp_pointamp2_widthboost_reviewerscalar,6.169491525423728,25.887559369871383,25.890600957292833,0.0
fullwidthrefamp_pointamp2_widthboost_reviewerscalar,6.4406779661016955,14.56522334472659,14.565267735644454,0.0
fullwidthrefamp_pointamp2_widthboost_reviewerscalar,6.711864406779661,7.46246491476953,7.462493053957854,0.0
