mode,ref_D,ref_eta,grid_i,grid_j,chi2_at_point,r3_at_point,in_acceptance,boundary_distance,f_chi2_le_4_reanchored,best_chi2_reanchored
fixed,9.966101694915254,0.9728813559322034,12,22,0.8825828211653188,0.9500562689597054,1,0.5423728813559322,0.15,0.001176872566640038
chi2_best,4.0,0.26440677966101694,1,0,2.2079807637329057e-05,0.9007441347433893,1,0.2711864406779661,0.13333333333333333,0.18983043963128104
robust_center,9.423728813559322,3.8711864406779664,57,20,0.0013887855663360553,0.9494726594074393,1,1.0847457627118644,0.13805555555555554,0.00474188991549847
