peak,center_D,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
1.0,5.88,0.06,22.83731399427264,22.84562004811437,0.7470594342482713,22.84562004811437,14.88061900088043,4.945935673403689,2.6032105963583376,22.84562004811437,2.4729678367018444,22.84562004811437
1.0,5.92,0.06,22.98963903200903,22.997907865732714,0.7465384671113569,22.997907865732714,14.881791495738284,4.945935673403689,2.6032105963583376,22.997907865732714,2.4729678367018444,22.997907865732714
1.0,5.84,0.16,22.997841232806103,23.0061080623492,2.3956189077534162,23.0061080623492,15.717329656720324,4.929263297735851,2.6032095606708907,23.0061080623492,2.4646316488679254,23.0061080623492
1.0,5.96,0.16,23.061074767769817,23.0693261464083,1.2008183081460189,23.0693261464083,17.796781476952404,4.736059758171528,2.6031640391952706,23.0693261464083,2.368029879085764,23.0693261464083
1.0,5.88,0.04,23.297688286023803,23.305881848933367,0.7465120826801694,23.305881848933367,14.880557200284926,4.945935673403689,2.6032105963583376,23.305881848933367,2.4729678367018444,23.305881848933367
1.0,5.84,0.12,23.39901251998767,23.407181324656577,1.5692183484876665,23.407181324656577,15.04214700293987,4.945866228368601,2.603210596348312,23.407181324656577,2.4729331141843005,23.407181324656577
1.0,5.96,0.12,23.504777659641853,23.51292062094946,0.8306367767256688,23.51292062094946,16.39281778371017,4.939649349063437,2.603210587678724,23.51292062094946,2.4698246745317185,23.51292062094946
1.0,5.92,0.04,23.61473086235658,23.622846956963528,0.7465120744359481,23.622846956963528,14.88055722526886,4.945935673403689,2.6032105963583376,23.622846956963528,2.4729678367018444,23.622846956963528
1.0,5.84,0.1,23.77989786509849,23.78797360169581,1.1567471581121822,23.78797360169581,14.911351902893642,4.945935393105174,2.6032105963583376,23.78797360169581,2.472967696552587,23.78797360169581
1.0,5.96,0.1,23.923188885724592,23.931229609635935,0.7619802061824785,23.931229609635935,15.658020318066946,4.945751434412131,2.6032105963567957,23.931229609635935,2.4728757172060654,23.931229609635935
1.0,5.84,0.08,24.42639963769157,24.43431740372371,0.8609031372230831,24.43431740372371,14.882010977371252,4.945935673392746,2.6032105963583376,24.43431740372371,2.472967836696373,24.43431740372371
0.75,5.9,0.16,24.566750030124382,24.57463350200338,1.4408840555763618,24.57463350200338,16.143012349823636,4.898311940137312,2.603205009019355,24.57463350200338,2.449155970068656,24.57463350200338
0.75,5.9,0.12,24.567023155309794,24.574906560451538,0.9696549706691755,24.574906560451538,15.301902225560838,4.945374138389546,2.6032105961078855,24.574906560451538,2.472687069194773,24.574906560451538
0.75,5.9,0.1,24.56729782805363,24.575181166080014,0.8179527391911137,24.575181166080014,15.019749573378945,4.945929220788919,2.60321059635832,24.575181166080014,2.4729646103944596,24.575181166080014
0.75,5.9,0.08,24.567803441104424,24.575686655585926,0.7553056744165758,24.575686655585926,14.898624447915424,4.9459356716697584,2.6032105963583376,24.575686655585926,2.4729678358348792,24.575686655585926
0.75,5.9,0.06,24.568895662344552,24.576778609945478,0.7466073685814578,24.576778609945478,14.880776176009732,4.945935673403689,2.6032105963583376,24.576778609945478,2.4729678367018444,24.576778609945478
0.75,5.9,0.04,24.572015144926482,24.579897330292127,0.7465120746584049,24.579897330292127,14.880557200987283,4.945935673403689,2.6032105963583376,24.579897330292127,2.4729678367018444,24.579897330292127
